BoNT,bound,bulk,free,lytic,translocate,Time
1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9999999995650845,4.3471078464469343e-10,0.999998500001125,1.4995639594251263e-06,6.767153118059596e-18,2.0478386078048222e-13,0.01
0.9999999982606745,1.7376910927444359e-09,0.9999970000045001,2.9982561744787915e-06,1.0705301849226742e-16,1.634325747282334e-12,0.02
0.9999999960872759,3.90721196806538e-09,0.9999955000101252,4.496077150714305e-06,5.391255234140966e-16,5.5117935259985406e-12,0.03
0.9999999930453934,6.941547537625599e-09,0.9999940000180001,5.993027393339715e-06,1.7020490013898693e-15,1.3057456445157643e-11,0.04
0.9999999891355322,1.083897478497382e-08,0.999992500028125,7.489107407226299e-06,4.1516783910635785e-15,2.5488907196060446e-11,0.05
0.9999999843581969,1.5597773406600867e-08,0.9999910000405,8.98431769696048e-06,8.603801424832219e-15,4.402115045057787e-11,0.06
0.9999999787138918,2.1216225662195848e-08,0.999989500055125,1.0478658766852795e-05,1.592315664531802e-14,6.986675462578517e-11,0.07
0.9999999722031209,2.7692616614043064e-08,0.999988000072,1.1972131120911629e-05,2.7137175910012543e-14,1.0423562499059944e-10,0.08
0.9999999648263876,3.5025234183773876e-08,0.9999865000911248,1.346473526283684e-05,4.3439167770257105e-14,1.4833495011817575e-10,0.09
0.9999999565841956,4.3212368993478116e-08,0.9999850001124996,1.4956471696036613e-05,6.617898377979674e-14,2.0336935326056282e-10,0.1
0.999999947477048,5.2252314102384146e-08,0.9999835001361244,1.6447340923655656e-05,9.684766169480699e-14,2.7054114281785366e-10,0.11
0.9999999375054478,6.214336533244115e-08,0.9999820001619992,1.793734344853983e-05,1.3709621548730086e-13,3.5105000334335515e-10,0.12
0.9999999266698972,7.288382140266667e-08,0.999980500190124,1.9426479773221277e-05,1.887432843016281e-13,4.4609286840998425e-10,0.13
0.9999999149708986,8.447198371621852e-08,0.9999790002204987,2.0914750399941194e-05,2.537626937505729e-13,5.568641232198828e-10,0.14
0.999999902408954,9.690615608512423e-08,0.9999775002531233,2.2402155830679408e-05,3.3426744953737157e-13,6.845558662734737e-10,0.15
0.9999998889845649,1.1018464510935569e-07,0.9999760002879978,2.3888696567113118e-05,4.3253156728154774e-13,8.303575497755523e-10,0.16
0.9999998746982329,1.243057602994873e-07,0.9999745003251224,2.537437311060318e-05,5.509970192707414e-13,9.954558636925355e-10,0.17
0.999999859550459,1.3926781354196374e-07,0.9999730003644968,2.685918596225198e-05,6.922427749945558e-13,1.181035243589901e-09,0.18
0.999999843541744,1.5506911945978108e-07,0.9999715004061211,2.834313562286403e-05,8.590055218677938e-13,1.3882775286626961e-09,0.19
0.9999998266725885,1.7170799551775257e-07,0.9999700004499955,2.9826222592934165e-05,1.0541856156660862e-12,1.6183618622725815e-09,0.2
0.9999998089434924,1.8918276174127057e-07,0.9999685004961197,3.13084473726779e-05,1.2808307561911956e-12,1.8724649591873643e-09,0.21
0.999999790354956,2.0749174060753716e-07,0.999967000544494,3.27898104620431e-05,1.5421296569727622e-12,2.1517612089956975e-09,0.22
0.9999997709074787,2.266332578083176e-07,0.9999655005951181,3.4270312360626455e-05,1.841455801749311e-12,2.45742195314556e-09,0.23
0.99999975060156,2.466056411590546e-07,0.9999640006479922,3.574995356779233e-05,2.1823046243049404e-12,2.790616519766472e-09,0.24
0.9999997294376989,2.6740722088371197e-07,0.9999625007031162,3.722873458264146e-05,2.5683098071772647e-12,3.152511953833213e-09,0.25
0.9999997074163941,2.8903633016750953e-07,0.9999610007604901,3.870665590395031e-05,3.0032749286574308e-12,3.5442724934835007e-09,0.26
0.999999684538144,3.1149130503822317e-07,0.9999595008201139,4.018371803018368e-05,3.491166528249405e-12,3.9670596829672205e-09,0.27
0.9999996608034472,3.3477048412933556e-07,0.9999580008819876,4.1659921459520376e-05,4.036100392738425e-12,4.422032597586746e-09,0.28
0.9999996362128011,3.588722086101134e-07,0.9999565009461112,4.3135266689860584e-05,4.642337440463391e-12,4.91034791034093e-09,0.29
0.9999996107667036,3.8379482222837183e-07,0.9999550010124848,4.460975421882097e-05,5.31428608153444e-12,5.433159851720086e-09,0.3
0.999999584465652,4.095366713558992e-07,0.9999535010811083,4.608338454372944e-05,6.056504728661452e-12,5.99162016698633e-09,0.31
0.9999995573101432,4.3609610499775695e-07,0.9999520011519816,4.755615816162389e-05,6.8737022303096555e-12,6.586878107713176e-09,0.32
0.999999529300674,4.6347147478049153e-07,0.9999505012251048,4.902807556925322e-05,7.770737091911694e-12,7.2200804433207e-09,0.33
0.9999995004377409,4.916611349400583e-07,0.9999490013004778,5.0499137263078405e-05,8.752616681291529e-12,7.892371472881135e-09,0.34
0.9999994707218401,5.206634423161145e-07,0.9999475013781008,5.196934373927288e-05,9.824496800812766e-12,8.604893030882463e-09,0.35000000000000003
0.9999994401534674,5.504767563497945e-07,0.9999460014579737,5.34386954937225e-05,1.0991681459843718e-11,9.358784489690542e-09,0.36
0.9999994087331185,5.810994390813406e-07,0.9999445015400965,5.490719302202559e-05,1.2259622639084673e-11,1.0155182762146434e-08,0.37
0.9999993764612887,6.125298551465598e-07,0.9999430016244691,5.637483681949303e-05,1.3633919987482097e-11,1.0995222305277152e-08,0.38
0.9999993433384727,6.447663717726952e-07,0.9999415017110916,5.78416273811485e-05,1.5120320485658772e-11,1.1880035124561308e-08,0.39
0.9999993093651658,6.778073587743539e-07,0.999940001799964,5.930756520172865e-05,1.6724718112879465e-11,1.281075077813939e-08,0.4
0.9999992745418619,7.116511885496558e-07,0.9999385018910862,6.077265077568326e-05,1.8453153526841203e-11,1.3788496380815395e-08,0.41000000000000003
0.9999992388690555,7.462962360766558e-07,0.9999370019844583,6.223688459717542e-05,2.0311813764031866e-11,1.481439660778031e-08,0.42
0.9999992023472404,7.817408789094343e-07,0.9999355020800803,6.370026716008171e-05,2.2307031912468556e-11,1.5889573698682262e-08,0.43
0.9999991649769101,8.179834971739977e-07,0.9999340021779521,6.516279895799233e-05,2.4445286769809627e-11,1.7015147461888043e-08,0.44
0.9999991267585581,8.550224735646369e-07,0.9999325022780738,6.662448048421129e-05,2.6733202540296703e-11,1.8192235278267982e-08,0.45
0.9999990876926771,8.928561933403928e-07,0.9999310023804453,6.808531223175655e-05,2.917754854071173e-11,1.9421952104867693e-08,0.46
0.99999904777976,9.314830443212991e-07,0.9999295024850666,6.954529469336021e-05,3.178523888725858e-11,2.0705410478814332e-08,0.47000000000000003
0.9999990070202993,9.709014168844766e-07,0.9999280025919378,7.100442836146864e-05,3.456333217010239e-11,2.2043720521376138e-08,0.48
0.9999989654147872,1.011109703960291e-06,0.9999265027010589,7.246271372824275e-05,3.751903113327169e-11,2.3437989941957174e-08,0.49
0.9999989229637153,1.0521063010286182e-06,0.9999250028124297,7.392015128555801e-05,4.0659682363942347e-11,2.4889324041976706e-08,0.5
0.9999988796675754,1.0938896061151357e-06,0.9999235029260504,7.537674152500471e-05,4.3992775983736273e-11,2.6398825718723792e-08,0.51
0.9999988355268588,1.136458019787575e-06,0.9999220030419209,7.683248493788808e-05,4.752594533680367e-11,2.796759546925176e-08,0.52
0.9999987905420564,1.1798099451519519e-06,0.9999205031600412,7.828738201522851e-05,5.1266966676131695e-11,2.9596731394295154e-08,0.53
0.9999987447136591,1.2239437878488134e-06,0.9999190032804114,7.974143324776166e-05,5.522375885128591e-11,3.1287329202169655e-08,0.54
0.9999986980421574,1.2688579560495078e-06,0.9999175034030314,8.119463912593865e-05,5.940438299819514e-11,3.3040482212647216e-08,0.55
0.9999986505280412,1.3145508604524625e-06,0.9999160035279012,8.264700013992621e-05,6.381704222962109e-11,3.4857281360823104e-08,0.56
0.9999986021718005,1.3610209142794589e-06,0.9999145036550209,8.409851677960687e-05,6.847008132543374e-11,3.6738815200985824e-08,0.5700000000000001
0.9999985529739249,1.408266533271908e-06,0.9999130037843903,8.554918953457908e-05,7.337198642300543e-11,3.868616991048594e-08,0.58
0.9999985029349037,1.4562861356871353e-06,0.9999115039160095,8.699901889415746e-05,7.853138470829623e-11,4.070042929359706e-08,0.59
0.9999984520552259,1.5050781422946695e-06,0.9999100040498785,8.84480053473729e-05,8.395704410771249e-11,4.2782674785367396e-08,0.6
0.9999984003353802,1.554640976372543e-06,0.9999085041859973,8.989614938297267e-05,8.965787298048553e-11,4.4933985455465665e-08,0.61
0.9999983477758554,1.6049730637035912e-06,0.999907004324366,9.134345148942073e-05,9.564291981142142e-11,4.7155438012022675e-08,0.62
0.9999982943771393,1.656072832571759e-06,0.9999055044649844,9.278991215489775e-05,1.0192137290408585e-10,4.944810680546805e-08,0.63
0.9999982401397198,1.7079387137584123e-06,0.9999040046078526,9.423553186730139e-05,1.0850256007452532e-10,5.1813063832360754e-08,0.64
0.9999981850640848,1.760569140538655e-06,0.9999025047529705,9.568031111424636e-05,1.1539594834553375e-10,5.4251378739213404e-08,0.65
0.9999981291507214,1.8139625486776518e-06,0.9999010049003383,9.712425038306468e-05,1.226111436414171e-10,5.6764118826310765e-08,0.66
0.9999980724001166,1.8681173764269564e-06,0.9998995050499558,9.856735016080575e-05,1.301578904832304e-10,5.935234905152297e-08,0.67
0.9999980148127574,1.923032064520843e-06,0.9998980052018231,0.00010000961093423663,1.380460716844997e-10,6.201713203411313e-08,0.68
0.99999795638913,1.978705056172646e-06,0.9998965053559402,0.00010145103318984207,1.4628570804744586e-10,6.475952805853923e-08,0.6900000000000001
0.9999978971297209,2.0351347970711026e-06,0.999895005512307,0.00010289161741382479,1.54886958059711e-10,6.758059507825023e-08,0.7000000000000001
0.9999978370350158,2.0923197353767e-06,0.9998935056709236,0.00010433136409210556,1.6386011759157745e-10,7.048138871947653e-08,0.71
0.9999977761055002,2.150258321718035e-06,0.9998920058317899,0.00010577027371032343,1.7321561959367537e-10,7.3462962285015e-08,0.72
0.9999977143416598,2.2089490091881653e-06,0.999890505994906,0.00010720834675383584,1.8296403379517945e-10,7.652636675800806e-08,0.73
0.9999976517439796,2.2683902533409797e-06,0.9998890061602719,0.00010864558370771881,1.9311606640249884e-10,7.967265080571746e-08,0.74
0.9999975883129443,2.3285805121875653e-06,0.9998875063278875,0.00011008198505676709,2.0368255979845834e-10,8.290286078329227e-08,0.75
0.9999975240490383,2.3895182461925827e-06,0.9998860064977528,0.00011151755128549434,2.1467449224196905e-10,8.62180407375313e-08,0.76
0.999997458952746,2.451201918270646e-06,0.999884506669868,0.00011295228287813328,2.2610297756818698e-10,8.961923241063994e-08,0.77
0.9999973930245515,2.5136299937827086e-06,0.9998830068442328,0.00011438618031863585,2.379792648891595e-10,9.310747524398136e-08,0.78
0.9999973262649381,2.576800940532453e-06,0.9998815070208474,0.00011581924409067338,2.5031473829495893e-10,9.668380638182221e-08,0.79
0.9999972586743895,2.6407132287626864e-06,0.9998800071997118,0.00011725147467763678,2.631209165553039e-10,1.0034926067507271e-07,0.8
0.9999971902533885,2.7053653311517414e-06,0.9998785073808258,0.00011868287256263663,2.764094528216653e-10,1.0410487068502114e-07,0.81
0.9999971210024181,2.770755722809883e-06,0.9998770075641896,0.00012011343822850342,2.901921343298583e-10,1.079516666870628e-07,0.8200000000000001
0.9999970509219609,2.8368828812757172e-06,0.9998755077498032,0.00012154317215778766,3.0448088210311804e-10,1.118906766744235e-07,0.8300000000000001
0.9999969800124991,2.90374528651261e-06,0.9998740079376663,0.00012297207483276005,3.192877506556593e-10,1.1592292636187726e-07,0.84
0.9999969082745147,2.9713414209051086e-06,0.9998725081277793,0.00012440014673541173,3.3462492769671964e-10,1.2004943918945898e-07,0.85
0.9999968357084894,3.039669769255365e-06,0.999871008320142,0.00012582738834745428,3.5050473383508343e-10,1.2427123632617087e-07,0.86
0.9999967623149046,3.1087288187795707e-06,0.9998695085147543,0.00012725380015032,3.66939622284089e-10,1.2858933667368404e-07,0.87
0.9999966880942416,3.1785170591043916e-06,0.9998680087116164,0.00012867938262516203,3.839421785671155e-10,1.3300475687003413e-07,0.88
0.999996613046981,3.2490329822634113e-06,0.9998665089107281,0.00013010413625285454,4.0152512022355045e-10,1.375185112933117e-07,0.89
0.9999965371736036,3.3202750826935767e-06,0.9998650091120896,0.00013152806151399288,4.1970129651523626e-10,1.42131612065347e-07,0.9
0.9999964604745897,3.3922418572316517e-06,0.9998635093157008,0.0001329511588888937,4.3848368813339567e-10,1.4684506905538926e-07,0.91
0.9999963829504193,3.4649318051106726e-06,0.9998620095215617,0.00013437342885759518,4.5788540690603507e-10,1.5165988988378056e-07,0.92
0.9999963046015721,3.5383434279564117e-06,0.9998605097296722,0.00013579487189985714,4.779196955058252e-10,1.565770799256242e-07,0.93
0.9999962254285277,3.6124752297838443e-06,0.9998590099400325,0.00013721548849516123,4.98599927158458e-10,1.6159764231444758e-07,0.9400000000000001
0.9999961454317652,3.6873257169936204e-06,0.9998575101526425,0.00013863527912271107,5.199396053514797e-10,1.667225779458597e-07,0.9500000000000001
0.9999960646117635,3.7628933983685428e-06,0.999856010367502,0.00014005424426143242,5.419523635435987e-10,1.7195288548120308e-07,0.96
0.9999959829690013,3.839176785070051e-06,0.9998545105846113,0.0001414723843899734,5.646519648744688e-10,1.7728956135120058e-07,0.97
0.9999959005039569,3.916174390634706e-06,0.9998530108039703,0.0001428896999867045,5.880523018749441e-10,1.8273359975959615e-07,0.98
0.9999958172171086,3.993884730970685e-06,0.9998515110255789,0.0001443061915297189,6.12167396177809e-10,1.8828599268679088e-07,0.99
0.999995733108934,4.072306324354277e-06,0.9998500112494372,0.00014572185949683256,6.370113982289793e-10,1.9394772989347312e-07,1.0
0.9999956481799107,4.151437691426389e-06,0.9998485114755451,0.00014713670436558435,6.625985869991755e-10,1.9971979892424355e-07,1.01
0.9999955624305159,4.23127735518905e-06,0.9998470117039027,0.0001485507266132363,6.889433696960664e-10,2.0560318511123446e-07,1.02
0.9999954758612267,4.311823841001925e-06,0.99984551193451,0.0001499639267167737,7.160602814768834e-10,2.1159887157772403e-07,1.03
0.9999953884725199,4.393075676578834e-06,0.999844012167367,0.0001513763051529052,7.439639851615044e-10,2.177078392417451e-07,1.04
0.9999953002648716,4.475031391984275e-06,0.9998425124024736,0.00015278786239806313,7.726692709460051e-10,2.2393106681968826e-07,1.05
0.9999952112387582,4.557689519629948e-06,0.9998410126398298,0.0001541985989284035,8.021910561166808e-10,2.3026953082990012e-07,1.06
0.9999951213946555,4.641048594271291e-06,0.9998395128794357,0.0001556085152198063,8.325443847645333e-10,2.3672420559627583e-07,1.07
0.9999950307330392,4.725107153004017e-06,0.9998380131212913,0.00015701761174787555,8.63744427500226e-10,2.432960632518463e-07,1.08
0.9999949392543843,4.809863735260658e-06,0.9998365133653964,0.00015842588898793946,8.958064811695039e-10,2.4998607374236024e-07,1.09
0.9999948469591662,4.8953168828071085e-06,0.9998350136117511,0.00015983334741505068,9.2874596856908e-10,2.567952048298606e-07,1.1
0.9999947538478594,4.981465139739182e-06,0.9998335138603555,0.0001612399875039864,9.625784381629854e-10,2.6372442209625596e-07,1.11
0.9999946599209387,5.068307052479168e-06,0.9998320141112095,0.00016264580972924855,9.973195637993836e-10,2.707746889468864e-07,1.12
0.9999945651788782,5.155841169772393e-06,0.9998305143643131,0.00016405081456506387,1.0329851444278484e-09,2.7794696661408436e-07,1.1300000000000001
0.9999944696221519,5.244066042683788e-06,0.9998290146196664,0.00016545500248538414,1.0695911038171043e-09,2.852422141607295e-07,1.1400000000000001
0.9999943732512332,5.332980224594463e-06,0.9998275148772693,0.00016685837396388637,1.1071534902732271e-09,2.926613884837991e-07,1.1500000000000001
0.9999942760665957,5.422582271198279e-06,0.9998260151371218,0.00016826092947397282,1.1456884763583082e-09,3.002054443179125e-07,1.16
0.9999941780687127,5.51287074049844e-06,0.9998245153992239,0.00016966266948877142,1.1852123586095802e-09,3.078753342388712e-07,1.17
0.9999940792580567,5.603844192804071e-06,0.9998230156635756,0.00017106359448113562,1.2257415572589953e-09,3.1567200866719223e-07,1.18
0.9999939796351005,5.695501190726811e-06,0.9998215159301769,0.00017246370492364477,1.2672926159532717e-09,3.235964158716374e-07,1.19
0.9999938792003165,5.787840299177415e-06,0.9998200161990278,0.00017386300128860416,1.3098822014743935e-09,3.3164950197273695e-07,1.2
0.9999937779541763,5.8808600853623495e-06,0.9998185164701283,0.00017526148404804526,1.3535271034605691e-09,3.3983221094630803e-07,1.21
0.9999936758971522,5.974559118780405e-06,0.9998170167434784,0.0001766591536737258,1.3982442341276475e-09,3.4814548462696763e-07,1.22
0.9999935730297153,6.068935971219303e-06,0.9998155170190781,0.00017805601063713002,1.4440506279909895e-09,3.565902627116407e-07,1.23
0.9999934693523369,6.1639892167523165e-06,0.9998140172969274,0.0001794520554094687,1.4909634415877961e-09,3.6516748276306276e-07,1.24
0.999993364865488,6.2597174317348856e-06,0.9998125175770263,0.0001808472884616795,1.538999953199891e-09,3.738780802132773e-07,1.25
0.999993259569639,6.356119194801249e-06,0.9998110178593747,0.00018224171026442692,1.5881775625769582e-09,3.827229883671281e-07,1.26
0.9999931534652607,6.453193086861073e-06,0.9998095181439727,0.00018363532128810262,1.6385137906602317e-09,3.917031384057462e-07,1.27
0.9999930465528231,6.5509376910960864e-06,0.9998080184308202,0.0001850281220028255,1.69002627930664e-09,4.0081945939003184e-07,1.28
0.9999929388327957,6.649351592956721e-06,0.9998065187199173,0.00018642011287844183,1.742732791013402e-09,4.1007287826413095e-07,1.29
0.9999928303056486,6.74843338015876e-06,0.9998050190112641,0.00018781129438452549,1.7966512086430747e-09,4.194643198589068e-07,1.3
0.9999927209718507,6.8481816426799845e-06,0.9998035193048603,0.00018920166699037806,1.851799535149052e-09,4.2899470689540605e-07,1.31
0.9999926108318712,6.9485949727568305e-06,0.9998020196007061,0.00019059123116502903,1.908195893301513e-09,4.3866495998832014e-07,1.32
0.9999924998861787,7.049671964881049e-06,0.9998005198988015,0.00019197998737723593,1.9658585254138203e-09,4.4847599764944095e-07,1.33
0.9999923881352418,7.151411215796369e-06,0.9997990201991463,0.00019336793609548447,2.0248057930693685e-09,4.5842873629111186e-07,1.34
0.9999922755795289,7.253811324495169e-06,0.9997975205017409,0.0001947550777879887,2.0850561768488796e-09,4.6852409022967317e-07,1.35
0.9999921622195076,7.35687089221515e-06,0.9997960208065849,0.00019614141292269126,2.146628276058146e-09,4.787629716889027e-07,1.36
0.9999920480556458,7.460588522436016e-06,0.9997945211136785,0.00019752694196726337,2.20954080845622e-09,4.891462908034513e-07,1.37
0.9999919330884107,7.564962820876155e-06,0.9997930214230216,0.0001989116653891051,2.2738126099840514e-09,4.996749556222729e-07,1.3800000000000001
0.9999918173182696,7.669992395489328e-06,0.9997915217346143,0.0002002955836553456,2.3394626344935698e-09,5.103498721120496e-07,1.3900000000000001
0.9999917007456893,7.775675856461368e-06,0.9997900220484565,0.00020167869723284302,2.406509953477211e-09,5.211719441606119e-07,1.4000000000000001
