Time,BoNT,bulk,free,bound,translocate,lytic,tension,extracellular,endosome,neuroplasm,endocytosis,translocation,binding,bulk_movement
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00015
0.01,0.9999999995650845,0.999998500001125,1.4995639594251263e-06,4.3471078464469343e-10,2.0478386078048222e-13,6.767153118059596e-18,1.0,1.0,1.0,1.0,6.129422063490176e-11,2.6621901901462686e-15,8.697470964665732e-08,0.00014999977500016875
0.02,0.9999999982606745,0.9999970000045001,2.9982561744787915e-06,1.7376910927444359e-09,1.634325747282334e-12,1.0705301849226742e-16,0.9999999999999999,1.0,1.0,1.0,2.4501444407696546e-10,2.124623471467034e-14,1.738988581197699e-07,0.000149999550000675
0.03,0.9999999960872759,0.9999955000101252,4.496077150714305e-06,3.90721196806538e-09,5.5117935259985406e-12,5.391255234140966e-16,0.9999999999999994,1.0,1.0,1.0,5.509168874972185e-10,7.165331583798102e-14,2.607724747414297e-07,0.00014999932500151875
0.04,0.9999999930453934,0.9999940000180001,5.993027393339715e-06,6.941547537625599e-09,1.3057456445157643e-11,1.7020490013898693e-15,0.9999999999999983,1.0,1.0,1.0,9.787582028052094e-10,1.6974693378704935e-13,3.4759558881370347e-07,0.0001499991000027
0.05,0.9999999891355322,0.999992500028125,7.489107407226299e-06,1.083897478497382e-08,2.5488907196060446e-11,4.1516783910635785e-15,0.9999999999999959,1.0,1.0,1.0,1.5282954446813085e-09,3.313557935487858e-13,4.3436822961912536e-07,0.00014999887500421875
0.06,0.9999999843581969,0.9999910000405,8.98431769696048e-06,1.5597773406600867e-08,4.402115045057787e-11,8.603801424832219e-15,0.9999999999999915,1.0,1.0,1.0,2.1992860503307223e-09,5.722749558575123e-13,5.210904264237079e-07,0.000149998650006075
0.07,0.9999999787138918,0.999989500055125,1.0478658766852795e-05,2.1216225662195848e-08,6.986675462578517e-11,1.592315664531802e-14,0.9999999999999841,1.0,1.0,1.0,2.9914878183696144e-09,9.082678101352071e-13,6.077622084774621e-07,0.00014999842500826874
0.08,0.9999999722031209,0.999988000072,1.1972131120911629e-05,2.7692616614043064e-08,1.0423562499059944e-10,2.7137175910012543e-14,0.9999999999999729,1.0,1.0,1.0,3.904658942580071e-09,1.3550631248777926e-12,6.943836050128745e-07,0.00014999820001079998
0.09,0.9999999648263876,0.9999865000911248,1.346473526283684e-05,3.5025234183773876e-08,1.4833495011817575e-10,4.3439167770257105e-14,0.9999999999999566,1.0,1.0,1.0,4.938558019912116e-09,1.9283543515362845e-12,7.809546452445367e-07,0.0001499979750136687
0.1,0.9999999565841956,0.9999850001124996,1.4956471696036613e-05,4.3212368993478116e-08,2.0336935326056282e-10,6.617898377979674e-14,0.9999999999999338,1.0,1.0,1.0,6.0929440280804135e-09,2.6438015923873165e-12,8.674753583701236e-07,0.00014999775001687493
0.11,0.999999947477048,0.9999835001361244,1.6447340923655656e-05,5.2252314102384146e-08,2.7054114281785366e-10,9.684766169480699e-14,0.9999999999999032,1.0,1.0,1.0,7.367576288436164e-09,3.5170348566320974e-12,9.53945773572028e-07,0.00014999752502041865
0.12,0.9999999375054478,0.9999820001619992,1.793734344853983e-05,6.214336533244115e-08,3.5105000334335515e-10,1.3709621548730086e-13,0.9999999999998629,1.0,1.0,1.0,8.762214511874202e-09,4.563650043463617e-12,1.0403659200153102e-06,0.00014999730002429986
0.13,0.9999999266698972,0.999980500190124,1.9426479773221277e-05,7.288382140266667e-08,4.4609286840998425e-10,1.887432843016281e-13,0.9999999999998113,1.0,1.0,1.0,1.0276618817776e-08,5.799207289329795e-12,1.1267358268468342e-06,0.00014999707502851858
0.14,0.9999999149708986,0.9999790002204987,2.0914750399941194e-05,8.447198371621852e-08,5.568641232198828e-10,2.537626937505729e-13,0.9999999999997462,1.0,1.0,1.0,1.191054970398681e-08,7.2392336018584754e-12,1.2130555231965894e-06,0.00014999685003307478
0.15,0.999999902408954,0.9999775002531233,2.2402155830679408e-05,9.690615608512423e-08,6.845558662734737e-10,3.3426744953737157e-13,0.9999999999996657,1.0,1.0,1.0,1.3663768008002515e-08,8.899226261555158e-12,1.2993250381794058e-06,0.00014999662503796846
0.16,0.9999998889845649,0.9999760002879978,2.3888696567113118e-05,1.1018464510935569e-07,8.303575497755523e-10,4.3253156728154774e-13,0.9999999999995675,1.0,1.0,1.0,1.5536034960419152e-08,1.0794648147082179e-11,1.385544400892561e-06,0.00014999640004319966
0.17,0.9999998746982329,0.9999745003251224,2.537437311060318e-05,1.243057602994873e-07,9.954558636925355e-10,5.509970192707414e-13,0.999999999999449,1.0,1.0,1.0,1.7527112202227708e-08,1.294092622800296e-11,1.4717136404149845e-06,0.00014999617504876835
0.18,0.999999859550459,0.9999730003644968,2.685918596225198e-05,1.3926781354196374e-07,1.181035243589901e-09,6.922427749945558e-13,0.9999999999993078,1.0,1.0,1.0,1.9636761709416886e-08,1.5353458166668712e-11,1.557832785810615e-06,0.00014999595005467451
0.19,0.999999843541744,0.9999715004061211,2.834313562286403e-05,1.5506911945978108e-07,1.3882775286626961e-09,8.590055218677938e-13,0.999999999999141,1.0,1.0,1.0,2.186474584382913e-08,1.804760787261505e-11,1.6439018661261137e-06,0.00014999572506091817
0.2,0.9999998266725885,0.9999700004499955,2.9826222592934165e-05,1.7170799551775257e-07,1.6183618622725815e-09,1.0541856156660862e-12,0.9999999999989458,1.0,1.0,1.0,2.421082736800311e-08,2.1038704209543558e-11,1.7299209103901817e-06,0.0001499955000674993
0.21,0.9999998089434924,0.9999685004961197,3.13084473726779e-05,1.8918276174127057e-07,1.8724649591873643e-09,1.2808307561911956e-12,0.9999999999987191,1.0,1.0,1.0,2.667476940551915e-08,2.4342044469435735e-11,1.815889947615318e-06,0.00014999527507441796
0.22,0.999999790354956,0.999967000544494,3.27898104620431e-05,2.0749174060753716e-07,2.1517612089956975e-09,1.5421296569727622e-12,0.9999999999984579,1.0,1.0,1.0,2.9256335425662738e-08,2.7972895716944067e-11,1.9018090067984999e-06,0.00014999505008167407
0.23,0.9999997709074787,0.9999655005951181,3.4270312360626455e-05,2.266332578083176e-07,2.45742195314556e-09,1.841455801749311e-12,0.9999999999981586,1.0,1.0,1.0,3.195528935097278e-08,3.194648539089228e-11,1.9876781169163345e-06,0.00014999482508926772
