APC,APC_Cdc20,Bub3_BubR1,Bub3_BubR1_Cdc20,Cdc20,Cdc20_CMad2,MCC,MCC_APC,Mad1_CMad2,Mad1_CMad2_OMad2,OMad2,Time
9e-08,0.0,1.27e-07,0.0,2.2e-07,0.0,0.0,0.0,5e-08,0.0,1.3e-07,0.0
8.90180173150303e-08,9.819825031563785e-10,1.2699720758119363e-07,2.784903750921305e-12,2.190136215628766e-07,1.6035151606344917e-12,7.333242142011239e-15,1.818133176402274e-16,4.998834006987611e-08,1.1659930123899098e-11,1.2998672903966002e-07,0.01
8.80518391399314e-08,1.94815856696886e-09,1.269943980442733e-07,5.551753543839416e-12,2.180407881156411e-07,5.45136166326974e-12,4.790908319171699e-14,2.2930997249748757e-15,4.9978986197663254e-08,2.1013802336758787e-11,1.2997348463381705e-07,0.02
8.710112387206074e-08,2.898865937611568e-09,1.2699154590845096e-07,8.30075814280997e-12,2.1708163099462033e-07,1.1048976218996594e-11,1.4314307862793494e-13,1.0190327681702977e-14,4.997146460729071e-08,2.8535392709309286e-11,1.299602622976654e-07,0.03
8.616553643889215e-08,3.834434404410018e-09,1.2698863136551193e-07,1.1032126452584155e-11,2.1613619038651368e-07,1.8006574588148135e-11,3.0735133775295446e-13,2.9156697818149935e-14,4.99654015514821e-08,3.4598448517914614e-11,1.2994705846885838e-07,0.04
8.52447489114382e-08,4.7551857987624575e-09,1.2698563901148842e-07,1.3746066620536497e-11,2.152044377653499e-07,2.6015447375950338e-11,5.49632091824481e-13,6.528979931540249e-14,4.9960500671326225e-08,3.9499328673791825e-11,1.2993387030205913e-07,0.05
8.433844076265013e-08,5.6614341628210865e-09,1.2698255685715681e-07,1.6442785419365438e-11,2.1428629317988438e-07,3.482951445127688e-11,8.752828951094473e-13,1.2507452877605166e-13,4.9956525380490124e-08,4.347461950988855e-11,1.2992069550861496e-07,0.06
8.34462995252949e-08,6.553485354393958e-09,1.2697937580601238e-07,1.912248767347225e-11,2.1338163481558975e-07,4.425563602860925e-11,1.2865860030841734e-12,2.1512031112939704e-13,4.9953289614603e-08,4.671038539701536e-11,1.2990753227226018e-07,0.07
8.25680206501816e-08,7.431637432978282e-09,1.2697608891806528e-07,2.178537591308715e-11,2.124903114639466e-07,5.414002114035287e-11,1.7837891816025435e-12,3.4191684009254637e-13,4.995064485692744e-08,4.935514307257644e-11,1.298943791297654e-07,0.08
8.170330762037182e-08,8.29618067150844e-09,1.269726910297599e-07,2.443165009262518e-11,2.116121491108385e-07,6.436124741285634e-11,2.3656120278442294e-12,5.117081197264817e-13,4.994847347701776e-08,5.152652298224629e-11,1.2988123490945737e-07,0.09
8.085187185660448e-08,9.147397769993244e-09,1.269691783073935e-07,2.7061507356426386e-11,2.1074695847482307e-07,7.482206257712591e-11,3.029811847885574e-12,7.303734022627318e-13,4.994668090671784e-08,5.3319093282167485e-11,1.298680986588906e-07,0.1
8.001343263110819e-08,9.985563972124823e-09,1.2696554804732656e-07,2.967514193401829e-11,2.098945383161318e-07,8.54457590698668e-11,3.773413972519681e-12,1.003396766975409e-12,4.9945192182326254e-08,5.480781767374905e-11,1.2985496961251696e-07,0.11
7.91877169085408e-08,1.0810947261743303e-08,1.2696179841758238e-07,3.2272745028513985e-11,2.090546796775069e-07,9.617147833213418e-11,4.593007673317736e-12,1.3358297158831037e-12,4.994394746556429e-08,5.6052534435717167e-11,1.2984184714984302e-07,0.12
7.837445916532821e-08,1.162380855715634e-08,1.2695792827741922e-07,3.48545047631919e-11,2.0822716877258463e-07,1.0695094767818962e-10,5.4849403022660625e-12,1.7322775154169847e-12,4.994289893169248e-08,5.7101068307523086e-11,1.2982873076619667e-07,0.13
7.757340119408283e-08,1.24244019019937e-08,1.2695393703726248e-07,3.742060615326852e-11,2.0741178917829668e-07,1.1774595697206205e-10,6.445452660893681e-12,2.1969039234414317e-12,4.994200836359259e-08,5.799163640740571e-11,1.2981562005003627e-07,0.14
7.678429188377418e-08,1.3212974671752352e-08,1.269498245391628e-07,3.997123109981373e-11,2.0660832365017632e-07,1.2852621723407813e-10,7.47078526404284e-12,2.73344447344439e-12,4.994124511054543e-08,5.87548894545759e-11,1.2980251466357395e-07,0.15
7.600688701159097e-08,1.3989767764235414e-08,1.2694559096903243e-07,4.2506558401257096e-11,2.058165554141151e-07,1.392677906818554e-10,8.557248392810306e-12,3.345224173602008e-12,4.994058459178893e-08,5.941540821106895e-11,1.2978941432854075e-07,0.16
7.524094902736982e-08,1.4755015791397378e-08,1.269412367909e-07,4.502676378179418e-11,2.0503626908107075e-07,1.4995191843183395e-10,9.701264085490771e-12,4.03518123278749e-12,4.994000717926348e-08,5.999282073651304e-11,1.2977631881551345e-07,0.17
7.448624684161141e-08,1.550894726882931e-08,1.269367626823293e-07,4.753201992005108e-11,2.0426725153715684e-07,1.605638763430615e-10,1.0899408191487114e-11,4.8058895592769634e-12,4.9939497107521996e-08,6.050289247800724e-11,1.2976322793342824e-07,0.18
7.374255560708511e-08,1.6251784807692703e-08,1.2693216948735893e-07,5.002249649212145e-11,2.0350929253739026e-07,1.7109214227586586e-10,1.2148430926905486e-11,5.659585222174665e-12,4.993904168035127e-08,6.095831964873881e-11,1.297501415219264e-07,0.19
7.300965648446186e-08,1.6983745319190668e-08,1.2692745817959947e-07,5.249836022762493e-11,2.0276218511634946e-07,1.8152774405924788e-10,1.3445263825567027e-11,6.598196347470319e-12,4.993863064957071e-08,6.13693504292948e-11,1.297370594453385e-07,0.2
7.228733647796336e-08,1.7705040159640788e-08,1.2692262983669444e-07,5.495977495053232e-11,2.02025725866514e-07,1.91863810539549e-10,1.4787025959333133e-11,7.623362395846068e-12,4.9938255787413136e-08,6.1744212586865e-11,1.2972398158851848e-07,0.21
7.157538825897313e-08,1.841587528499928e-08,1.2691768561891514e-07,5.740690162730068e-11,2.0129971513562647e-07,2.0209519828930015e-10,1.61710234301426e-11,8.736456027571062e-12,4.993791053109006e-08,6.20894689099414e-11,1.2971090785334313e-07,0.22
7.087360994254978e-08,1.9116451446800293e-08,1.2691262674542111e-07,5.983989843071445e-11,2.0058395722623506e-07,2.1221807238568931e-10,1.7594745498402698e-11,9.938610649913126e-12,4.9937589583356936e-08,6.241041664306333e-11,1.29697838154823e-07,0.23
7.018180488920439e-08,1.9806964366912632e-08,1.2690745447733162e-07,6.225892080049172e-11,1.9987826050021743e-07,2.2222961020148596e-10,1.9055857985067086e-11,1.1230743882967992e-11,4.993728863038784e-08,6.271136961216282e-11,1.296847724183184e-07,0.24
6.949978153840035e-08,2.048760488527528e-08,1.26902170107364e-07,6.466412149804578e-11,1.9918243740061192e-07,2.3212782147672818e-10,2.05521948137521e-11,1.2613576324357466e-11,4.9937004170436926e-08,6.299582956307834e-11,1.2967171057782216e-07,0.25
6.88273532482517e-08,2.1158559102745122e-08,1.268967749515932e-07,6.70556506612251e-11,1.9849630444433434e-07,2.4191140451366185e-10,2.20817487425494e-11,1.408764900316822e-11,4.993673337684531e-08,6.326662315469417e-11,1.29658652574586e-07,0.26
