data_set_value_component_environment_variable_time,data_set_value_component_x_variable_x,data_set_value_component_y_variable_y,data_set_value_component_y_variable_d2,data_set_value_component_w_variable_w,data_set_value_component_w_variable_f,data_set_value_component_z_variable_z,data_set_value_component_z_variable_v,data_set_value_component_model_parameters_variable_a,data_set_value_component_model_parameters_variable_d1,data_set_value_component_model_parameters_variable_r,data_set_value_component_model_parameters_variable_p,data_set_value_component_model_parameters_variable_alpha,data_set_value_component_model_parameters_variable_mu,data_set_value_component_model_parameters_variable_kappa
0.0,1.0,0.0,0.7706194846452523,0.0,100.0,0.01,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.1,0.9994664706798067,7.854403977785856e-07,0.7706194846452523,0.003022278979569745,100.0,0.009813324873094388,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.2,0.9989326333677593,2.80376067068431e-06,0.7706194846452523,0.005486006651698016,100.0,0.010172699688295836,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.30000000000000004,0.9983985675536801,5.625098755440598e-06,0.7706194846452523,0.007424645913323024,100.0,0.011020721835900173,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.4,0.9978642741241438,8.871516621419872e-06,0.7706194846452523,0.0088267715385316,100.0,0.012346070350297701,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.5,0.9973296801181796,1.2200461025722315e-05,0.7706194846452523,0.009672568798002846,100.0,0.014146324140650765,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.6000000000000001,0.9967946437180908,1.531115746475125e-05,0.7706194846452523,0.009966740117258704,100.0,0.016395142803289832,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.7000000000000001,0.9962589759985563,1.797980218246712e-05,0.7706194846452523,0.009764927123955854,100.0,0.019017570322013504,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.8,0.9957224738886046,2.0098209871366e-05,0.7706194846452523,0.009182678157850094,100.0,0.021883573994236162,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
0.9,0.9951849566782257,2.1688597673452565e-05,0.7706194846452523,0.00837727086939515,100.0,0.024828565793979046,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
1.0,0.9946462957570963,2.2870341895766536e-05,0.7706194846452523,0.007505904864044994,100.0,0.027695723627394732,0.5,0.03333,0.005,1.0,200.0,0.00033329999999999997,0.023,1.0
