T,CLI,DK,KI,N,STIM,V,Z,_CLE,_ECL,_EK,_ENA,_IPUMP,_I_CL_L,_I_K,_I_K_G,_I_K_L,_I_NA,_I_NA_G,_I_NA_L,_KE,_NAE,_NAI
0.0,9.900239,0.0,129.25764,0.069411002,0.0,-67.193253,1.0,123.2716,-67.18158,-92.587677,42.694931,0.64416456,-0.00023342176,0.0049701543,0.023578247,1.269721,-0.005324814,-0.014775271,-1.9230433,4.0,125.30555,25.231485
0.5,9.9002361,0.0,129.25752,0.069434501,0.0,-67.189102,1.0,123.27161,-67.181587,-92.585396,42.694744,0.64435399,-0.00015025263,0.0047188294,0.023611942,1.2698148,-0.0047036773,-0.014798238,-1.9229673,4.0003381,125.30522,25.231596
1.0,9.9002333,0.0,129.25743,0.069436438,0.0,-67.188705,1.0,123.27161,-67.181602,-92.583351,42.694576,0.64452422,-0.00014210268,0.0042971163,0.023613049,1.2697325,-0.0041852314,-0.014800427,-1.9229574,4.0006418,125.30492,25.231693
1.5,9.9002304,0.0,129.25734,0.069433935,0.0,-67.189125,1.0,123.27163,-67.18161,-92.58152,42.694427,0.6446771,-0.00015025456,0.003873053,0.023607545,1.2696197,-0.003728861,-0.01479809,-1.9229622,4.0009151,125.30466,25.231781
2.0,9.9002266,0.0,129.25725,0.069430768,0.0,-67.189682,1.0,123.27164,-67.181625,-92.579872,42.694294,0.64481443,-0.00016114497,0.0034817907,0.023601182,1.2695094,-0.0033212283,-0.014794989,-1.9229696,4.0011601,125.30443,25.231859
2.5,9.9002237,0.0,129.25719,0.069427721,0.0,-67.190224,1.0,123.27164,-67.181633,-92.578384,42.694176,0.64493775,-0.00017172306,0.0031280559,0.023595167,1.2694083,-0.0029557389,-0.014791974,-1.922977,4.0013804,125.30421,25.23193
3.0,9.900219,0.0,129.25711,0.069424957,0.0,-67.19072,1.0,123.27166,-67.181648,-92.577057,42.694073,0.64504844,-0.00018137512,0.002809885,0.023589704,1.269317,-0.0026277213,-0.014789212,-1.9229838,4.0015783,125.30403,25.231991
3.5,9.9002151,0.0,129.25705,0.069422461,0.0,-67.191162,1.0,123.27167,-67.181664,-92.575859,42.693977,0.6451478,-0.00019004494,0.0025240798,0.023584791,1.2692349,-0.002333269,-0.014786721,-1.92299,4.0017557,125.30386,25.232046
4.0,9.9002113,0.0,129.257,0.069420218,0.0,-67.191566,1.0,123.27168,-67.181679,-92.574791,42.693897,0.64523703,-0.00019779734,0.0022674382,0.023580378,1.2691611,-0.0020689406,-0.014784482,-1.9229956,4.0019155,125.30372,25.232096
4.5,9.9002066,0.0,129.25696,0.069418214,0.0,-67.191925,1.0,123.2717,-67.181694,-92.573822,42.693821,0.64531714,-0.00020471749,0.0020370081,0.023576416,1.2690948,-0.0018316595,-0.014782473,-1.9230006,4.002059,125.30359,25.23214
