data_generator_T,data_generator_V,data_generator__ECL,data_generator__EK,data_generator__ENA
0.0,-67.193253,-67.18158,-92.587677,42.694931
0.5,-67.189102,-67.181587,-92.585396,42.694744
1.0,-67.188705,-67.181602,-92.583351,42.694576
1.5,-67.189125,-67.18161,-92.58152,42.694427
2.0,-67.189682,-67.181625,-92.579872,42.694294
2.5,-67.190224,-67.181633,-92.578384,42.694176
3.0,-67.19072,-67.181648,-92.577057,42.694073
3.5,-67.191162,-67.181664,-92.575859,42.693977
4.0,-67.191566,-67.181679,-92.574791,42.693897
4.5,-67.191925,-67.181694,-92.573822,42.693821
5.0,-67.192253,-67.181709,-92.57296,42.693756
5.5,-67.192543,-67.181725,-92.572182,42.693699
6.0,-67.192802,-67.18174,-92.57148,42.693649
6.5,-67.193039,-67.181755,-92.570854,42.693607
7.0,-67.193245,-67.18177,-92.57029,42.693565
7.5,-67.193436,-67.181786,-92.569778,42.693531
8.0,-67.193604,-67.181808,-92.569321,42.693504
8.5,-67.193756,-67.181824,-92.568909,42.693478
9.0,-67.193893,-67.181839,-92.568542,42.693455
9.5,-67.194008,-67.181862,-92.568214,42.693436
10.0,-67.194122,-67.181877,-92.567909,42.69342
10.5,-67.194221,-67.181892,-92.567642,42.693409
11.0,-67.194305,-67.181915,-92.567406,42.693398
11.5,-67.194382,-67.181931,-92.567184,42.69339
12.0,-67.19445,-67.181953,-92.566986,42.693382
12.5,-67.194519,-67.181969,-92.566811,42.693375
13.0,-67.194572,-67.181992,-92.56665,42.693371
13.5,-67.194626,-67.182007,-92.566513,42.693371
14.0,-67.194672,-67.182022,-92.566383,42.693367
14.5,-67.19471,-67.182045,-92.566261,42.693367
15.0,-67.19474,-67.18206,-92.566154,42.693367
15.5,-67.194778,-67.182083,-92.566063,42.693371
16.0,-67.194801,-67.182098,-92.565979,42.693371
16.5,-67.194832,-67.182121,-92.565895,42.693375
17.0,-67.194855,-67.182137,-92.565826,42.693378
17.5,-67.19487,-67.182159,-92.565765,42.693382
18.0,-67.194893,-67.182175,-92.565704,42.693386
18.5,-67.194908,-67.182198,-92.565651,42.693394
19.0,-67.194923,-67.182213,-92.565605,42.693398
19.5,-67.194931,-67.182236,-92.565559,42.693405
20.0,-67.194946,-67.182251,-92.565521,42.693409
20.5,-67.194954,-67.182274,-92.565483,42.693417
21.0,-67.194962,-67.182289,-92.565453,42.693424
21.5,-67.194969,-67.182304,-92.565422,42.693432
22.0,-67.194977,-67.182327,-92.565392,42.693439
22.5,-67.194977,-67.182343,-92.565369,42.693443
23.0,-67.194984,-67.182365,-92.565346,42.693451
23.5,-67.194992,-67.182381,-92.565323,42.693459
24.0,-67.194992,-67.182404,-92.5653,42.69347
24.5,-67.195,-67.182419,-92.565285,42.693478
25.0,-67.195,-67.182442,-92.565269,42.693485
25.5,-67.195,-67.182457,-92.565254,42.693493
26.0,-67.195,-67.18248,-92.565239,42.693501
26.5,-67.195,-67.182495,-92.565224,42.693508
27.0,-67.195007,-67.18251,-92.565208,42.693516
27.5,-67.195007,-67.182533,-92.565193,42.693523
28.0,-67.195007,-67.182549,-92.565186,42.693535
28.5,-67.195007,-67.182571,-92.56517,42.693542
29.0,-67.195007,-67.182587,-92.565163,42.69355
29.5,-67.195007,-67.18261,-92.565155,42.693558
30.0,-67.195007,-67.182625,-92.56514,42.693569
30.5,-67.195007,-67.18264,-92.565132,42.693577
31.0,-67.195007,-67.182663,-92.565125,42.693584
31.5,-67.195,-67.182678,-92.565117,42.693592
32.0,-67.195,-67.182701,-92.565109,42.693604
32.5,-67.195,-67.182716,-92.565102,42.693611
33.0,-67.195,-67.182732,-92.565094,42.693619
33.5,-67.195,-67.182755,-92.565086,42.693626
34.0,-67.195,-67.18277,-92.565079,42.693638
34.5,-67.195,-67.182785,-92.565071,42.693645
35.0,-67.194992,-67.182808,-92.565063,42.693653
35.5,-67.194992,-67.182823,-92.565056,42.693661
36.0,-67.194992,-67.182846,-92.565048,42.693672
36.5,-67.194992,-67.182861,-92.565041,42.69368
37.0,-67.194992,-67.182877,-92.565033,42.693687
37.5,-67.194984,-67.182899,-92.565025,42.693695
38.0,-67.194984,-67.182915,-92.565025,42.693707
38.5,-67.194984,-67.18293,-92.565018,42.693714
39.0,-67.194984,-67.182953,-92.56501,42.693722
39.5,-67.194984,-67.182968,-92.565002,42.693729
40.0,-67.194977,-67.182983,-92.564995,42.693737
40.5,-67.194977,-67.183006,-92.564995,42.693748
41.0,-67.194977,-67.183022,-92.564987,42.693756
41.5,-67.194977,-67.183037,-92.56498,42.693764
42.0,-67.194977,-67.18306,-92.564972,42.693771
42.5,-67.194969,-67.183075,-92.564964,42.693783
43.0,-67.194969,-67.18309,-92.564964,42.69379
43.5,-67.194969,-67.183113,-92.564957,42.693798
44.0,-67.194969,-67.183128,-92.564949,42.693806
44.5,-67.194962,-67.183144,-92.564941,42.693813
45.0,-67.194962,-67.183159,-92.564941,42.693825
45.5,-67.194962,-67.183182,-92.564934,42.693832
46.0,-67.194962,-67.183197,-92.564926,42.69384
46.5,-67.194962,-67.183212,-92.564919,42.693848
47.0,-67.194954,-67.183235,-92.564919,42.693855
47.5,-67.194954,-67.18325,-92.564911,42.693867
48.0,-67.194954,-67.183266,-92.564903,42.693874
48.5,-67.194954,-67.183281,-92.564903,42.693882
49.0,-67.194946,-67.183304,-92.564896,42.69389
49.5,-67.194946,-67.183319,-92.564888,42.693897
50.0,-67.194946,-67.183334,-92.56488,42.693909
50.5,-67.194946,-67.183357,-92.56488,42.693916
51.0,-67.194946,-67.183372,-92.564873,42.693924
51.5,-67.194939,-67.183388,-92.564865,42.693932
52.0,-67.194939,-67.183403,-92.564857,42.693939
52.5,-67.194939,-67.183426,-92.564857,42.693947
53.0,-67.194939,-67.183441,-92.56485,42.693954
53.5,-67.194931,-67.183456,-92.564842,42.693966
54.0,-67.194931,-67.183472,-92.564842,42.693974
54.5,-67.194931,-67.183487,-92.564835,42.693981
55.0,-67.194931,-67.18351,-92.564827,42.693989
55.5,-67.194923,-67.183525,-92.564827,42.693996
56.0,-67.194923,-67.18354,-92.564819,42.694004
56.5,-67.194923,-67.183556,-92.564812,42.694012
57.0,-67.194923,-67.183578,-92.564804,42.694023
57.5,-67.194923,-67.183594,-92.564804,42.694031
58.0,-67.194916,-67.183609,-92.564796,42.694038
58.5,-67.194916,-67.183624,-92.564789,42.694046
59.0,-67.194916,-67.18364,-92.564789,42.694054
59.5,-67.194916,-67.183662,-92.564781,42.694061
60.0,-67.194908,-67.183678,-92.564774,42.694069
60.5,-67.194908,-67.183693,-92.564774,42.694077
61.0,-67.194908,-67.183708,-92.564766,42.694084
61.5,-67.194908,-67.183723,-92.564758,42.694096
62.0,-67.194908,-67.183739,-92.564751,42.694103
62.5,-67.194901,-67.183762,-92.564751,42.694111
63.0,-67.194901,-67.183777,-92.564743,42.694118
63.5,-67.194901,-67.183792,-92.564735,42.694126
64.0,-67.194901,-67.183807,-92.564735,42.694134
64.5,-67.194901,-67.183823,-92.564728,42.694141
65.0,-67.194893,-67.183838,-92.56472,42.694149
65.5,-67.194893,-67.183861,-92.56472,42.694157
66.0,-67.194893,-67.183876,-92.564713,42.694164
66.5,-67.194893,-67.183891,-92.564705,42.694172
67.0,-67.194885,-67.183907,-92.564705,42.69418
67.5,-67.194885,-67.183922,-92.564697,42.694187
68.0,-67.194885,-67.183937,-92.56469,42.694195
68.5,-67.194885,-67.183952,-92.56469,42.694202
69.0,-67.194885,-67.183968,-92.564682,42.69421
69.5,-67.194878,-67.18399,-92.564674,42.694221
70.0,-67.194878,-67.184006,-92.564674,42.694229
70.5,-67.194878,-67.184021,-92.564667,42.694237
71.0,-67.194878,-67.184036,-92.564659,42.694244
71.5,-67.194878,-67.184052,-92.564659,42.694252
72.0,-67.19487,-67.184067,-92.564651,42.69426
72.5,-67.19487,-67.184082,-92.564644,42.694267
73.0,-67.19487,-67.184097,-92.564644,42.694275
73.5,-67.19487,-67.184113,-92.564636,42.694283
74.0,-67.194862,-67.184135,-92.564629,42.69429
74.5,-67.194862,-67.184151,-92.564629,42.694298
75.0,-67.194862,-67.184166,-92.564621,42.694305
75.5,-67.194862,-67.184181,-92.564613,42.694313
76.0,-67.194862,-67.184196,-92.564613,42.694321
76.5,-67.194855,-67.184212,-92.564606,42.694328
77.0,-67.194855,-67.184227,-92.564598,42.694336
77.5,-67.194855,-67.184242,-92.564598,42.694344
78.0,-67.194855,-67.184258,-92.56459,42.694351
78.5,-67.194855,-67.184273,-92.564583,42.694359
79.0,-67.194847,-67.184288,-92.564583,42.694366
79.5,-67.194847,-67.184303,-92.564575,42.694374
80.0,-67.194847,-67.184319,-92.564568,42.694382
80.5,-67.194847,-67.184334,-92.564568,42.694389
81.0,-67.194847,-67.184349,-92.56456,42.694397
81.5,-67.194839,-67.184364,-92.56456,42.694401
82.0,-67.194839,-67.18438,-92.564552,42.694408
82.5,-67.194839,-67.184402,-92.564545,42.694416
83.0,-67.194839,-67.184418,-92.564545,42.694424
83.5,-67.194839,-67.184433,-92.564537,42.694431
84.0,-67.194832,-67.184448,-92.564529,42.694439
84.5,-67.194832,-67.184464,-92.564529,42.694447
85.0,-67.194832,-67.184479,-92.564522,42.694454
85.5,-67.194832,-67.184494,-92.564514,42.694462
86.0,-67.194832,-67.184509,-92.564514,42.694469
86.5,-67.194824,-67.184525,-92.564507,42.694477
87.0,-67.194824,-67.18454,-92.564499,42.694485
87.5,-67.194824,-67.184555,-92.564499,42.694492
88.0,-67.194824,-67.18457,-92.564491,42.6945
88.5,-67.194817,-67.184586,-92.564491,42.694508
89.0,-67.194817,-67.184601,-92.564484,42.694511
89.5,-67.194817,-67.184616,-92.564476,42.694519
90.0,-67.194817,-67.184631,-92.564476,42.694527
90.5,-67.194817,-67.184647,-92.564468,42.694534
91.0,-67.194809,-67.184662,-92.564461,42.694542
91.5,-67.194809,-67.184677,-92.564461,42.69455
92.0,-67.194809,-67.184692,-92.564453,42.694557
92.5,-67.194809,-67.1847,-92.564453,42.694565
93.0,-67.194809,-67.184715,-92.564445,42.694572
93.5,-67.194809,-67.184731,-92.564438,42.69458
94.0,-67.194801,-67.184746,-92.564438,42.694584
94.5,-67.194801,-67.184761,-92.56443,42.694592
95.0,-67.194801,-67.184776,-92.564423,42.694599
95.5,-67.194801,-67.184792,-92.564423,42.694607
96.0,-67.194801,-67.184807,-92.564415,42.694614
96.5,-67.194794,-67.184822,-92.564415,42.694622
97.0,-67.194794,-67.184837,-92.564407,42.69463
97.5,-67.194794,-67.184853,-92.5644,42.694637
98.0,-67.194794,-67.184868,-92.5644,42.694641
98.5,-67.194794,-67.184883,-92.564392,42.694649
99.0,-67.194786,-67.184898,-92.564392,42.694656
99.5,-67.194786,-67.184914,-92.564384,42.694664
100.0,-67.194786,-67.184929,-92.564377,42.694672
100.5,-67.194786,-67.184944,-92.564377,42.694679
101.0,-67.194786,-67.184952,-92.564369,42.694683
101.5,-67.194778,-67.184967,-92.564369,42.694691
102.0,-67.194778,-67.184982,-92.564362,42.694698
102.5,-67.194778,-67.184998,-92.564354,42.694706
103.0,-67.194778,-67.185013,-92.564354,42.694714
103.5,-67.194778,-67.185028,-92.564346,42.694721
104.0,-67.194771,-67.185043,-92.564346,42.694725
104.5,-67.194771,-67.185059,-92.564339,42.694733
105.0,-67.194771,-67.185074,-92.564331,42.69474
