PI3K_1_task1,_1_task1
1.0,0.0
1.0,0.15
1.0,0.3
1.0,0.44999999999999996
1.0,0.6
1.0,0.75
1.0,0.8999999999999999
0.1,1.05
0.1,1.2
0.1,1.3499999999999999
0.1,1.5
0.1,1.65
0.1,1.7999999999999998
0.1,1.95
0.1,2.1
0.1,2.25
0.1,2.4
0.1,2.55
0.1,2.6999999999999997
0.1,2.85
0.1,3.0
0.1,3.15
0.1,3.3
0.1,3.4499999999999997
0.1,3.5999999999999996
0.1,3.75
0.1,3.9
1.0,4.05
1.0,4.2
1.0,4.35
1.0,4.5
1.0,4.6499999999999995
1.0,4.8
1.0,4.95
1.0,5.1
1.0,5.25
1.0,5.3999999999999995
1.0,5.55
1.0,5.7
1.0,5.85
0.1,6.0
0.1,6.1499999999999995
0.1,6.3
0.1,6.45
0.1,6.6
0.1,6.75
0.1,6.8999999999999995
0.1,7.05
0.1,7.199999999999999
0.1,7.35
0.1,7.5
0.1,7.6499999999999995
0.1,7.8
0.1,7.949999999999999
0.1,8.1
0.1,8.25
0.1,8.4
0.1,8.549999999999999
0.1,8.7
0.1,8.85
0.1,9.0
0.1,9.15
0.1,9.299999999999999
0.1,9.45
0.1,9.6
0.1,9.75
0.1,9.9
0.1,10.049999999999999
0.1,10.2
0.1,10.35
0.1,10.5
0.1,10.65
0.1,10.799999999999999
0.1,10.95
0.1,11.1
0.1,11.25
0.1,11.4
0.1,11.549999999999999
0.1,11.7
0.1,11.85
0.1,12.0
0.1,12.15
0.1,12.299999999999999
0.1,12.45
0.1,12.6
0.1,12.75
0.1,12.9
0.1,13.049999999999999
0.1,13.2
0.1,13.35
0.1,13.5
0.1,13.65
0.1,13.799999999999999
0.1,13.95
0.1,14.1
0.1,14.25
0.1,14.399999999999999
0.1,14.549999999999999
0.1,14.7
0.1,14.85
0.1,15.0
