N_4_task1,Ncrit_1_task1,R_2_task1,S_3_task1,_1_task1
10000200000.0,500000000000.0,200000.0,10000000000.0,0.0
5133277101.760935,500000000000.0,396819.02484600135,5132880282.736089,20.0
2423387553.6564565,500000000000.0,845005.2902847909,2422542548.366172,40.0
1042306975.6386048,500000000000.0,1969987.6714112577,1040336987.9671935,60.0
407001005.9637868,500000000000.0,5100536.031596799,401900469.93219,80.0
153183458.08428425,500000000000.0,14815374.857365862,138368083.2269184,100.0
90654412.84172967,500000000000.0,47466318.47355934,43188094.36817033,120.0
164821875.40528798,500000000000.0,151270042.9518888,13551832.45339917,140.0
440037047.538167,500000000000.0,435327801.2150258,4709246.3231412,160.0
1118774743.3343072,500000000000.0,1116938840.493592,1835902.8407151813,180.0
2581164735.989312,500000000000.0,2580368999.7120366,795736.2772755916,200.0
5429223841.6038685,500000000000.0,5428843521.725973,380319.87789556896,220.0
10510712233.089441,500000000000.0,10510511938.974337,200294.11510493836,240.0
18900216089.479275,500000000000.0,18900098176.718773,117912.7605022974,260.0
31828356410.310966,500000000000.0,31828276089.48323,80320.8277367588,280.0
50565779931.265434,500000000000.0,50565714108.04687,65823.21856701671,300.0
76282109458.71829,500000000000.0,76282044444.38383,65014.334464459156,320.0
109906876128.7028,500000000000.0,109906802523.5906,73605.11219326456,340.0
152018042006.52618,500000000000.0,152017952512.63818,89493.88798807396,360.0
202775710680.00842,500000000000.0,202775599182.77042,111497.23801978242,380.0
261907575522.1136,500000000000.0,261907436741.40717,138780.70641788284,400.0
328742209330.5668,500000000000.0,328742038723.81915,170606.74763796455,420.0
402278901486.0551,500000000000.0,402278695250.87366,206235.181463746,440.0
481279345370.0112,500000000000.0,481279100471.09503,244898.91618984973,460.0
564366486204.3922,500000000000.0,564366200388.9994,285815.3928381178,480.0
650118573442.2947,500000000000.0,650118245229.9872,328212.30753581657,500.0
737149945969.5309,500000000000.0,737149574613.8423,371355.6886219534,520.0
824173871744.5885,500000000000.0,824173457170.5923,414573.99621478387,540.0
910046555422.2388,500000000000.0,910046098146.6215,457275.6173577249,560.0
993792989770.1317,500000000000.0,993792490811.1454,498958.9863382932,580.0
1074617246124.8423,500000000000.0,1074616706908.8965,539215.9457950629,600.0
1151900958669.8142,500000000000.0,1151900380940.018,577729.7961889682,620.0
1225192718849.4333,500000000000.0,1225192104580.2327,614269.2005899235,640.0
1294191677915.5925,500000000000.0,1294191029236.1323,648679.4601449983,660.0
1358728148164.8005,500000000000.0,1358727467292.3552,680872.4452944339,680.0
1418743019665.838,500000000000.0,1418742308849.7925,710816.0454874838,700.0
1474267385827.1987,500000000000.0,1474266647303.402,738523.7966117407,720.0
1525403599837.2732,500000000000.0,1525402835791.9954,764045.2777802757,740.0
1572308158620.4172,500000000000.0,1572307371162.9612,787457.4560406675,760.0
1615176730730.4136,500000000000.0,1615175921873.286,808857.1276206347,780.0
1654231645550.2395,500000000000.0,1654230817195.6282,828354.6113772296,800.0
1689711308795.8074,500000000000.0,1689710462727.3936,846068.4138530241,820.0
1721861925498.3054,500000000000.0,1721861063377.244,862121.0615338491,840.0
1750930660139.6628,500000000000.0,1750929783504.0063,876635.6564361992,860.0
1777160661928.7874,500000000000.0,1777159772195.416,889733.3713214144,880.0
1800787435813.9106,500000000000.0,1800786534282.292,901531.6186570927,900.0
1822035995442.7122,500000000000.0,1822035083300.0942,912142.6178154416,920.0
1841119090548.0857,500000000000.0,1841118168875.5864,921672.499335897,940.0
1858236206395.4133,500000000000.0,1858235276174.6165,930220.7968339088,960.0
1873573118773.2524,500000000000.0,1873572180893.0337,937880.2187162535,980.0
1887301400543.9045,500000000000.0,1887300455807.507,944736.3974278284,1000.0
1899579153436.3442,500000000000.0,1899578202568.0938,950868.2504543008,1020.0
1910551238641.4941,500000000000.0,1910550282293.4014,956348.0928220421,1040.0
1920349733370.5608,500000000000.0,1920348772128.6978,961241.8630385132,1060.0
1929094860216.869,500000000000.0,1929093894607.2837,965609.5851124314,1080.0
1936895674524.0427,500000000000.0,1936894705018.3323,969505.7105470605,1100.0
1943850786308.4768,500000000000.0,1943849813328.999,972979.477888115,1120.0
1950049259813.7595,500000000000.0,1950048283738.3984,976075.3609877042,1140.0
1955571297110.7893,500000000000.0,1955570318277.3794,978833.4098789128,1160.0
1960489086152.168,500000000000.0,1960488104862.4944,981289.6736677787,1180.0
1964867422019.4854,500000000000.0,1964866438542.9749,983476.5105295366,1200.0
1968764450906.2063,500000000000.0,1968763465483.2473,985422.9588724041,1220.0
1972232269154.416,500000000000.0,1972231281999.3796,987155.0363154709,1240.0
1975317506625.6777,500000000000.0,1975316517929.647,988696.0308488111,1260.0
1978061853380.4924,500000000000.0,1978060863313.7288,990066.7637409684,1280.0
1980502568568.4512,500000000000.0,1980501577282.6077,991285.8435775781,1300.0
1982672942889.207,500000000000.0,1982671950519.3098,992369.8971474649,1320.0
1984602664759.471,500000000000.0,1984601671425.7188,993333.7522656564,1340.0
1986318201436.9543,500000000000.0,1986317207246.3262,994190.6280693916,1360.0
1987843191039.9172,500000000000.0,1987842196087.5864,994952.3307615675,1380.0
1989198666758.4597,500000000000.0,1989197671129.0942,995629.3655791393,1400.0
1990403366188.0286,500000000000.0,1990402369956.9373,996231.0912600491,1420.0
1991473992357.166,500000000000.0,1991472995591.3157,996765.850398128,1440.0
1992425409140.028,500000000000.0,1992424411898.961,997241.067062355,1460.0
1993270852942.3005,500000000000.0,1993269855278.948,997663.3524241523,1480.0
1994022086668.4963,500000000000.0,1994021088629.9146,998038.5816832111,1500.0
1994689569359.9727,500000000000.0,1994688570987.994,998371.9788547154,1520.0
1995282609141.7798,500000000000.0,1995281610473.5867,998668.1931379873,1540.0
1995809489515.5369,500000000000.0,1995808490584.1748,998931.3619641424,1560.0
1996277577847.332,500000000000.0,1996276578682.1667,999165.1651730444,1580.0
1996693423603.468,500000000000.0,1996692424230.594,999372.874083229,1600.0
1997062848268.7307,500000000000.0,1997061848711.3342,999557.3964076765,1620.0
1997391026333.432,500000000000.0,1997390026612.1152,999721.3167046863,1640.0
1997682557172.3538,500000000000.0,1997681557305.4214,999866.9322775245,1660.0
1997941528651.7983,500000000000.0,1997940528655.5134,999996.2849428862,1680.0
1998171573639.3848,500000000000.0,1998170573528.1956,1000111.1892554741,1700.0
1998375920377.384,500000000000.0,1998374920164.1265,1000213.2576681232,1720.0
1998557437393.33,500000000000.0,1998556437089.4072,1000303.9229635139,1740.0
1998718673480.994,500000000000.0,1998717673096.5356,1000384.458223605,1760.0
1998861893252.3108,500000000000.0,1998860892796.3162,1000455.994586872,1780.0
1998989108743.6465,500000000000.0,1998988108224.1094,1000519.5370348468,1800.0
1999102107519.9133,500000000000.0,1999101106943.9348,1000575.9784294781,1820.0
1999202477667.0708,500000000000.0,1999201477040.9587,1000626.1119963514,1840.0
1999291630003.9539,500000000000.0,1999290629333.3115,1000670.6424190189,1860.0
1999370817872.0093,500000000000.0,1999369817161.8135,1000710.1957236539,1880.0
1999441154664.0713,500000000000.0,1999440153918.7432,1000745.3280342781,1900.0
1999503629429.4844,500000000000.0,1999502628652.951,1000776.5333672301,1920.0
1999559120751.4172,500000000000.0,1999558119947.1667,1000804.2505626528,1940.0
1999608409076.4927,500000000000.0,1999607408247.6233,1000828.8694429399,1960.0
1999652187667.1777,500000000000.0,1999651186816.4414,1000850.7362832724,1980.0
1999691072332.661,500000000000.0,1999690071462.5022,1000870.1586720316,2000.0
