Time,Ncrit,R,S,N,b,C0,t1,t2,Ninf,tme,sensitive_cell_growth,sensitive_cell_death,resistance,resistant_cell_growth
0.0,500000000000.0,200000.0,10000000000.0,10000200000.0,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,314083067.9008234,628166135.8016468,314.0767862394654,6281.6613580164685
20.0,500000000000.0,396819.02484600135,5132880282.736089,5133277101.760935,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,181506129.34831923,363012258.69663846,181.49209724913044,14032.099188796814
40.0,500000000000.0,845005.2902847909,2422542548.366172,2423387553.6564565,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,96443559.16170746,192887118.32341492,96.40991875454081,33640.407166635596
60.0,500000000000.0,1969987.6714112577,1040336987.9671935,1042306975.6386048,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,46620116.04046967,93240232.08093934,46.53183593998132,88280.10048834642
80.0,500000000000.0,5100536.031596799,401900469.93219,407001005.9637868,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,20250584.6433197,40501169.2866394,19.993583608581968,257001.0347377304
100.0,500000000000.0,14815374.857365862,138368083.2269184,153183458.08428425,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,7773488.922006419,15546977.844012838,6.941164374009059,832324.54799736
120.0,500000000000.0,47466318.47355934,43188094.36817033,90654412.84172967,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,2560600.664004862,5121201.328009724,-0.2536537822584372,2814254.4462632993
140.0,500000000000.0,151270042.9518888,13551832.45339917,164821875.40528798,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,755456.1328745837,1510912.2657491674,-7.677195470602265,8432651.603476848
160.0,500000000000.0,435327801.2150258,4709246.3231412,440037047.538167,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,235106.4072488393,470212.8144976786,-21.498383050769654,21733489.458018493
180.0,500000000000.0,1116938840.493592,1835902.8407151813,1118774743.3343072,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,81500.9153461544,163001.8306923088,-49.502570674432796,49584071.58977895
200.0,500000000000.0,2580368999.7120366,795736.2772755916,2581164735.989312,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,31381.434572455622,62762.869144911245,-101.73057569838267,101761957.13295512
220.0,500000000000.0,5428843521.725973,380319.87789556896,5429223841.6038685,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,13322.294219760213,26644.588439520427,-190.15462545983388,190167947.75405365
240.0,500000000000.0,10510511938.974337,200294.11510493836,10510712233.089441,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,6231.7813516971455,12463.562703394291,-327.00892921713313,327015160.99848485
260.0,500000000000.0,18900098176.718773,117912.7605022974,18900216089.479275,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,3258.4873153538633,6516.974630707727,-522.2958540551382,522299112.5424535
280.0,500000000000.0,31828276089.48323,80320.8277367588,31828356410.310966,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,1971.4867574394264,3942.9735148788527,-781.2278364055863,781229807.8923439
300.0,500000000000.0,50565714108.04687,65823.21856701671,50565779931.265434,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,1435.0103565645431,2870.0207131290863,-1102.3804449983074,1102381880.0086641
320.0,500000000000.0,76282044444.38383,65014.334464459156,76282109458.71829,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,1258.91148494643,2517.82296989286,-1477.0936408098376,1477094899.7213225
340.0,500000000000.0,109906802523.5906,73605.11219326456,109906876128.7028,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,1265.9139232861319,2531.8278465722638,-1890.2553675268775,1890256633.4408011
360.0,500000000000.0,152017952512.63818,89493.88798807396,152018042006.52618,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,1367.098113444386,2734.196226888772,-2322.2070067005607,2322208373.798674
380.0,500000000000.0,202775599182.77042,111497.23801978242,202775710680.00842,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,1512.796537693881,3025.593075387762,-2751.261476498951,2751262989.2954884
400.0,500000000000.0,261907436741.40717,138780.70641788284,261907575522.1136,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,1672.4594942526453,3344.9189885052906,-3156.269761082491,3156271433.541986
420.0,500000000000.0,328742038723.81915,170606.74763796455,328742209330.5668,0.005928,2.0,1e-06,1e-06,2000000000000.0,1.0,1826.1347367721216,3652.2694735442433,-3518.7760924548284,3518777918.5895653
