data_set_value_component_environment_variable_time,data_set_value_component_F16BP_variable_F16BP,data_set_value_component_G3P_variable_G3P,data_set_value_component_DHAP_variable_DHAP,data_set_value_component_ATP_variable_ATP,data_set_value_component_ADP_variable_ADP,data_set_value_component_NADH_variable_NADH,data_set_value_component_NAD_variable_NAD,data_set_value_component_Pi_variable_Pi_,data_set_value_component_V_Gpd_p_variable_V_Gpd_p,data_set_value_component_V_Gpd_p_variable_K_F16BP,data_set_value_component_V_Gpd_p_variable_K_ATP,data_set_value_component_V_Gpd_p_variable_K_ADP,data_set_value_component_V_Gpd_p_variable_K_NAD,data_set_value_component_V_Gpd_p_variable_K_NADH,data_set_value_component_V_Gpd_p_variable_K_G3P,data_set_value_component_V_Gpd_p_variable_K_DHAP,data_set_value_component_V_Gpd_p_variable_K_eq,data_set_value_component_V_Gpd_p_variable_Vf,data_set_value_component_V_Gpp_p_variable_V_Gpp_p,data_set_value_component_V_Gpp_p_variable_K_G3P,data_set_value_component_V_Gpp_p_variable_K_Pi,data_set_value_component_V_Gpp_p_variable_V
0.0,0.0,24.0,0.59,2.37,2.17,1.87,1.45,2.17,0.32272110206132754,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.955549182678521,3.5,1.0,18.0
0.1,0.0,23.53762221658674,0.59,2.37,2.17,1.87,1.45,2.17,0.32846958200393994,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.943190361269186,3.5,1.0,18.0
0.2,0.0,23.077080025917628,0.59,2.37,2.17,1.87,1.45,2.17,0.33440175527758237,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.93045313247327,3.5,1.0,18.0
0.30000000000000004,0.0,22.61843284352315,0.59,2.37,2.17,1.87,1.45,2.17,0.3405256136456647,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.917321895524351,3.5,1.0,18.0
0.4,0.0,22.16174168853574,0.59,2.37,2.17,1.87,1.45,2.17,0.346849575284445,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.9037802748652375,3.5,1.0,18.0
0.5,0.0,21.70706908161684,0.59,2.37,2.17,1.87,1.45,2.17,0.35338251299018847,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.889811072904477,3.5,1.0,18.0
0.6000000000000001,0.0,21.25448056423525,0.59,2.37,2.17,1.87,1.45,2.17,0.3601337599586647,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.875396271972459,3.5,1.0,18.0
0.7000000000000001,0.0,20.80404250949492,0.59,2.37,2.17,1.87,1.45,2.17,0.36711317079073685,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.8605169196418245,3.5,1.0,18.0
0.8,0.0,20.355825791245586,0.59,2.37,2.17,1.87,1.45,2.17,0.3743310960059471,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.84515320019896,3.5,1.0,18.0
0.9,0.0,19.90990435934188,0.59,2.37,2.17,1.87,1.45,2.17,0.38179843170013616,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.829284347125269,3.5,1.0,18.0
1.0,0.0,19.466355325257794,0.59,2.37,2.17,1.87,1.45,2.17,0.3895266491838737,4.8,0.73,2.0,0.93,0.023,1.2,0.54,10000.0,36.0,4.812888600210852,3.5,1.0,18.0
