Time,G_p,G_t,I_l,I_p,Q_sto1,Q_gut,I_1,I_d,X,I_po,Y,Q_sto2,V_G,k_1,k_2,G_b,V_I,m_1,m_2,m_4,m_5,m_6,HE_b,I_b,S_b,S_b_minus,k_max,k_min,k_abs,k_gri,f,b,d,BW,k_p1,k_p2,k_p3,k_p4,k_i,U_ii,V_m0,V_mX,K_m0,p_2U,part,K,alpha,beta,gamma,k_e1,k_e2,D,aa,cc,EGP,V_mmax,E,S,I,G,HE,m_3,Q_sto,Ra,k_empt,U_idm,U_id,U,S_po,Compartment1
0.0,178.0,135.0,4.5,1.25,78000.0,0.0,25.0,25.0,0.0,3.6,0.0,0.0,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.87872,2.0,0.0,1.8,25.0,94.68085106382979,0.59238,0.2761204062607331,78000.0,0.0,0.05548008172581919,0.7487728445048393,0.7487728445048393,1.7487728445048392,1.767848936170213,1.0
0.01,177.9997380303329,135.00156154230996,4.503066687894822,1.2500776555958026,77956.48814093831,0.012066806508221093,25.00000006064799,25.000000000001588,2.5408621784482157e-07,3.5996802183371943,-1.755263939582265e-05,43.49978996285937,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.878740312643048,2.000000009553642,0.0,1.7998401091685972,25.001553111916053,94.68071171826219,0.5923848606812746,0.2761259645987629,77999.98793090117,7.936245818868489e-06,0.05548008035997464,0.7487782665227338,0.7487782665227338,1.7487782665227338,1.768037696907063,1.0
0.02,177.99947782411186,135.00312162762998,4.506117667495056,1.2501605785505667,77913.00055471987,0.04824014935839668,25.00000024815299,25.00000000001292,1.039556951647956e-06,3.5993640086107077,-3.5104141344883803e-05,86.95118679426177,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.878760400837107,2.0000000390873414,0.0,1.7996820043053539,25.003211571011335,94.68057331069781,0.5923896670691172,0.2761314609809406,77999.95174151413,3.1727175154945516e-05,0.0554800762644331,0.7487836909185351,0.7487836909185351,1.7487836909185352,1.7682452998287845,1.0
0.03,177.99921953514712,135.00468025828027,4.509153057916438,1.250248703620167,77869.53722780103,0.10847944637026134,25.00000057077814,25.000000000044352,2.390895567107411e-06,3.599051540719332,-5.265445259895322e-05,130.35423088732725,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8787802537593372,2.0000000898976733,0.0,1.799525770359666,25.00497407240334,94.68043592295061,0.5923944165810662,0.27613689244958034,77999.89145868836,7.134609742044113e-05,0.05548006944212905,0.7487891181860191,0.7487891181860191,1.7487891181860191,1.7684716870875983,1.0
0.04,177.99896331669316,135.00623743667398,4.512172978333556,1.2503419662674435,77826.09814665209,0.19274417796660068,25.000001036678025,25.00000000010687,4.342121816872203e-06,3.5987429830365834,-7.020351542359312e-05,173.70896258888538,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8787998606823215,2.0000001632637807,0.0,1.7993714915182917,25.00683932534887,94.68029963653892,0.5923991066578439,0.27614225607328735,77999.80710924098,0.00012676636320111046,0.05548005989592427,0.74879454881277,0.74879454881277,1.74879454881277,1.768716801060499,1.0
0.05,177.99870932149142,135.00779316531668,4.515177548003169,1.2504403026375288,77782.68329775427,0.3009938769964938,25.000001653902423,25.00000000021211,6.926807859401092e-06,3.598438502470525,-8.775126762780122e-05,217.01542220923207,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8788192109702808,2.0000002604479756,0.0,1.7992192512352625,25.008806052750575,94.6801645327082,0.592403734762448,0.2761475489459299,77999.6987199635,0.00019796135756307864,0.05548004762860889,0.7487999832804042,0.7487999832804042,1.7487999832804042,1.7689805843329656,1.0
0.06,177.99845770190007,135.0093474468065,4.518166886349888,1.2505436494909734,77739.29266758951,0.433188096754385,25.000002430405686,25.00000000037235,1.0178117661444762e-05,3.5981382646302325,-0.00010529764261266603,260.2736500529204,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8788382940685104,2.000000382697224,0.0,1.7990691323151162,25.010872989819468,94.68003069250004,0.5924082983776204,0.2761527681837566,77999.56631764243,0.00028490447901923015,0.05548003264290387,0.7488054220651275,0.7488054220651275,1.7488054220651275,1.7692629796499404,1.0
0.07,177.99820860984474,135.01090028383373,4.521141112924418,1.2506519442252952,77695.92624264465,0.5892864239120174,25.000003374044343,25.000000000600462,1.4128797023316037e-05,3.5978424337714636,-0.00012284256937132094,303.4836864063897,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8788570995068457,2.0000005312427684,0.0,1.7989212168857318,25.013038884505903,94.67989819672593,0.5924127950066738,0.2761579109263526,77999.40992905103,0.0003875691480344422,0.05548001494146039,0.7488108656375901,0.7488108656375901,1.7488108656375903,1.7695639299343648,1.0
0.08,177.99796219678603,135.01245167918043,4.524100347375535,1.2507651248865819,77652.58400941388,0.7692484865520054,25.000004492576025,25.00000000090996,1.8811169208086605e-05,3.597551172764201,-0.00014038597249615075,346.64557153010725,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8788756169017322,2.000000707299962,0.0,1.7987755863821004,25.015302497731636,94.67976712595002,0.5924172221739842,0.27616297433721543,77999.229580944,0.0005059288123092035,0.05547999452685945,0.7488163144628249,0.7488163144628249,1.7488163144628248,1.7698833782987096,1.0
0.09,177.99771861370482,135.01400163572004,4.527044709432694,1.2508831301737748,77609.2659544002,0.9730339584768445,25.00000579365937,25.00000000131495,2.4257134634002482e-05,3.5972646430811634,-0.00015792777219023348,389.7593456544695,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8788938359569698,2.0000009120682622,0.0,1.7986323215405817,25.017662603475497,94.6796375604813,0.5924215774251663,0.27616795560396706,77999.02530005467,0.000639956949613617,0.05547997140161181,0.7488217690002418,0.7488217690002418,1.7488217690002417,1.770221268050468,1.0
0.1,177.99747801108876,135.01555015641705,4.529974318891032,1.2510058994412565,77565.97206411639,1.2006025626810988,25.000007284854146,25.000000001830152,3.0498171503706248e-05,3.596983004788741,-0.00017546788428002676,432.8250489763878,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8789117464642981,2.0000011467312486,0.0,1.7984915023943704,25.020117988825127,94.67950958036637,0.5924258583272112,0.27617285193852403,77998.79711309278,0.0007896270700710305,0.05547994556815794,0.7488272297036338,0.7488272297036338,1.7488272297036338,1.7705775426967074,1.0
0.11,177.99724053896017,135.01709724432666,4.532889295623375,1.2511333726810012,77522.70232508311,1.4519140649112683,25.000008973624222,25.000000002470866,3.7565348302764746e-05,3.5967064165894147,-0.0001930062202422403,475.84272166545327,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8789293383007204,2.0000014124570966,0.0,1.7983532082947074,25.022667453620024,94.67938326540435,0.5924300624678409,0.276177660576372,77998.54504674856,0.0009549127119224112,0.055479917028868744,0.7488326970213531,0.7488326970213531,1.7488326970213532,1.7709521459333142,1.0
0.12,177.9970063469141,135.01864290259445,4.535789759598605,1.251265490499013,77479.456723826,1.7269282646670172,25.000010867341327,25.000000003252975,4.548933985746076e-05,3.5964350358786623,-0.0002105426872355784,518.8124038725957,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8789466014249028,2.0000017103991787,0.0,1.7982175179393312,25.02530980998026,94.67925869516708,0.5924341874546444,0.27618237877558977,77998.2691276986,0.001135787435607923,0.05547988578604646,0.7488381713965349,0.7488381713965349,1.7488381713965349,1.7713450216302795,1.0
0.13,177.99677558400302,135.02018713445662,4.538675830812479,1.2514021941783164,77436.23524688453,2.0256050230954843,25.000012973275776,25.000000004192955,5.4300388114014145e-05,3.596169018589543,-0.0002280771880406654,561.734135703204,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8789635258870236,2.000002041694593,0.0,1.7980845092947715,25.028043883566326,94.67913594893778,0.592438230917439,0.2761870038195637,77997.96938258773,0.0013322248421127995,0.055479851841922743,0.7488436532665459,0.7488436532665459,1.748843653266546,1.7717561138754325,1.0
0.14,177.99654839896144,135.0217299432377,4.541547629392665,1.2515434255403746,77393.03788079544,2.3479042106726395,25.000015298618887,25.00000000530781,6.40283971002478e-05,3.5959085195279816,-0.00024560962125090525,604.607957267542,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8789801018075816,2.000002407467731,0.0,1.7979542597639908,25.03086851080749,94.67901510583056,0.5924421905031747,0.27619153301117155,77997.64583806298,0.0015441985385577746,0.05547981519866287,0.7488491430643135,0.7488491430643135,1.7488491430643136,1.7721853668881506,1.0
0.15,177.99632493990617,135.0232713323542,4.544405275465289,1.2516891271335295,77349.86461211463,2.6937857765464788,25.0000178504521,25.000000006615178,7.470280207322978e-05,3.5956536919181707,-0.00026313988100130085,647.4339086139269,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8789963194061179,2.000002808825358,0.0,1.7978268459590854,25.03378254267059,94.67889624463095,0.5924460638828438,0.2761959636806998,77997.29852072855,0.001771682183805569,0.05547977585836074,0.7488546412164955,0.7488546412164955,1.7488546412164956,1.772632725134751,1.0
0.16,177.99610535459044,135.02481130531007,4.547248889243828,1.2518392420587965,77306.71542739909,3.0632096910760422,25.000020635776952,25.0000000081332,8.635269679260933e-05,3.5954046878159986,-0.0002806678572622507,690.2120297839749,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8790121689751325,2.0000032468613997,0.0,1.7977023439079993,25.03678484117593,94.67877944393109,0.5924498487451968,0.2762002931786686,77996.92745718306,0.0020146494506692435,0.055479733823043345,0.7488601481452558,0.7488601481452558,1.7488601481452557,1.7730981332293942,1.0
0.17,177.99588979032453,135.02634986569845,4.550078591005737,1.2519937140267325,77263.59031321242,3.45613596350059,25.000023661505065,25.00000000988057,9.900679093917201e-05,3.595161657975216,-0.00029819343573657403,732.9423607956372,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8790276408885251,2.000003722655339,0.0,1.797580828987608,25.03987428053465,94.67866478208752,0.5924535427987767,0.27620451887817243,77996.53267400806,0.0022730740375330807,0.055479689094669715,0.748865664267671,0.748865664267671,1.748865664267671,1.7735815359652347,1.0
0.18,177.99567839391378,135.0278870172026,4.552894501069822,1.2521524873998815,77220.48925612934,3.87252465614084,25.000026934450865,25.000000011876566,0.00011269337926945764,3.594924751746895,-0.0003157164977893005,775.6249416295711,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8790427256079338,2.0000042372710607,0.0,1.7974623758734476,25.043049747997628,94.67855233718818,0.5924571437734472,0.2762086381766415,77996.11419775891,0.0025469296776926297,0.05547964167513004,0.7488711899953002,0.7488711899953002,1.7488711899953002,1.7740828783386686,1.0
0.19,177.99547131178403,135.0294227635908,4.55569673978604,1.2523155070746945,77177.41224272773,4.312335859065553,25.00003046135484,25.00000001414092,0.00012744044071915094,3.5946941173466356,-0.0003332369207353164,818.259812253285,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8790574136659635,2.000004791760571,0.0,1.7973470586733178,25.04631014149389,94.67844218711917,0.5924606494163311,0.27621264849120997,77995.67205498101,0.002836190122693114,0.0554795915662477,0.7488767257355599,0.7488767257355599,1.7488767257355597,1.7746021054976917,1.0
