Time,A_dopa,C_dopa,C_OMD,F_b,F_H,F_G,CL_H,Q,f_H,CL_dopa,f_rest,f_AADC,f_COMT,CL_AADC,CL_rest,CL_COMT,CL_dopa0,ka_b,CL_OMD,L_Dopa_per_kg_rat,rat_body_mass,gut,Vdopa,V_3_OMD,l_dopa_absorption,l_dopa_blood_hepa_clearance,AADC_clearance,COMT_clearance,rest_clearance,_3_OMD_clearance
0.0,101.0,0.0,0.0,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,44.537519159420285,168.57248084057971,0.0,0.0,0.0,0.0
0.01,98.89122580600593,0.8811702733924202,0.0018613033157970377,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,43.60762241617373,165.05286403449878,0.5003901631513535,0.07252031350019618,0.152292658350412,2.2335639789564452e-05
0.02,96.82648061975027,1.7294422249979244,0.007350969242468311,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,42.6971409479343,161.60673315973875,0.9820983563095711,0.14233309511732917,0.29889949974639135,8.821163090961973e-05
0.03,94.80484511568517,2.5457414035614994,0.016330623250158154,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,41.80566936381882,158.23255383027688,1.4456501708404683,0.2095145175131114,0.43998048677753404,0.00019596747900189784
0.04,92.82541920093307,3.330970070632167,0.028665816349032716,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,40.93281075388887,154.9288237600799,1.8915579740098882,0.27413883681302736,0.5756915573073575,0.0003439897961883926
0.05,90.88732163699318,4.086007714504572,0.044225934255191376,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,40.07817652233641,151.6940721317192,2.320321200835711,0.3362784349037263,0.7061847132978254,0.0005307112110622966
0.06,88.98968954379365,4.8117117010196395,0.06288408109908075,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,39.24138616878784,148.52685876861673,2.732426723658022,0.3960038729939163,0.8316081332872245,0.000754608973188969
0.07,87.1316780239446,5.508917801448784,0.0845169849275145,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,38.422067122612596,145.42577350791052,3.1283491519087203,0.4533839350592349,0.9521062636243935,0.001014203819130174
0.08,85.31245976601612,6.1784407455643375,0.10900489876056135,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,37.61985456798233,142.3894355383117,3.5085511461836196,0.508485673359945,1.0678199140558846,0.0013080587851267362
0.09,83.53122480169206,6.821074542881423,0.13623154201361798,0.20898840579710143,0.8707850241545894,0.24,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.823,2.11,0.012,404.0,0.25,1.0,0.496,0.196,36.834391336784186,139.41649299478604,3.8734836006660727,0.5613744348791411,1.1788863132461966,0.0016347785041634158
