Vthresh,a,b,c,d,i,u,v,Time
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.8,-63.8,0.0
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800000017595146,-63.799824091542405,0.01
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000007036065,-63.799648366261685,0.02
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800000158266926,-63.79947282429408,0.03
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000028128435,-63.79929746577539,0.04
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000043938322,-63.79912229084112,0.05
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800000632533795,-63.79894729962622,0.06
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000086070635,-63.79877249226567,0.07
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.8000011238711,-63.79859786889411,0.08
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000142199824,-63.798423429645815,0.09
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000175505793,-63.79824917465465,0.1
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.8000021230203,-63.798075104054135,0.11
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000252585543,-63.797901217977376,0.12
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000296353339,-63.797727516557124,0.13
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800003436024184,-63.797553999925746,0.14
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000394329782,-63.79738066821524,0.15
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800004485324244,-63.79720752155728,0.16
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800005062073396,-63.79703456008314,0.17
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000567351516,-63.796861783923674,0.18
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000631961938,-63.796689193209396,0.19
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000700035589,-63.79651678807041,0.2
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000771569447,-63.79634456863648,0.21
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80000846560487,-63.79617253503696,0.22
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.8000092500568,-63.796000687400834,0.23
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80001006901996,-63.79582902585673,0.24
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80001092246401,-63.795657550533015,0.25
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80001181035862,-63.79548626155806,0.26
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80001273267341,-63.795315159059584,0.27
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80001368937795,-63.7951442431649,0.28
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80001468044178,-63.794973514000944,0.29
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800015705834404,-63.79480297169433,0.3
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80001676552531,-63.79463261637128,0.31
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80001785948393,-63.794462448157674,0.32
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800018987679685,-63.79429246717902,0.33
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80002015008195,-63.794122673560466,0.34
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80002134666009,-63.79395306742683,0.35
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80002257738343,-63.79378364890254,0.36
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80002384222126,-63.79361441811168,0.37
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800025141142854,-63.79344537517797,0.38
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80002647411742,-63.793276520224765,0.39
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800027841114186,-63.793107853375076,0.4
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80002924210229,-63.79293937475154,0.41
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800030677050884,-63.792771084476435,0.42
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800032145929066,-63.79260298267169,0.43
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.800033648705906,-63.792435069458854,0.44
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80003518535046,-63.79226734495915,0.45
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80003675583174,-63.79209980929342,0.46
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80003836011875,-63.79193246258216,0.47
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80003999818043,-63.7917653049455,0.48
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80004166998572,-63.79159833650321,0.49
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.8000433755035,-63.79143155737471,0.5
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80004511470264,-63.791264967679034,0.51
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80004688755197,-63.791098567534895,0.52
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80004869402029,-63.79093235706062,0.53
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80005053407638,-63.79076633637419,0.54
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80005240768931,-63.79060050559353,0.55
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80005431482897,-63.79043486483695,0.56
30.0,-0.02,-1.0,-60.0,8.0,80.0,63.80005625546417,-63.790269414221484,0.57
