cG,cG_m,cL,cL_m,cLm,cNI,cNI_m,cP,cP7,cP7_m,cP9,cP9_m,cT,cT_m,cTm,cY,cY_m,cZG,cZTL,Time
0.0238,0.119,0.416,1.0,0.054,0.044,0.0065,0.825,0.019,0.075,0.056,0.35,0.393,0.25,0.24,0.1,0.093,0.0774,0.323,0.0
0.023039277645315263,0.12200663726498363,0.4179933315905791,1.0011251020134895,0.05442275759896252,0.04386875813333536,0.006495606257696156,0.8211060703179847,0.019177186722662387,0.075772044990188,0.05782520767219179,0.3586748981285021,0.39268821196670944,0.24946497062285772,0.23984040192955716,0.1001124092879246,0.09452399802102354,0.07823543173215064,0.32263514755367256,0.01
0.022301352749374025,0.12504631543654302,0.419995680586642,1.002155789281505,0.05484822342549503,0.043738417123624466,0.006491690955696706,0.8171508069041179,0.019357631099628535,0.07655363177336769,0.05969983265856301,0.36744282606530976,0.3923789957965903,0.2489302250967195,0.23967755078474987,0.10023118792776742,0.09606495291154023,0.07905483472513176,0.3222889169900563,0.02
0.021586463593631488,0.1281178644076978,0.42200678136104786,1.003089831149936,0.055276400001450815,0.043608976561299306,0.006488261763587937,0.8131349366969817,0.01954138585720514,0.07734487540148065,0.061624744626001565,0.3763000474471302,0.39207235362040826,0.24839576935335891,0.2395114482588432,0.10035641507152547,0.09762217702605466,0.07985805839814632,0.32196129040518456,0.03
0.020894700638465737,0.13121982742502808,0.4240262900218819,1.0039254267422069,0.05570727629651659,0.043480431476211445,0.0064853246993648896,0.8090595954294707,0.019728491388078955,0.07814585213564763,0.06360061428947841,0.38524197248714315,0.3917682728964356,0.24786160861771062,0.239342114216915,0.10048814132635833,0.09919482705476801,0.08064507049831733,0.3216521100974513,0.04
0.020226103840420253,0.1343506755003162,0.42605383997025303,1.0046608802355579,0.0561408400236912,0.043352776508488955,0.006482885944345434,0.804926005203849,0.019918988122381482,0.07895663754273985,0.06562809628518179,0.3942637850722464,0.3914667382683722,0.24732774842215993,0.23916957152301502,0.10062641403970096,0.10078201868797287,0.0814158864794693,0.3213611696771912,0.05
0.01958066001678154,0.13750884979968864,0.42808905146869164,1.005294658277114,0.05657707803879858,0.0432260060907891,0.00648095171051292,0.8007354408624304,0.020112915559633956,0.07977730483072601,0.06770781100787605,0.40336057557628974,0.3911677319520739,0.2467941944926566,0.23899384539547416,0.10077127598198961,0.10238285106374924,0.08217057065653156,0.32108821878760135,0.06
0.018958271493399556,0.14069272449429246,0.4301315184175938,1.0058254899594665,0.05701597554851741,0.04310011424671697,0.006479528363644028,0.7964892793595045,0.020310312235866396,0.08060792438050209,0.06984032871682092,0.4125272238347223,0.39087123189901346,0.24626095297384762,0.23881496525422946,0.10092276275799279,0.10399638576029806,0.08290926530927105,0.32083293544541097,0.07
0.018358812760366865,0.14390065057001583,0.4321808256131422,1.006252194862094,0.057457517179128614,0.04297509485895454,0.0064786223300721075,0.7921889327432398,0.020511216399282182,0.08144856568434286,0.07202620274523583,0.42175853675922764,0.39057721460104455,0.24572803016117917,0.23863296195519598,0.10108090753770962,0.10562167135195405,0.08363213834792406,0.320594974202245,0.08
0.017782187776817067,0.14713100328110568,0.43423656713996484,1.0065735018253614,0.05790168813707501,0.04285094195582345,0.006478239982893865,0.7878357766082394,0.020715666630797283,0.08229929923457244,0.07426600370930565,0.4310493974870218,0.3902856580545619,0.24519543220173098,0.23844786486790923,0.10124574599155264,0.10725777002735934,0.08433933049070692,0.3203740145977048,0.09
0.017228159717593585,0.15038204823918916,0.4362982918240419,1.006788609738659,0.05834847070766053,0.04272764887577199,0.00647838800565943,0.7834313576894818,0.02092370000327097,0.08316019106264196,0.07656021373422424,0.44039434394638516,0.38999653296382975,0.24466316599391796,0.23825971049351163,0.10141730133412719,0.10890368257593733,0.08503111194953078,0.32016961804185073,0.1
0.01669649332790871,0.15365205585094685,0.43836554892620044,1.0068967363275223,0.05879784709849073,0.04260520896477407,0.0064790730958922075,0.7789772202309525,0.021135353552529917,0.08403130713897979,0.0789093105856047,0.4497879289274097,0.3897098099811767,0.24413123845502094,0.23806853534195777,0.10159559636554558,0.11055841259795525,0.08570775098647342,0.3199813488333656,0.11
0.016186868283831517,0.1569392345513742,0.4404378603532465,1.0068974126772292,0.05924979761572808,0.042483615150913395,0.006480302156687927,0.7744750114230017,0.021350663317587885,0.08491271054792647,0.08131371172479115,0.45922450988389885,0.3894254551775785,0.2435996569890227,0.23787438035339695,0.10178064564318094,0.11222092915336364,0.0863695934500191,0.3198087019307208,0.12
0.01569894811453833,0.1602417883703585,0.4425147425682473,1.0067902887167255,0.05970430191255092,0.04236286027397331,0.006482082166646921,0.7699263988401346,0.021569664953902386,0.08580446337372563,0.08377380846193613,0.4686984301148498,0.3891434333331028,0.24306842916167198,0.23767728762374932,0.10197246059799098,0.1138901992117169,0.08701699847275488,0.31965116340546923,0.13
0.0152323485850126,0.16355789121158204,0.44459569695903506,1.0065752142357771,0.06016133846145448,0.04224293694256859,0.006484420235726812,0.7653331065251093,0.021792393480735646,0.08670662594641743,0.0862899521023109,0.478203937777553,0.3888637065282924,0.24253756283882366,0.2374773018147152,0.10217104740385408,0.11556517312310265,0.08765036816720773,0.3195081821600935,0.14
0.014786667826187733,0.1668857163736769,0.4466802196924584,1.0062521771998372,0.06062088498824066,0.04212383768042064,0.0064873235620664885,0.7606968778950728,0.02201888346307905,0.08761925750099468,0.08886246270868105,0.48773527868916194,0.3885862354468266,0.24200706607028577,0.2372744688113039,0.10237640857622941,0.1172448014024356,0.08827011892120243,0.31937919814121957,0.15
0.014361476988498934,0.17022343207426635,0.448767798977135,1.0058213396246023,0.06108291824719378,0.04200555488547854,0.006490799462803618,0.7560194858230509,0.02224916887471336,0.0885424159254226,0.09149162000163984,0.4972866823739054,0.3883109788528875,0.24147694714339174,0.23706883621578376,0.10258854185956906,0.11892803232176098,0.08887668972733977,0.31926363499906424,0.16
0.013956314956086947,0.1735691901421551,0.45085791281226334,1.0052830282150689,0.061547414051236295,0.041888080796527415,0.00649485536108281,0.7513027414035418,0.022483283162198768,0.08947615769434424,0.09417766943904192,0.5068523264095393,0.38803789348864814,0.24094721458255633,0.2368604535081557,0.10280744067840435,0.12061380531765671,0.08947054790158528,0.31916089342474085,0.17
0.013570703151808727,0.17692115010240872,0.45295003465135314,1.0046377345912867,0.06201434730806206,0.04177140757620243,0.006499498799958233,0.7465484724517105,0.022721259183849086,0.09042053815003973,0.09692081404476612,0.5164264124290471,0.38776693450294974,0.24041787712710114,0.2366493715197515,0.10303309371175184,0.12230106496226047,0.09005217384815331,0.31907036778214104,0.18
0.013204139160338321,0.18027746946120804,0.4550436310070801,1.0038861175290748,0.06248369199060422,0.04165552727575218,0.0065047374391217,0.7417585325918328,0.022963129224489717,0.09137561137678543,0.0997212169719856,0.5260031354823115,0.38749805524827974,0.23988894374357106,0.2364356426726223,0.10326548498256823,0.1239887553415348,0.0906220675341865,0.31899143915538763,0.19
0.012856096827642672,0.18363630297395533,0.4571381615919868,1.0030289954651985,0.06295542116485153,0.04154043183668792,0.006510579051179217,0.7369348010454853,0.023208925021782935,0.0923414302641356,0.10257900308806937,0.5355766817473294,0.38723120733556754,0.23936042362005458,0.2362193209378363,0.10350459402788645,0.1256758196083982,0.09118074854689312,0.3189234750281585,0.2
0.012526046552412113,0.18699583338142511,0.45923308729131357,1.0020673286487904,0.06342950710114623,0.04142611320624838,0.0065170315325181645,0.732079153226527,0.023458677746189188,0.09331804704572827,0.10549425151975511,0.5451413256143227,0.38696634133711416,0.23883232612346933,0.23600046103232564,0.103750395706202,0.1273612177667748,0.09172873557286483,0.31886585107299414,0.21
0.012213430150744947,0.19035423515731306,0.46132786024682315,1.001002251697091,0.06390592108571974,0.04131256319369191,0.006524102898512965,0.7271934970796706,0.023712417982334175,0.0943055125761108,0.1084670016968478,0.5546913152178956,0.38670340583277574,0.23830466086253438,0.2357791194754712,0.10400286010842937,0.12904390574729718,0.09226657151364565,0.31881792491725636,0.22
0.011917695852721868,0.1937097194047074,0.46342193746336585,0.9998349992827028,0.06438463380482837,0.041199773666965554,0.006531801276254348,0.7222797240951305,0.02397017586673863,0.09530387762590227,0.11149725229044631,0.564221014550381,0.38644234889238105,0.23777743757246012,0.23555535302269615,0.10426195340107647,0.13072286124353563,0.09279478918103624,0.31877907068342726,0.23
0.011638274930795577,0.1970605077280156,0.46551477192287005,0.998566973387323,0.0648656150039519,0.04108773642404817,0.006540134920786919,0.7173397409180493,0.024231980922650467,0.09631319186813848,0.11458495668614233,0.5737248205807943,0.38618311698184676,0.2372506662106823,0.23532921977768145,0.10452763675199032,0.13239706874691456,0.09331393373318055,0.3187486572576585,0.24
0.011374598077726472,0.2004048489369508,0.46760581893625647,0.9971996808127839,0.06534883378635599,0.04097644328508727,0.006549112201523712,0.7123754471901497,0.024497862227532804,0.09733350482842539,0.117730028842182,0.5831972165667073,0.3859256558120542,0.23672435687407714,0.23510077835650878,0.1047998673668971,0.13406552908969777,0.09382454721030388,0.31872606261439124,0.25
0.011126095450376468,0.20374102045127732,0.46969453618837315,0.9957347406623619,0.06583425857747337,0.040865886092799036,0.006558741606318622,0.707388735245766,0.024767848383054528,0.09836486580698094,0.12093234124503148,0.592632776415915,0.3856699102934518,0.2361985198072196,0.2348700879179109,0.10507859828501019,0.13572726028038246,0.09432716830225843,0.3187106744079952,0.26
0.010892195781318269,0.2070673284363934,0.47178038361927366,0.9941738861327295,0.06632185710853658,0.040756056711414475,0.0065690317463570035,0.7023814905096785,0.025041967507166762,0.09940732392855164,0.12419172377237889,0.602026165180657,0.3854158245045721,0.2356731654056625,0.23463720819334477,0.10536377826572456,0.13738129760270923,0.09482233313055423,0.3187018892785662,0.27
0.010672322822555508,0.21038210118353037,0.47386282261405366,0.9925189377535948,0.0668115965130194,0.04064694701720321,0.0065799913549704405,0.697355595134843,0.025320247336060798,0.1004609286307442,0.12750796897315583,0.6113721187726467,0.3851633417549391,0.2351483041914859,0.23440219948726101,0.10565535229375198,0.13902668976573637,0.09531057926676371,0.3186991074741137,0.28
0.01046591716009383,0.21368371892067684,0.47594132317256405,0.9907718161844036,0.06730344333237172,0.04053854899640168,0.006591629282528853,0.6923129012016431,0.02560271511110527,0.10152572930630221,0.13088082353755376,0.620665537187422,0.3849124051125043,0.23462394680468712,0.23416512200699524,0.10595326114853096,0.14066251611967276,0.09579242349388732,0.3187017574158995,0.29
0.010272426904560143,0.21697060097258386,0.4780153611866648,0.9889345235063814,0.06779736356096251,0.04043085470937779,0.0066039545006726244,0.6872552412305595,0.025889397668660476,0.10260177573942814,0.13430999324391654,0.6299014446510705,0.3846629572612589,0.2341001039933267,0.23392603608504514,0.1062574417586356,0.1422878792389702,0.09626837144712627,0.31870928460184783,0.3
0.010091299368413591,0.2202411968506021,0.480084416579278,0.9870091304199433,0.06829332267929566,0.04032385626794135,0.006616976108767026,0.6821844354024282,0.02618032151272788,0.10368911853256585,0.13779514637241158,0.6390749619193072,0.3844149404130141,0.23357678660623668,0.2336850023263159,0.10656782745726752,0.14390189976512635,0.09673892617052056,0.31872114200450474,0.31
0.009921984362035766,0.2234939905259212,0.4821479745993906,0.9849977688797215,0.068791285689118,0.0402175458538942,0.006630703333980265,0.6771022869515221,0.026475512827697122,0.10478780924181512,0.14133591348152644,0.64818131983633,0.384168296444899,0.2330540055821443,0.23344208146284237,0.10688434804907601,0.14550371887072108,0.09720458487398964,0.31873679332894733,0.32
0.009763958510299474,0.22672752949498665,0.4842055330255705,0.9829026363902563,0.0692912171479698,0.04011191581541977,0.006645145520751235,0.6720105553949973,0.02677499737867426,0.10589789999030398,0.14493188019426195,0.6572159504360061,0.3839229674569403,0.2325317719332708,0.23319733366247894,0.10720692950787744,0.1470925150515887,0.09766581431541689,0.31875573967129794,0.33
0.009616695848505382,0.2299403895477927,0.4862565941845222,0.9807259698330851,0.06979308123345568,0.040006958565764125,0.006660312146281121,0.6669109864887293,0.0270788007321233,0.10701944450772401,0.14858259960250697,0.6661743768848322,0.38367889529351634,0.23201009673651385,0.23295081920450963,0.107535494781662,0.14866748373255864,0.09812308095685872,0.31877748612062,0.34
0.00947968347444288,0.23313119438638577,0.48830066978915243,0.978470045506482,0.07029684175471454,0.0399026666465352,0.00667621281527442,0.6618052945230453,0.02738694817533638,0.10815249788308093,0.15228758648998644,0.6750522750826413,0.3834360218969293,0.23148899112470822,0.23270259803691978,0.10786996350734578,0.1502278486223959,0.09857683503567204,0.3188015589804896,0.35000000000000003
0.009352424395036694,0.23629861947678676,0.49033728211710115,0.976137171588703,0.0708024621842565,0.03979903274444707,0.006692857260370602,0.6566951581799126,0.027699464727753916,0.1092971167005943,0.15604631705475308,0.6838454859102668,0.3831942894315758,0.23096846627662604,0.23245272964610458,0.10821025206645338,0.15177286393750422,0.0990275077614537,0.3188275085559575,0.36
0.009234434896701267,0.23944138408455723,0.492365962381661,0.9737296853857449,0.07130990574561472,0.03969604967724687,0.006710255343765675,0.6515822256262084,0.02801637526252552,0.11045335940624654,0.15985823534282154,0.6925499903037623,0.38295364028574297,0.23044853339579044,0.23220127310439342,0.10855627411263763,0.15330180973997404,0.09947551442403883,0.3188549052846481,0.37
0.009125245231036387,0.24255825896144104,0.49438625294949673,0.971249933261691,0.07181913539725293,0.03959371041804313,0.0067284170598029,0.6464681080088771,0.028337704451564676,0.11162128645917606,0.1637227487505299,0.701161933734053,0.38271401720726606,0.22992920371180992,0.23194828691915295,0.10890794031483685,0.15481399642785124,0.09992125346651029,0.31888334063113183,0.38
0.009024401423012819,0.2456480653356666,0.4963977072950014,0.9687002702342711,0.0723301138944278,0.03949200809992232,0.006747352534971128,0.6413543789520213,0.028663476830904006,0.1128009605013394,0.16763923116829746,0.709677623051237,0.3824753633819661,0.22941048846412218,0.23169382896649862,0.10926515865560363,0.15630876411112032,0.1003651049433756,0.3189124284358084,0.39
0.008931461008046343,0.24870967116887413,0.49839988908212834,0.9660830700972459,0.07284280380018159,0.03939093600799737,0.006767072029513726,0.6362425774256927,0.02899371684504357,0.11399244626363919,0.1716070255733275,0.7180935142013504,0.3822376223968381,0.22889239890182014,0.23143795654075996,0.10962783463580904,0.15778548037128404,0.10080743496924507,0.3189418004272293,0.4
0.00884600280317898,0.25174200138499714,0.5003923753988034,0.9634006860793118,0.07335716756550498,0.039290487619617356,0.0067875859377778775,0.6311341971657545,0.029328448845951108,0.11519581124050338,0.1756254415036048,0.7264062456616647,0.3820007385514329,0.22837494625555227,0.2311807260389875,0.10999587125101659,0.15924354627941853,0.10124858591170949,0.3189711155429623,0.41000000000000003
0.008767620096843797,0.2547440306626241,0.5023747548430886,0.9606554687161414,0.07387316752772162,0.039190656584099766,0.006808904791018571,0.6260306928951548,0.029667697146622016,0.11641112547377809,0.17969375869347778,0.7346126150440957,0.3817646567343965,0.22785814174197616,0.2309221931039805,0.11036916923337496,0.16068239213226396,0.1016888834246549,0.3190000528288441,0.42
0.008695916848054649,0.25771477769932893,0.5043466261108249,0.9578497690703184,0.07439076592080592,0.039091436706326366,0.006831039262119083,0.6209334852641266,0.030011486061584915,0.11763846154705775,0.18381122948444903,0.7427095609631261,0.381529322329769,0.2273419965618227,0.230662412741253,0.11074762720994752,0.16210147410973327,0.10212864039496891,0.31902830709174906,0.43
0.00863052059193148,0.2606533229110333,0.5063076032639479,0.9549859008182915,0.07490992498055721,0.03899282201643021,0.006854000159143288,0.6158439426426912,0.030359839907540775,0.11887789529364363,0.1879770756626716,0.7506942195998054,0.38129468173723635,0.22682652186655636,0.23040143876968308,0.11113114173949445,0.16350028455671697,0.10256814404755914,0.31905560191159626,0.44
0.008571070734985293,0.26355879208780253,0.508257311263103,0.9520661649548566,0.0754306069101,0.038894806714433135,0.006877798434967847,0.6107633965359592,0.03071278306389704,0.12012950537796153,0.19219049360343968,0.7585638726466889,0.38106068199870596,0.22631172877162767,0.23013932423941721,0.11151960753608098,0.164878342462013,0.10300766786687929,0.3190816771898575,0.45
0.008517218952601024,0.26643035676819266,0.5101953862806001,0.9490928437142198,0.0759527739139524,0.03879738517625859,0.006902445189067184,0.6056931404913319,0.031070340003812976,0.12139337342616316,0.19645065533410702,0.7663159485986939,0.3808272708633904,0.22579762834682585,0.22987612137507715,0.11191291760004192,0.1662351936628768,0.10344747131418434,0.31910628922069484,0.46
0.008468637995717098,0.26926724690328047,0.5121214795511091,0.9460681728313923,0.0764763882832413,0.038700552005924746,0.006927951662049648,0.6006344167566546,0.03143253530580449,0.12266958468161857,0.20075670665847956,0.7739480631422404,0.3805943971862891,0.22528423159035507,0.2296118811606151,0.11231096330759748,0.1675704181817386,0.103887791083781,0.3191292194384238,0.47000000000000003
0.008425011599163144,0.2720687355408482,0.514035253083401,0.9429943682011807,0.07700141234873258,0.038604301981541245,0.006954329246674053,0.5955884310581291,0.03179939370231565,0.12395822725554408,0.2051077717911802,0.7814579702890956,0.38036201054914925,0.2247715494452611,0.22934665375338062,0.1127136345682841,0.16888362130747742,0.10432885135289707,0.31915026388364204,0.48
0.008386037988415857,0.27483414420535396,0.5159363814685792,0.9398736086128864,0.0775278085444584,0.03850863008109964,0.006981589486137203,0.5905563463507606,0.03217094010760202,0.12525939262963817,0.20950295334364935,0.7888435796774989,0.3801300614754201,0.22425959278052307,0.2290804882706621,0.11312081996327641,0.1701744367079896,0.10477086038947414,0.319169236355809,0.49
0.008351431728574738,0.27756284590982805,0.5178245530111865,0.9367080225230354,0.0780555394621246,0.03841353149946678,0.0070097440736735265,0.5855392789137086,0.032547199649763804,0.1265731760724806,0.21394133288671838,0.7961029663418763,0.37989850158230104,0.22374837237511455,0.2288134326442317,0.11353240689421312,0.1714425281681537,0.10521400882991858,0.31918596984567194,0.5
0.00832091905755185,0.2802542562125172,0.5196994670089381,0.9334997148078992,0.07858456778749126,0.03831900161364767,0.007038804861783555,0.580538307609818,0.03292819768016448,0.12789967543638017,0.2184219733013246,0.8032343416822273,0.37966728330492605,0.22323789893894902,0.22854553390180982,0.11394828160237419,0.1726875843512262,0.10565847437614512,0.31920031216840994,0.51
0.008294240699509854,0.2829078391591377,0.5215608360119413,0.9302507360834344,0.07911485641347896,0.03822503601570916,0.007068783858222015,0.5755544661737155,0.03331395983255167,0.12923899246265835,0.22294391947163889,0.8102360730433776,0.3794363602018364,0.22272818307902015,0.2282768378797664,0.11436832943040941,0.1739093222591037,0.10610441920278185,0.3192121277852915,0.52
0.008271150756303112,0.28552310480237836,0.5234083851753826,0.9269630881635028,0.07964636843896926,0.038131630505831064,0.007099693230102741,0.5705887453849585,0.03370451204338747,0.13059123242850856,0.22750619963707436,0.8171066756482404,0.3792056869078914,0.22221923530079699,0.2280073892757885,0.11479243490726936,0.17510748576497404,0.10655199114437622,0.3192212966247298,0.53
