Time,cG,cG_m,cL,cL_m,cLm,cNI,cNI_m,cP,cP7,cP7_m,cP9,cP9_m,cT,cT_m,cTm,cY,cY_m,cZG,cZTL,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,a,b,c,d,e,f,h,g,i,j,k,l,m,n,o,s,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,q1,q2,q3,q4,dawn,dusk,dawn1,dusk1,dawn2,dusk2,L,D,parameter_1,An0,En0,Temp,Rgas,Am1,Em1,Ap1,Ep1,Am6,Em6,Am25,Em25,Am15,Em15,An12,En12,def,cL_m_trscr,cL_m_degr,cL_trsl,cL_degr,cL_modif,cLm_degr,cT_m_trscr,cT_m_degr,cT_trsl,cT_degr,cT_modif,cTm_degr,cY_m_trscr,cY_m_degr,cY_trsl,cY_degr,cP_trsl,cP_degr,cP9_m_trscr,cP9_m_degr,cP9_trsl,cP9_degr,cP7_m_trscr,cP7_m_degr,cP7_trsl,cP7_degr,cNI_m_trscr,cNI_m_degr,cNI_trsl,cNI_degr,cG_m_trscr,cG_m_degr,cG_trsl,cG_degr,cG_cZTL_assoc,cZTL_trsl,cZTL_degr,cZG_degr
0.0,0.0238,0.119,0.416,1.0,0.054,0.044,0.0065,0.825,0.019,0.075,0.056,0.35,0.393,0.25,0.24,0.1,0.093,0.0774,0.323,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.5,0.5,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.507234437473444,0.39000661028018496,0.3350037804908658,0.13613816451311705,0.052938164513117066,0.0108,0.021482839427158215,0.075,0.067,0.09830942725112296,0.03460634261786385,0.05040075045471564,0.24451363173753293,0.093,0.04092,0.03,0.026250000000000006,0.4125,1.2126293821799359,0.35,0.24499999999999997,0.06495999999999999,0.09772350715838893,0.021,0.03,0.012445058328693649,0.002786572530351654,0.00325,0.0023399999999999996,0.015510000000000001,0.4179429600190193,0.119,0.02737,0.00476,0.099831,0.45,0.3876,0.01548
0.01,0.023039277645315263,0.12200663726498363,0.4179933315905791,1.0011251020134895,0.05442275759896252,0.04386875813333536,0.006495606257696156,0.8211060703179847,0.019177186722662387,0.075772044990188,0.05782520767219179,0.3586748981285021,0.39268821196670944,0.24946497062285772,0.23984040192955716,0.1001124092879246,0.09452399802102354,0.07823543173215064,0.32263514755367256,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.5099986668799654,0.4900013331200346,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.5012985673805166,0.3934485147594508,0.3366820587356443,0.13689395266041562,0.05329528634229979,0.010884551519792505,0.021350585910494407,0.07483949118685732,0.06685661212692587,0.09790724939214958,0.03458096291671161,0.05070298115764521,0.24778325179494107,0.09452399802102354,0.04159055912925036,0.03003372278637738,0.02629747920938077,0.41876300122921933,1.2308791193200253,0.3586748981285021,0.25107242868995144,0.06610590691859365,0.09889403945777592,0.02121617259725264,0.0303088179960752,0.012428812405087484,0.0028321264976595645,0.003247803128848078,0.002338418252770616,0.01541768118660435,0.4243415620852009,0.12200663726498363,0.028061526570946238,0.004607855529063053,0.09839471174012816,0.45,0.3871621770644071,0.01564708634643013
0.02,0.022301352749374025,0.12504631543654302,0.419995680586642,1.002155789281505,0.05484822342549503,0.043738417123624466,0.006491690955696706,0.8171508069041179,0.019357631099628535,0.07655363177336769,0.05969983265856301,0.36744282606530976,0.3923789957965903,0.2489302250967195,0.23967755078474987,0.10023118792776742,0.09606495291154023,0.07905483472513176,0.3222889169900563,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.5199893401555817,0.48001065984441826,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.49513164748728705,0.39685737707858243,0.33833034579987964,0.13765111208353317,0.05365197596620478,0.010969644685099006,0.021218901216882996,0.07467906752901585,0.06671330032592084,0.09750599352829409,0.034555749745564725,0.05100380452576949,0.25099061306997555,0.09606495291154023,0.0422685792810777,0.030069356378330223,0.026330868548992144,0.42490970888967344,1.2487912017011218,0.36744282606530976,0.25720997824571684,0.06724696064336431,0.1000749787823804,0.021435016896542956,0.030621452709347075,0.012412317244516979,0.00287850018144121,0.003245845477848353,0.0023370087440508142,0.015325990315813784,0.43063652241453065,0.12504631543654302,0.028760652550404896,0.004460270549874805,0.09694350579583812,0.45,0.3867467003880675,0.015810966945026355
0.03,0.021586463593631488,0.1281178644076978,0.42200678136104786,1.003089831149936,0.055276400001450815,0.043608976561299306,0.006488261763587937,0.8131349366969817,0.01954138585720514,0.07734487540148065,0.061624744626001565,0.3763000474471302,0.39207235362040826,0.24839576935335891,0.2395114482588432,0.10035641507152547,0.09762217702605466,0.07985805839814632,0.32196129040518456,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.5299640517645718,0.47003594823542816,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.4887410538790286,0.4002290529064032,0.33994647549610774,0.1384095001841214,0.05400814391191183,0.011055280000290164,0.02108780929415834,0.07451873080600767,0.0665700661867002,0.09710593739757382,0.03453070429749809,0.0513029406239386,0.2541315867859254,0.09762217702605466,0.04295375789146405,0.03010692452145764,0.02634998916651226,0.43093228568326103,1.2663428849491323,0.3763000474471302,0.2634100332129911,0.0683825383424024,0.10126625265243816,0.021656565112414584,0.03093795016059226,0.012395649345119945,0.0029257090888009673,0.0032441308817939686,0.0023357742348916574,0.015234960566594314,0.4368206172152538,0.1281178644076978,0.029467108813770494,0.004317292718726298,0.09548313172028217,0.45,0.38635354848622144,0.015971611679629263
0.04,0.020894700638465737,0.13121982742502808,0.4240262900218819,1.0039254267422069,0.05570727629651659,0.043480431476211445,0.0064853246993648896,0.8090595954294707,0.019728491388078955,0.07814585213564763,0.06360061428947841,0.38524197248714315,0.3917682728964356,0.24786160861771062,0.239342114216915,0.10048814132635833,0.09919482705476801,0.08064507049831733,0.3216521100974513,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.5399148845555657,0.4600851154444343,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.482136109366487,0.4035595526796373,0.34152842004634054,0.13916894643470046,0.054363688430324075,0.011141455259303318,0.0209573379045981,0.07435848258531318,0.06642691110954645,0.09670735130793406,0.03450582655890117,0.051600115927689406,0.257202280196723,0.09919482705476801,0.043645723904097926,0.030146442397907498,0.026354651423951686,0.43682331806487534,1.2835126527610559,0.38524197248714315,0.26966938074100016,0.06951184579838861,0.10246774663947636,0.02188083859798134,0.031258340854259055,0.012378879544417411,0.0029737670089160445,0.0032426623496824448,0.00233471689177136,0.015144622873070623,0.4428869935774242,0.13121982742502808,0.030180560307756458,0.004178940127693148,0.09401875770636263,0.45,0.38598253211694156,0.016129014099663466
0.05,0.020226103840420253,0.1343506755003162,0.42605383997025303,1.0046608802355579,0.0561408400236912,0.043352776508488955,0.006482885944345434,0.804926005203849,0.019918988122381482,0.07895663754273985,0.06562809628518179,0.3942637850722464,0.3914667382683722,0.24732774842215993,0.23916957152301502,0.10062641403970096,0.10078201868797287,0.0814158864794693,0.3213611696771912,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.549833997312478,0.45016600268752205,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.4753269476098827,0.4068449265675733,0.34307418632905695,0.1399292736468412,0.054718505652790614,0.011228168004738241,0.020827515401988017,0.07419832452664797,0.06628383657713886,0.09631050317343262,0.0344811162720348,0.05189506102522949,0.2601989592205077,0.10078201868797287,0.044344088222708064,0.030187924211910286,0.026344704139700924,0.44257568298199673,1.300279831402769,0.3942637850722464,0.27598464955057245,0.07063413426266091,0.10367933856232908,0.02210785851196716,0.031582655017095944,0.01236208093238912,0.0030226878735570054,0.003241442972172717,0.0023338389399643563,0.015055007293701045,0.4488290706890903,0.1343506755003162,0.030900655365072728,0.004045220768084051,0.09255545678780133,0.45,0.38563340361262943,0.01628317729589386
0.06,0.01958066001678154,0.13750884979968864,0.42808905146869164,1.005294658277114,0.05657707803879858,0.0432260060907891,0.00648095171051292,0.8007354408624304,0.020112915559633956,0.07977730483072601,0.06770781100787605,0.40336057557628974,0.3911677319520739,0.2467941944926566,0.23899384539547416,0.10077127598198961,0.10238285106374924,0.08217057065653156,0.32108821878760135,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.5597136492671928,0.4402863507328072,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.46832453282524017,0.4100812994255587,0.3445818405569135,0.14069030171901425,0.05507249142527594,0.011315415607759716,0.020698370032663213,0.07403825834779698,0.06614084412403197,0.09591565850124517,0.03445657296498409,0.05218751134320502,0.26311805147946205,0.10238285106374924,0.04504845446804966,0.030231382794596882,0.026320039671918646,0.4481825557026854,1.3166246127096477,0.40336057557628974,0.2823524029034028,0.07174868556412442,0.10490090363258919,0.022337645352603283,0.031910921932290406,0.012345328056925314,0.003072485713257886,0.00324047585525646,0.002333142615784651,0.014966142977475833,0.45464054788592123,0.13750884979968864,0.031627035453928386,0.003916132003356308,0.09109816144465158,0.45,0.3853058625451216,0.016434114131306313
0.07,0.018958271493399556,0.14069272449429246,0.4301315184175938,1.0058254899594665,0.05701597554851741,0.04310011424671697,0.006479528363644028,0.7964892793595045,0.020310312235866396,0.08060792438050209,0.06984032871682092,0.4125272238347223,0.39087123189901346,0.24626095297384762,0.23881496525422946,0.10092276275799279,0.10399638576029806,0.08290926530927105,0.32083293544541097,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.569546223939229,0.43045377606077095,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.4611406697276009,0.41326492409929044,0.34604954797139553,0.14145184283639778,0.055425539152879004,0.011403195109703482,0.020569930705008586,0.07387828589215428,0.06599793539699117,0.09552307919686796,0.03443219579902595,0.0524772083873097,0.26595617520380405,0.10399638576029806,0.045758409734531144,0.030276828827397836,0.026280587450564982,0.4536374614672835,1.3325282036430859,0.4125272238347223,0.2887690566843056,0.07285480099475088,0.10613230796996546,0.022570218826540586,0.03224316975220084,0.01232869672745274,0.0031231745898257293,0.003239764181822014,0.00233263021091185,0.014878058001260835,0.4603154495329941,0.14069272449429246,0.03235932663368727,0.0037916542986799113,0.08965144352044782,0.45,0.38499952253449315,0.01658185306185421
0.08,0.018358812760366865,0.14390065057001583,0.4321808256131422,1.006252194862094,0.057457517179128614,0.04297509485895454,0.0064786223300721075,0.7921889327432398,0.020511216399282182,0.08144856568434286,0.07202620274523583,0.42175853675922764,0.39057721460104455,0.24572803016117917,0.23863296195519598,0.10108090753770962,0.10562167135195405,0.08363213834792406,0.320594974202245,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.5793242521487496,0.4206757478512504,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.45378775254880677,0.4163921237221137,0.3474755192930898,0.14221370807061418,0.055777542947985724,0.011491503435825723,0.020442225943467607,0.07371840904835375,0.06585511208319603,0.0951330227474128,0.03440798379709122,0.052763899945403855,0.2687101291820149,0.10562167135195405,0.04647353539485978,0.030324272261312887,0.02622632283900123,0.4589342610219935,1.347972784678412,0.42175853675922764,0.29523097573145934,0.07395184174243508,0.10737341836089628,0.022805598391616003,0.032579426273737146,0.012312264237278145,0.0031747687328924617,0.0032393111650360538,0.002332304038825959,0.01479077937540712,0.46584811410772214,0.14390065057001583,0.03309714963110364,0.0036717625520733734,0.08821980671209294,0.45,0.38471396904269395,0.016726427669584813
0.09,0.017782187776817067,0.14713100328110568,0.43423656713996484,1.0065735018253614,0.05790168813707501,0.04285094195582345,0.006478239982893865,0.7878357766082394,0.020715666630797283,0.08229929923457244,0.07426600370930565,0.4310493974870218,0.3902856580545619,0.24519543220173098,0.23844786486790923,0.10124574599155264,0.10725777002735934,0.08433933049070692,0.3203740145977048,0.4000027925874407,1.8,0.7,0.06,0.0,3.4,1.25,0.2,0.42,0.26,0.18,0.71,2.3499889284595,0.1,0.28,0.4,0.91,0.3,0.3,0.18,0.14,0.3,0.7,0.7,0.5,0.6,0.17,0.4,0.2,0.5400132205603699,0.24,0.2,0.2,0.3,0.2500060658314073,0.5,0.1,1.0,0.3,1.0,1.0,0.32,0.28,0.31000613986248937,0.5,0.3,1.0,0.2,1.2,0.2,2.0,1.0,0.405,0.280006253789297,0.14,2.0,3.0,3.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,0.4000075609817316,0.27,0.1,0.268,1.0,0.44,0.3,0.7,0.4,0.36,0.23,30.0,0.4,0.45,0.05,0.8,0.5,2.9,0.6,0.0,12.0,0.0,3.0,9.0,12.0,0.5890404340586652,0.41095956594133476,0.5,4638600.0,40.5939,300.15,0.0083145,2.3323,3.6511,559910.0,35.3172,1499400.0,38.9484,0.559,1.7253,1287.0,20.7914,3.5369,1.0203,1.0,0.44627852387678646,0.41945922680163544,0.34885795250890234,0.14297571428500272,0.056128400857009764,0.011580337627415003,0.020315282826214722,0.07355862966051929,0.06571237583006391,0.09474574146217424,0.03438393608765271,0.05304734019529777,0.27137687825034096,0.10725777002735934,0.04719341881203811,0.030373723797465793,0.026157275146007488,0.464067127820263,1.362941444009484,0.4310493974870218,0.30173457824091526,0.0750392665965818,0.10862411292497429,0.023043803785680286,0.032919719693828974,0.012296109519468636,0.003227282686245052,0.0032391199914469323,0.0023321663938417913,0.014704333059913002,0.47123317638987616,0.14713100328110568,0.03384013075465431,0.0035564375553634136,0.08680801082778886,0.45,0.38444881751724574,0.016867866098141386
