value_component_environment_variable_time,value_component_C_variable_C,value_component_D_variable_D,value_component_R_variable_R,value_component_R_variable_R_initial,value_component_Ri_variable_Ri,value_component_signal_variable_signal,value_component_model_parameters_variable_kf1,value_component_model_parameters_variable_kr1,value_component_model_parameters_variable_kx2,value_component_model_parameters_variable_k_x2,value_component_model_parameters_variable_k_x1,value_component_model_parameters_variable_ke,value_component_model_parameters_variable_kt,value_component_model_parameters_variable_krec,value_component_model_parameters_variable_kdeg,value_component_model_parameters_variable_Vs,value_component_model_parameters_variable_L,value_component_model_parameters_variable_kappaE,value_component_model_parameters_variable_KD
0.0,0.0,0.0,2000.0,2000.0,200.0,0.0,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.1,0.00020736604093079432,0.1987661637605581,1999.600371319548,2000.0,199.99990040743825,0.0009928440997382041,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.2,0.00020769241320730614,0.3956998619891843,1999.200854972734,2000.0,199.99960196069435,0.0019745925798891864,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.30000000000000004,0.0002080155994420619,0.5906147782176568,1998.801657364816,2000.0,199.99910582156087,0.002944378922566582,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.4,0.00020833555175529722,0.7835313104512625,1998.4027778671652,2000.0,199.99841313908783,0.0039023684130735166,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.5,0.00020865238132620917,0.9744695580467211,1998.004215861953,2000.0,199.9975250508451,0.004848723124830881,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.6000000000000001,0.00020896608776694946,1.1634493920828373,1997.605970734451,2000.0,199.9964426877134,0.005783602317412971,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.7000000000000001,0.00020927670335832134,1.3504905053511869,1997.2080418734815,2000.0,199.995167175766,0.006707162728840214,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.8,0.00020958425855745145,1.5356123946284097,1996.8104286723624,2000.0,199.99369963535145,0.007619558530536605,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
0.9,0.00020988878340386956,1.7188344150567634,1996.413130527548,2000.0,199.99204118256367,0.008520941636615294,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
1.0,0.00021019030755874685,1.900175640628353,1996.0161468417002,2000.0,199.99019292509837,0.009411461057916884,0.1,0.1,4.83,0.016,0.001,0.1,0.005,0.0,0.05,10.0,0.01,0.2,1.0
