A_4_task1,G_5_task1,N0_7_task1,N_6_task1,_1_task1,a0_9_task1,a_11_task1,g0_10_task1,n0_8_task1,normalized_cancer_cell_a_3_task1,normalized_normal_cell_n_1_task1,normalized_pre_cancer_cell_g_2_task1
0.0,1.0,99999999.0,99999999.0,0.0,0.0,0.0,1e-08,0.99999999,0.0,0.99999999,1e-08
3.22450298065371e-07,0.8187304182229472,99999999.0,99999999.3296802,40.0,0.0,3.22450298065371e-14,1e-08,0.99999999,3.2245029806537098e-15,0.999999993296802,8.187304182229472e-09
5.259862770017795e-07,0.6703196014924692,99999999.0,99999999.55067027,80.0,0.0,5.2598627700177957e-14,1e-08,0.99999999,5.259862770017796e-15,0.9999999955067027,6.703196014924692e-09
6.502941509205211e-07,0.5488110304229992,99999999.0,99999999.69880666,120.0,0.0,6.502941509205212e-14,1e-08,0.99999999,6.502941509205211e-15,0.9999999969880666,5.488110304229992e-09
7.219558756972765e-07,0.44932835646256697,99999999.0,99999999.79810363,160.0,0.0,7.219558756972766e-14,1e-08,0.99999999,7.219558756972766e-15,0.9999999979810363,4.4932835646256694e-09
7.587821138033085e-07,0.367878844935146,99999999.0,99999999.8646644,200.0,0.0,7.587821138033086e-14,1e-08,0.99999999,7.587821138033086e-15,0.999999998646644,3.67878844935146e-09
7.726943854730848e-07,0.30119362258590415,99999999.0,99999999.90928152,240.0,0.0,7.726943854730849e-14,1e-08,0.99999999,7.726943854730848e-15,0.9999999990928152,3.0119362258590414e-09
7.71668461355898e-07,0.246596337839032,99999999.0,99999999.9391897,280.0,0.0,7.71668461355898e-14,1e-08,0.99999999,7.71668461355898e-15,0.999999999391897,2.46596337839032e-09
7.610328258088316e-07,0.2018959458011796,99999999.0,99999999.95923705,320.0,0.0,7.610328258088317e-14,1e-08,0.99999999,7.610328258088317e-15,0.9999999995923705,2.018959458011796e-09
7.443459730843333e-07,0.16529834922474085,99999999.0,99999999.97267522,360.0,0.0,7.443459730843333e-14,1e-08,0.99999999,7.443459730843333e-15,0.9999999997267522,1.6529834922474084e-09
7.239771967371095e-07,0.13533478577815172,99999999.0,99999999.98168305,400.0,0.0,7.239771967371095e-14,1e-08,0.99999999,7.239771967371095e-15,0.9999999998168305,1.3533478577815172e-09
7.015006784439921e-07,0.1108026403972871,99999999.0,99999999.98772138,440.0,0.0,7.015006784439922e-14,1e-08,0.99999999,7.0150067844399215e-15,0.9999999998772139,1.108026403972871e-09
6.779564430330038e-07,0.0907175227277748,99999999.0,99999999.99176861,480.0,0.0,6.779564430330038e-14,1e-08,0.99999999,6.779564430330038e-15,0.9999999999176861,9.07175227277748e-10
6.540293771760236e-07,0.0742731829710863,99999999.0,99999999.99448167,520.0,0.0,6.540293771760235e-14,1e-08,0.99999999,6.5402937717602356e-15,0.9999999999448167,7.42731829710863e-10
6.301648425996279e-07,0.06080972816350841,99999999.0,99999999.99630022,560.0,0.0,6.301648425996278e-14,1e-08,0.99999999,6.301648425996279e-15,0.9999999999630023,6.080972816350841e-10
6.066490911687754e-07,0.049786799277072996,99999999.0,99999999.99751925,600.0,0.0,6.066490911687754e-14,1e-08,0.99999999,6.066490911687754e-15,0.9999999999751925,4.9786799277073e-10
5.834838784454594e-07,0.04076195433129916,99999999.0,99999999.99761918,640.0,0.0,5.834838784454593e-14,1e-08,0.99999999,5.8348387844545936e-15,0.9999999999761918,4.076195433129916e-10
5.611985933224229e-07,0.033373133157325215,99999999.0,99999999.99862325,680.0,0.0,5.6119859332242287e-14,1e-08,0.99999999,5.611985933224229e-15,0.9999999999862326,3.3373133157325216e-10
5.395529646160889e-07,0.027323619197980393,99999999.0,99999999.99907592,720.0,0.0,5.395529646160889e-14,1e-08,0.99999999,5.395529646160889e-15,0.9999999999907592,2.732361919798039e-10
5.186377239145939e-07,0.022370677613048628,99999999.0,99999999.99937987,760.0,0.0,5.186377239145939e-14,1e-08,0.99999999,5.186377239145939e-15,0.9999999999937987,2.2370677613048626e-10
4.984631946228515e-07,0.01831559735539962,99999999.0,99999999.999584,800.0,0.0,4.984631946228515e-14,1e-08,0.99999999,4.984631946228515e-15,0.99999999999584,1.831559735539962e-10
4.790265029153888e-07,0.014995609062017233,99999999.0,99999999.99972048,840.0,0.0,4.790265029153888e-14,1e-08,0.99999999,4.790265029153888e-15,0.9999999999972049,1.4995609062017233e-10
4.603161816711617e-07,0.01227736900384736,99999999.0,99999999.99981208,880.0,0.0,4.603161816711617e-14,1e-08,0.99999999,4.603161816711617e-15,0.9999999999981208,1.227736900384736e-10
4.423155758743667e-07,0.01005186067640886,99999999.0,99999999.9998735,920.0,0.0,4.423155758743667e-14,1e-08,0.99999999,4.423155758743667e-15,0.999999999998735,1.005186067640886e-10
4.250046715256916e-07,0.008229703652835287,99999999.0,99999999.99991482,960.0,0.0,4.250046715256916e-14,1e-08,0.99999999,4.250046715256916e-15,0.9999999999991482,8.229703652835288e-11
4.0836184566982344e-07,0.006737899020810228,99999999.0,99999999.99994245,1000.0,0.0,4.0836184566982345e-14,1e-08,0.99999999,4.083618456698235e-15,0.9999999999994245,6.737899020810228e-11
3.9236440185914433e-07,0.005516524642147125,99999999.0,99999999.99996096,1040.0,0.0,3.923644018591443e-14,1e-08,0.99999999,3.923644018591443e-15,0.9999999999996095,5.516524642147125e-11
3.7698939601999905e-07,0.004516541814119482,99999999.0,99999999.99997339,1080.0,0.0,3.769893960199991e-14,1e-08,0.99999999,3.769893960199991e-15,0.9999999999997339,4.5165418141194815e-11
3.62214015334459e-07,0.003697824102217225,99999999.0,99999999.99998175,1120.0,0.0,3.6221401533445903e-14,1e-08,0.99999999,3.6221401533445905e-15,0.9999999999998175,3.697824102217225e-11
3.480158136291312e-07,0.0030275244082459177,99999999.0,99999999.99998736,1160.0,0.0,3.4801581362913124e-14,1e-08,0.99999999,3.480158136291312e-15,0.9999999999998737,3.027524408245918e-11
