Time,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a,A,G,N,N0,n0,a0,g0,a,r_N,mu_N,beta_1,beta_4,r_G,mu_G,xi_G,beta_2,beta_5,delta,xi,r_A,K_A,mu_A,xi_A,beta_3,beta_6,K,G0,A0,compartment,normal_cell_growth,normal_cell_death,normal_cell_damage_A,normal_cell_damage_G,pre_cancer_cell_logistic_growth,pre_cancer_cell_natural_death,pre_cancer_cell_death_tissue_repair_system,pre_cancer_cell_death_apoptosis,negative_effect_on_G_A,negative_effect_on_A_G,cancer_cell_natural_death,cancer_cell_logistic_growth,cancer_cell_death_tissue_repair_system,cancer_cell_death_apoptosis,transition_to_cancer_cell
0.0,0.99999999,1e-08,0.0,0.0,1.0,99999999.0,99999999.0,0.99999999,0.0,1e-08,0.0,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.009999999899999999,0.0,0.0,5e-10,1e-10,3.499999965e-10,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99000999000999e-17
40.0,0.999999993296802,8.187304182229472e-09,3.2245029806537098e-15,3.22450298065371e-07,0.8187304182229472,99999999.3296802,99999999.0,0.99999999,0.0,1e-08,3.22450298065371e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.00999999993296802,1.1285760356637296e-16,0.0,4.093652091114736e-10,8.187304182229473e-11,2.8655564445719227e-10,8.187304182229473e-11,0.0,0.0,3.2245029806537097e-17,1.612251490326803e-16,1.1285760356637296e-16,1.934701788392226e-17,6.697711357214592e-17
80.0,0.9999999955067027,6.703196014924692e-09,5.259862770017796e-15,5.259862770017795e-07,0.6703196014924692,99999999.55067027,99999999.0,0.99999999,0.0,1e-08,5.2598627700177957e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.009999999955067028,1.8409519612342838e-16,0.0,3.3515980074623463e-10,6.703196014924691e-11,2.3461185946818335e-10,6.703196014924691e-11,0.0,0.0,5.2598627700177955e-17,2.6299313850087594e-16,1.8409519612342838e-16,3.155917662010677e-17,4.490273762930867e-17
120.0,0.9999999969880666,5.488110304229992e-09,6.502941509205211e-15,6.502941509205211e-07,0.5488110304229992,99999999.69880666,99999999.0,0.99999999,0.0,1e-08,6.502941509205212e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.009999999969880666,2.2760295213665747e-16,0.0,2.744055152114996e-10,5.488110304229992e-11,1.9208386006950592e-10,5.488110304229992e-11,0.0,0.0,6.502941509205212e-17,3.2514707546023945e-16,2.2760295213665747e-16,3.901764905523127e-17,3.010283394407992e-17
160.0,0.9999999979810363,4.4932835646256694e-09,7.219558756972766e-15,7.219558756972765e-07,0.44932835646256697,99999999.79810363,99999999.0,0.99999999,0.0,1e-08,7.219558756972766e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.009999999979810364,2.526845559838858e-16,0.0,2.2466417823128347e-10,4.49328356462567e-11,1.5726492444438625e-10,4.49328356462567e-11,0.0,0.0,7.219558756972766e-17,3.6097793784861225e-16,2.526845559838858e-16,4.3317352541836594e-17,2.0180529507978797e-17
200.0,0.999999998646644,3.67878844935146e-09,7.587821138033086e-15,7.587821138033085e-07,0.367878844935146,99999999.8646644,99999999.0,0.99999999,0.0,1e-08,7.587821138033086e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.00999999998646644,2.6557373947174217e-16,0.0,1.8393942246757302e-10,3.67878844935146e-11,1.2875759555304623e-10,3.67878844935146e-11,0.0,0.0,7.587821138033085e-17,3.793910569016256e-16,2.6557373947174217e-16,4.552692682819852e-17,1.352850760333091e-17
240.0,0.9999999990928152,3.0119362258590414e-09,7.726943854730848e-15,7.726943854730848e-07,0.30119362258590415,99999999.90928152,99999999.0,0.99999999,0.0,1e-08,7.726943854730849e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.009999999990928153,2.7044303467023786e-16,0.0,1.505968112929521e-10,3.011936225859041e-11,1.0541776780943303e-10,3.011936225859041e-11,0.0,0.0,7.726943854730848e-17,3.8634719273651255e-16,2.7044303467023786e-16,4.636166312838509e-17,9.069028295156454e-18
280.0,0.999999999391897,2.46596337839032e-09,7.71668461355898e-15,7.71668461355898e-07,0.246596337839032,99999999.9391897,99999999.0,0.99999999,0.0,1e-08,7.71668461355898e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.00999999999391897,2.700839613103254e-16,0.0,1.23298168919516e-10,2.46596337839032e-11,8.63087181911766e-11,2.46596337839032e-11,0.0,0.0,7.716684613558981e-17,3.858342306779193e-16,2.700839613103254e-16,4.6300107681353884e-17,6.0794762069935756e-18
320.0,0.9999999995923705,2.018959458011796e-09,7.610328258088317e-15,7.610328258088316e-07,0.2018959458011796,99999999.95923705,99999999.0,0.99999999,0.0,1e-08,7.610328258088317e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.009999999995923705,2.6636148892451426e-16,0.0,1.009479729005898e-10,2.018959458011796e-11,7.06635810016083e-11,2.018959458011796e-11,0.0,0.0,7.610328258088317e-17,3.805164129043869e-16,2.6636148892451426e-16,4.56619695485299e-17,4.0753744915078284e-18
360.0,0.9999999997267522,1.6529834922474084e-09,7.443459730843333e-15,7.443459730843333e-07,0.16529834922474085,99999999.97267522,99999999.0,0.99999999,0.0,1e-08,7.443459730843333e-14,1000000.0,0.01,3.5e-10,0.0,0.05,0.01,0.01,3.5e-10,0.0,1e-05,1000.0,0.05,10000000.0,0.01,0.006,3.5e-10,0.0,100000000.0,1.0,0.0,1.0,0.01,0.009999999997267523,2.6052109050832983e-16,0.0,8.264917461237042e-11,1.6529834922474085e-11,5.78544222128507e-11,1.6529834922474085e-11,0.0,0.0,7.443459730843333e-17,3.72172986542139e-16,2.6052109050832983e-16,4.466075838506e-17,2.7319028466116505e-18
