A1,A1_2,A2,A2_2,A3,A3_2,CREB_n,DUSP_c,DUSP_n,DUSP_n_ERK_n,DUSP_n_pERK_n,DUSP_n_ppERK_n,DUSPmRNA,EGF,ERK_c,ERK_n,Elk1_n,F,FOSn,FOSn_2,FmRNA,Fn,HRG,Kin,Kin_2,MEK,PreDUSPmRNA,PreFOSmRNA,PreFmRNA,RSK_c,RsD,RsT,c_FOS_c,c_FOSmRNA,pCREB_n,pDUSP_c,pDUSP_n,pDUSP_n_ERK_n,pDUSP_n_pERK_n,pDUSP_n_ppERK_n,pERK_c,pERK_n,pElk1_n,pMEK,pRSK_c,pRSK_n,pc_FOS_c,ppERK_c,ppERK_n,Time
182.3524,0.0,25.38702,0.0,13.09262,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.4179,1624.9,1510.0,0.0,0.0,0.0,0.0,0.0,10.0,82.66574,0.0,637.3212,0.0,0.0,0.0,353.0,247.4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.3524,0.0,25.386352732672485,0.0006672673275185326,13.092595808730415,2.419126958782472e-05,1000.0,2.216895053464187e-125,2.872447383785763e-129,9.289298672171397e-131,3.760310216496156e-146,2.318153897616959e-161,1.2827985492042024e-119,0.0,570.4179030850959,1624.8999868161598,1510.0,1.4867132799250152e-259,1.890580490415462e-149,3.690635203780668e-179,7.687408281531354e-254,9.982434943163352e-264,10.0,82.66552148091306,0.00021851908693983492,637.3211991327429,2.835461886133082e-112,2.7608457137362614e-133,1.5371771007518635e-246,353.0,247.4003344988543,0.0031655011456232255,1.0223639845960788e-146,1.684694487360458e-139,3.096265277999737e-33,8.704676993228498e-155,7.877215867880043e-159,1.8552298534287583e-160,3.776952345242393e-176,3.021193908773748e-191,4.839287997454123e-10,6.320304654351159e-14,4.009190722174225e-31,8.672567210751251e-07,1.1439229658161607e-27,1.769097728210108e-31,2.0078070613017368e-176,1.1798944252500854e-22,8.386164233288725e-27,0.01
182.3524,0.0,25.385685490199574,0.0013345098004239463,13.0925716175524,4.838244760543473e-05,1000.0,2.607631677429106e-118,5.260156221465472e-122,2.8305891495600753e-123,1.0255481091258985e-138,7.912653277341547e-153,1.0210611666613701e-112,0.0,570.417906166377,1624.899973636273,1510.0,3.3997829548059616e-244,2.856046198270454e-137,4.937309244636715e-165,6.808870778989748e-239,5.890930013661628e-248,10.0,82.66530296235304,0.00043703764696941894,637.3211965310628,1.6872572829999618e-105,2.4664548922889614e-122,5.273262433262383e-232,353.0,247.3971690266073,0.006330973392593652,6.016297497681749e-135,3.864002103963094e-128,2.035619262095509e-30,4.083048527521713e-147,8.209047713416666e-151,4.402423324035293e-152,9.152985939529988e-168,6.999962502945731e-182,3.857217746325581e-09,1.000134236027995e-12,1.2458925179697327e-28,3.4689367512897835e-06,1.6323863358055827e-25,5.420586868261377e-29,1.0424713436592937e-162,7.987077833469568e-21,1.2163214460327647e-24,0.02
182.3524,0.0,25.385018272580393,0.0020017274196047602,13.09254742646595,7.257353405309104e-05,1000.0,6.152233247378408e-111,3.6016822558753316e-114,5.971313785354593e-115,1.158778546648787e-131,4.006684240453644e-145,7.504520847052949e-106,0.0,570.4179092409445,1624.8999604603366,1510.0,7.146423440316907e-234,2.960053794656149e-128,3.0589645074869284e-156,4.432707881300485e-229,3.991415745974815e-237,10.0,82.66508444431993,0.000655555680069154,637.3211921950857,3.865231273435917e-99,7.601164728959655e-115,1.0631725377488838e-222,353.0,247.3940035833852,0.009496416614667129,1.9308056840096875e-126,3.8472893746972324e-120,1.2140992455820402e-28,3.146397326873774e-140,1.8411687266321796e-143,3.051742931294406e-144,1.4284532517953113e-160,4.938160762112631e-174,1.3018504391435638e-08,5.075883109801226e-12,4.124600864033029e-27,7.804913940797556e-06,3.0952614279550845e-24,1.755941745623209e-27,2.015555063075783e-154,9.576215523548992e-20,2.355522577168198e-23,0.03
182.3524,0.0,25.384351079814024,0.002668920185971406,13.092523235471072,9.676452893114346e-05,1000.0,1.6421212999333347e-109,9.616605739514426e-113,1.594659177540087e-113,3.0917399369267275e-130,1.069707060861234e-143,2.0016435795812544e-104,0.0,570.4179123059089,1624.8999472883447,1510.0,1.908818390926656e-232,7.905912475233737e-127,8.169241974556052e-155,1.1839547387957154e-227,1.0661241862852185e-235,10.0,82.66486592681377,0.000874073186220009,637.3211861249389,1.0295029781610545e-97,2.0291035408830065e-113,2.8395538610244545e-221,353.0,247.39083816931378,0.01266183068608918,5.156534920233068e-125,1.027327467284789e-118,1.769396952666673e-27,8.38964959931434e-139,4.913271812120776e-142,8.147452126072999e-143,3.810009996769769e-159,1.318208639584986e-172,3.085801983285269e-08,1.6214321156805053e-11,4.635742361628783e-26,1.3875060710956677e-05,2.497115309766131e-23,1.9447082423771586e-26,5.381772217861039e-153,5.631328977183466e-19,1.9359504934061184e-22,0.04
182.3524,0.0,25.383683911899563,0.0033360881004349053,13.092499044567765,0.00012095543223994296,1000.0,3.946920255978262e-106,2.3123402489863887e-109,3.836127888170338e-110,2.1304170473125503e-125,2.0101464723631357e-138,4.808855727527567e-101,0.0,570.4179153583797,1624.8999341202923,1510.0,6.111999499993041e-227,2.808863274059969e-122,2.615650484030073e-149,3.790989989507605e-222,3.4137197489030664e-230,10.0,82.6646474098346,0.0010925901654029522,637.32117832075,2.4722790936907194e-94,7.208581185133555e-109,9.092156568549744e-216,353.0,247.38767278451868,0.01582721548115396,1.8319924988635868e-120,3.649750604064677e-114,1.1223123550498081e-26,5.698356884330427e-134,3.3371072439087737e-137,5.533752818381495e-138,1.088472081914244e-154,1.0270015613106513e-167,6.026643707854882e-08,3.950973057933829e-11,2.515566160166924e-25,2.167924937141263e-05,1.116768632267222e-22,1.043775694066338e-25,1.7230495176619538e-147,2.104950027527725e-18,8.7752438754857e-22,0.05
182.3524,0.0,25.383016768836093,0.004003231163906526,13.092474853756025,0.00014514624397984115,1000.0,6.012775950880217e-102,4.560665126662335e-105,1.0041874712044701e-105,2.0041310556833725e-118,6.861337153234163e-131,5.406403269177758e-97,0.0,570.4179183954667,1624.8999209561705,1510.0,1.8834349541083693e-217,6.746028095258018e-117,3.235071783887886e-140,8.616920872756054e-213,1.4248865395397804e-220,10.0,82.66442889338241,0.001311106617598952,637.3211687826473,2.0511553772473782e-90,6.958735402089624e-104,1.524332940987512e-206,353.0,247.38450742912562,0.018992570874258555,3.246398788355683e-115,4.776590552263219e-109,5.591589911899564e-26,7.65062322841573e-127,5.8030841058617295e-130,1.2777539182676113e-130,1.4688759402507289e-145,5.02884036571735e-158,1.0413416860084983e-07,8.163404190747653e-11,1.0589930318585691e-24,3.121735213800567e-05,3.878423057822855e-22,4.332754103964783e-25,1.577835325592749e-138,6.242235044695369e-18,3.095126901801868e-21,0.06
182.3524,0.0,25.3823496506227,0.0046703493772976045,13.092450663035853,0.00016933696415118981,1000.0,3.0049056454514656e-101,2.279278686990667e-104,5.01874669891467e-105,1.0017072763796937e-117,3.429442614599633e-130,2.701738494517808e-96,0.0,570.4179214142802,1624.8999077959709,1510.0,9.413810073099153e-217,3.371779833353388e-116,1.6169579549015076e-139,4.306921049475186e-212,7.121887183861531e-220,10.0,82.66421037745721,0.0015296225427889774,637.3211575107582,1.0249555876378748e-89,3.4780499689766804e-103,7.618941527683625e-206,353.0,247.38134210325998,0.02215789673987984,1.6226004829795062e-114,2.387404195423612e-108,1.8262395343644447e-25,3.823944267398541e-126,2.9005050068603004e-129,6.386486355833031e-130,7.341755594150861e-145,2.513521796933876e-157,1.653512529816142e-07,1.5035112862446272e-10,3.1886198636776393e-24,4.2489241173447884e-05,1.0455854531112585e-21,1.294514141644078e-24,7.886357862138315e-138,1.517072310237358e-17,8.429106400963626e-21,0.07
182.3524,0.0,25.381682557258475,0.005337442741519395,13.092426472407249,0.0001935275927543405,1000.0,1.3099613319429792e-99,1.0040885003777233e-102,2.2363815943778416e-103,2.8778244009119036e-116,1.4014462121233436e-128,1.1629358200726337e-94,0.0,570.4179244119315,1624.8998946396828,1510.0,1.1007243423727489e-214,2.1271893511271444e-114,1.885086967546455e-137,5.012167080270423e-210,8.366546240299649e-218,10.0,82.66399186205904,0.0017481379409539962,637.3211445052109,4.355483564335157e-88,2.1367820893540964e-101,8.8244704905332e-204,353.0,247.37817680704723,0.025323192952632793,1.0147241724506273e-112,1.4799006618402828e-106,5.442867779167097e-25,1.4163244683527478e-124,1.0876395092430363e-127,2.4273034290989897e-128,3.431967014063445e-141,1.7027789264830215e-153,2.4680684259547253e-07,2.55122682374012e-10,8.649715440928005e-24,5.549478857556402e-05,2.520918202373111e-21,3.477187702779927e-24,9.151084923968731e-136,3.3145744584747436e-17,2.0561504524140267e-20,0.08
182.3524,0.0,25.381015488742513,0.006004511257483118,13.092402281870212,0.00021771812978964484,1000.0,5.377850837829668e-99,4.12352444616918e-102,9.187573300410757e-103,1.1616627421215567e-115,5.740989960368119e-128,4.77228586689013e-94,0.0,570.4179273855318,1624.8998814872941,1510.0,4.610580626961564e-214,8.82018658341895e-114,7.895747925935086e-137,2.099318021119924e-209,3.5046714525436736e-217,10.0,82.66377334718793,0.0019666528120749777,637.3211297661331,1.78658212494912e-87,8.854687608845813e-101,3.6958705872174797e-203,353.0,247.37501154061266,0.028488459387190967,4.206635452670806e-112,6.133854769795386e-106,1.3260149449440326e-24,5.781196669464882e-124,4.441646716646087e-127,9.91751508758622e-128,1.454116605036309e-140,7.215289527198103e-153,3.5138970275792545e-07,4.061239539406309e-10,1.9857108637994465e-23,7.023386641595789e-05,5.3310090647378476e-21,7.928744762007034e-24,3.8327479042305385e-135,6.513622936272552e-17,4.3867404277550024e-20,0.09
