T,C1,C2,C3,IC2,IC3,IIF,IM1,IM2,INA,O
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.02,7.8971116e-06,0.0060112718,0.99384487,6.2918133e-07,0.00013536206,5.5993427e-10,4.5059387e-15,0.0,-4.1520534e-09,1.2650542e-09
0.039999999,3.1490796e-05,0.01087184,0.98882467,2.6526384e-06,0.00026930246,6.7389667e-09,2.7948658e-13,7.6302961e-21,-4.6794515e-08,1.4257426e-08
0.059999999,6.3667991e-05,0.014805505,0.98472285,5.6714371e-06,0.00040221598,2.2821686e-08,1.7554032e-12,9.7737257e-20,-1.4865766e-07,4.5293248e-08
0.079999998,9.9671648e-05,0.017991671,0.98136473,9.3897352e-06,0.00053439732,5.0221836e-08,5.7465612e-12,4.8916556e-19,-3.0739139e-07,9.3656496e-08
0.1,0.0001364059,0.020574355,0.97860932,1.3589332e-05,0.00066606514,8.8656002e-08,1.3654336e-11,1.5787603999999998e-18,-5.106856e-07,1.5559648e-07
0.12,0.00017193481,0.022669323,0.97634292,1.8110366e-05,0.00079738064,1.3692495e-07,2.6796338e-11,3.9433317e-18,-7.4341494e-07,2.2650484e-07
0.14,0.00020512228,0.02436975,0.97447336,2.2836704e-05,0.00092846167,1.934182e-07,4.6318584e-11,8.323757199999999e-18,-9.9124429e-07,3.0201389e-07
0.16,0.00023537496,0.025750717,0.9729262,2.7684877e-05,0.0010593934,2.5642666e-07,7.3160589e-11,1.5600474e-17,-1.2421989e-06,3.7847511e-07
0.18000001,0.00026245986,0.026872793,0.97164112,3.2595719e-05,0.0011902368,3.2432507e-07,1.0805266e-10,2.6766157e-17,-1.4871156e-06,4.5309673e-07
0.2,0.00028637605,0.027784897,0.97056925,3.7528054e-05,0.0013210342,3.9566808e-07,1.5153143e-10,4.2899059e-17,-1.7195223e-06,5.2390675e-07
0.22,0.00030726526,0.028526574,0.96967083,4.2453961e-05,0.0014518149,4.692308e-07,2.0396439e-10,6.5138885e-17,-1.9352594e-06,5.8963786e-07
0.23999999,0.00032535082,0.029129826,0.96891367,4.7355185e-05,0.001582598,5.4401505e-07,2.6557789e-10,9.466609000000001e-17,-2.1320222e-06,6.4958795e-07
0.25999999,0.00034089599,0.029620569,0.96827161,5.2220461e-05,0.0017133955,6.1923623e-07,3.3648465e-10,1.3268483e-16,-2.3089153e-06,7.0348392e-07
0.28,0.00035417688,0.030019816,0.96772331,5.704353e-05,0.0018442142,6.942995e-07,4.1670925e-10,1.8040939000000002e-16,-2.4660587e-06,7.5136262e-07
0.30000001,0.00036546512,0.030344605,0.96725148,6.1821644e-05,0.0019750572,7.6877211e-07,5.062103e-10,2.3905385e-16,-2.6042662e-06,7.9347188e-07
0.31999999,0.00037501738,0.030608779,0.96684206,6.6554472e-05,0.002105925,8.4235552e-07,6.0489941e-10,3.0982438e-16,-2.7247904e-06,8.3019341e-07
0.34,0.00038306956,0.030823573,0.96648353,7.1243288e-05,0.0022368166,9.1485862e-07,7.1265627e-10,3.9391397000000005e-16,-2.8291304e-06,8.6198389e-07
0.36000001,0.00038983423,0.030998129,0.96616656,7.5890399e-05,0.0023677296,9.8617477e-07,8.2934115e-10,4.9249884e-16,-2.9188916e-06,8.8933251e-07
0.38,0.00039550001,0.03113988,0.96588349,8.0498707e-05,0.0024986609,1.0562613e-06,9.5480424e-10,6.0673632e-16,-2.9956873e-06,9.1273074e-07
0.40000001,0.00040023238,0.031254873,0.96562815,8.507142e-05,0.0026296079,1.1251232e-06,1.0888926e-09,7.3776411e-16,-3.0610729e-06,9.3265248e-07
0.41999999,0.00040417508,0.031348035,0.96539545,8.9611822e-05,0.0027605665,1.1927988e-06,1.231456e-09,8.866999800000001e-16,-3.1165048e-06,9.4954163e-07
0.44,0.00040745205,0.031423382,0.96518129,9.412317e-05,0.002891534,1.2593495e-06,1.3823499e-09,1.0546423e-15,-3.1633181e-06,9.6380472e-07
0.46000001,0.00041016948,0.031484179,0.96498221,9.8608572e-05,0.0030225066,1.3248508e-06,1.5414379e-09,1.2426711e-15,-3.2027149e-06,9.7580823e-07
0.47999999,0.00041241787,0.0315331,0.96479553,0.00010307095,0.0031534818,1.3893862e-06,1.7085937e-09,1.4518491e-15,-3.235765e-06,9.8587805e-07
0.5,0.00041427399,0.031572312,0.96461898,0.00010751296,0.0032844564,1.453042e-06,1.8837014e-09,1.6832227e-15,-3.2634089e-06,9.9430054e-07
0.51999998,0.00041580267,0.031603597,0.96445072,0.00011193706,0.0034154281,1.5159043e-06,2.0666557e-09,1.9378242e-15,-3.2864662e-06,1.0013257e-06
0.54000002,0.00041705859,0.031628404,0.96428919,0.00011634547,0.0035463944,1.578056e-06,2.2573621e-09,2.2166725e-15,-3.3056467e-06,1.0071697e-06
0.56,0.00041808758,0.031647913,0.96413326,0.00012074012,0.0036773535,1.6395755e-06,2.4557361e-09,2.5207743e-15,-3.3215604e-06,1.0120183e-06
0.57999998,0.00041892813,0.03166309,0.96398187,0.00012512278,0.0038083035,1.700536e-06,2.6617022e-09,2.8511265e-15,-3.3347289e-06,1.0160305e-06
0.60000002,0.0004196123,0.031674724,0.96383417,0.00012949498,0.0039392426,1.7610042e-06,2.8751947e-09,3.2087158e-15,-3.3455965e-06,1.0193415e-06
0.62,0.00042016694,0.031683467,0.96368951,0.00013385808,0.0040701698,1.8210409e-06,3.0961549e-09,3.5945211e-15,-3.3545391e-06,1.0220663e-06
0.63999999,0.00042061435,0.031689838,0.96354735,0.00013821325,0.004201083,1.8807007e-06,3.3245318e-09,4.0095143e-15,-3.3618753e-06,1.0243015e-06
0.66000003,0.00042097308,0.031694271,0.96340722,0.00014256152,0.0043319822,1.9400322e-06,3.5602807e-09,4.4546606e-15,-3.3678725e-06,1.0261288e-06
0.68000001,0.0004212585,0.031697117,0.96326882,0.00014690378,0.0044628656,1.9990787e-06,3.803363e-09,4.9309193e-15,-3.3727558e-06,1.0276166e-06
0.69999999,0.00042148342,0.031698667,0.96313179,0.00015124082,0.0045937332,2.0578782e-06,4.0537453e-09,5.4392458e-15,-3.3767135e-06,1.0288225e-06
0.72000003,0.00042165842,0.031699155,0.96299589,0.00015557329,0.0047245836,2.1164637e-06,4.3113975e-09,5.9805909e-15,-3.3799033e-06,1.0297942e-06
0.74000001,0.00042179224,0.031698775,0.96286088,0.00015990176,0.0048554162,2.1748647e-06,4.5762953e-09,6.5559012e-15,-3.3824565e-06,1.0305722e-06
0.75999999,0.00042189215,0.031697683,0.96272671,0.00016422673,0.0049862312,2.2331064e-06,4.8484163e-09,7.1661215e-15,-3.3844826e-06,1.0311895e-06
