data_generator_INA,data_generator_T
-0.0,0.0
-4.1520534e-09,0.02
-4.6794515e-08,0.039999999
-1.4865766e-07,0.059999999
-3.0739139e-07,0.079999998
-5.106856e-07,0.1
-7.4341494e-07,0.12
-9.9124429e-07,0.14
-1.2421989e-06,0.16
-1.4871156e-06,0.18000001
-1.7195223e-06,0.2
-1.9352594e-06,0.22
-2.1320222e-06,0.23999999
-2.3089153e-06,0.25999999
-2.4660587e-06,0.28
-2.6042662e-06,0.30000001
-2.7247904e-06,0.31999999
-2.8291304e-06,0.34
-2.9188916e-06,0.36000001
-2.9956873e-06,0.38
-3.0610729e-06,0.40000001
-3.1165048e-06,0.41999999
-3.1633181e-06,0.44
-3.2027149e-06,0.46000001
-3.235765e-06,0.47999999
-3.2634089e-06,0.5
-3.2864662e-06,0.51999998
-3.3056467e-06,0.54000002
-3.3215604e-06,0.56
-3.3347289e-06,0.57999998
-3.3455965e-06,0.60000002
-3.3545391e-06,0.62
-3.3618753e-06,0.63999999
-3.3678725e-06,0.66000003
-3.3727558e-06,0.68000001
-3.3767135e-06,0.69999999
-3.3799033e-06,0.72000003
-3.3824565e-06,0.74000001
-3.3844826e-06,0.75999999
-3.3860726e-06,0.77999997
-3.3873023e-06,0.80000001
-3.3882343e-06,0.81999999
-3.3889207e-06,0.83999997
-3.3894046e-06,0.86000001
-3.3897215e-06,0.88
-3.3899007e-06,0.89999998
-3.3899667e-06,0.92000002
-3.3899394e-06,0.94
-3.3898352e-06,0.95999998
-3.3896681e-06,0.98000002
-3.3894491e-06,1.0
-3.3891874e-06,1.02
-3.3888907e-06,1.04
-3.3885653e-06,1.0599999
-3.3882163e-06,1.08
-3.387848e-06,1.1
-3.3874635e-06,1.12
-3.3870663e-06,1.14
-3.3866581e-06,1.16
-3.3862414e-06,1.1799999
-3.3858173e-06,1.2
-3.3853873e-06,1.22
-3.3849526e-06,1.24
-3.384514e-06,1.26
-3.3840722e-06,1.28
-3.3836277e-06,1.3
-3.3831811e-06,1.3200001
-3.3827328e-06,1.34
-3.382283e-06,1.36
-3.3818321e-06,1.38
-3.3813803e-06,1.4
-3.3809276e-06,1.42
-3.3804745e-06,1.4400001
-3.3800209e-06,1.46
-3.3795668e-06,1.48
-3.3791125e-06,1.5
-3.378658e-06,1.52
