_1_task1,pAkt_1_task1
0.0,0.0
150.0,0.000917462597540497
300.0,0.00042768552997140657
450.0,0.0002007710233829143
600.0,9.456041260198475e-05
750.0,4.460561322769877e-05
900.0,2.105649313250172e-05
1050.0,9.943330036423435e-06
1200.0,4.696218463242147e-06
1350.0,2.2181886257469377e-06
1500.0,1.0477691054697797e-06
1650.0,4.949292789214582e-07
1800.0,2.3379307916276382e-07
1950.0,1.1044345160634807e-07
2100.0,5.2178679448045086e-08
2250.0,2.4657700165954773e-08
2400.0,1.1659126881555157e-08
2550.0,5.520554827005069e-09
2700.0,2.622531459867718e-09
2850.0,1.2553548813199756e-09
3000.0,6.114197216258986e-10
3150.0,3.092380427028252e-10
3300.0,1.686077638750506e-10
3450.0,1.0440554532165417e-10
3600.0,7.64192336803351e-11
3750.0,6.565035887863892e-11
3900.0,6.311999559231259e-11
4050.0,6.458109117332669e-11
4200.0,6.802078017437712e-11
4350.0,7.248039301714371e-11
4500.0,7.749822339820787e-11
4650.0,8.284636180665832e-11
4800.0,8.840642219211562e-11
4950.0,9.41109813255485e-11
5100.0,9.991605001662081e-11
5250.0,1.057882585111625e-10
5400.0,1.1169898337159307e-10
5550.0,1.1762179002347522e-10
5700.0,1.2353143881336497e-10
5850.0,1.294036313779876e-10
6000.0,1.3521510137905245e-10
6150.0,1.409438492434115e-10
6300.0,1.4656942479709352e-10
6450.0,1.5207320405625623e-10
6600.0,1.574386298536959e-10
6750.0,1.626514016637052e-10
6900.0,1.676996057444133e-10
7050.0,1.72573782399374e-10
7200.0,1.772669314675531e-10
7350.0,1.8177446003065066e-10
7500.0,1.860940786018277e-10
7650.0,1.9022565437769595e-10
7800.0,1.9417102917362516e-10
7950.0,1.9793381270351133e-10
8100.0,2.0151915961037826e-10
8250.0,2.0493353865543742e-10
8400.0,2.0818450202716482e-10
8550.0,2.1128046088164733e-10
8700.0,2.1423047234693731e-10
8850.0,2.170440420639229e-10
9000.0,2.1973094496034087e-10
9150.0,2.2230106585472442e-10
9300.0,2.247642607140083e-10
9450.0,2.2713023842061104e-10
9600.0,2.2940846244004302e-10
9750.0,2.3160807126095475e-10
9900.0,2.337378160285033e-10
10050.0,2.358060138065541e-10
10200.0,2.3782051466054486e-10
10350.0,2.3978868077418183e-10
10500.0,2.4171737585631335e-10
10650.0,2.436129631947629e-10
10800.0,2.454813108335211e-10
10950.0,2.473278024825594e-10
11100.0,2.4915735294152724e-10
11250.0,2.5097442693984253e-10
11400.0,2.5278306048243486e-10
11550.0,2.545868838674123e-10
11700.0,2.563891457620522e-10
11850.0,2.5819273773978623e-10
12000.0,2.6000021886849507e-10
12150.0,2.61813839971308e-10
12300.0,2.6363556728258104e-10
12450.0,2.654671053036736e-10
12600.0,2.6730991869549506e-10
12750.0,2.6916525309052735e-10
12900.0,2.710341547729853e-10
13050.0,2.7291748918089656e-10
13200.0,2.748159582210563e-10
13350.0,2.767301163989012e-10
13500.0,2.786603858041877e-10
13650.0,2.8060706995889507e-10
13800.0,2.8257036661441306e-10
13950.0,2.8455037949035645e-10
14100.0,2.86547129066861e-10
14250.0,2.885605624445752e-10
14400.0,2.905905623515934e-10
14550.0,2.926369553454649e-10
14700.0,2.9469951926173997e-10
14850.0,2.9677798997497455e-10
15000.0,2.9887206751059e-10
