Time,ADPi,ATPi,Cri,PCri,PCr,ADP,ATP,Cr,Pi,P,IMS,CYT,OxPhos,MiCK,MMCK,ATPase,Pi_diffusion,Cr_diffusion,ADP_diffusion,PCr_diffusion,ATP_diffusion
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9700.0,26000.0,32000.0,0.0,0.0625,0.75,0.0,0.0,3086.5352406777843,33465000.0,36800.0,-284700.0,0.0,0.0,-59364.0
0.01,8540.212810362867,223.46827753291058,39502.70087275575,1.4075587073346894,0.43275112060302473,8969.65936710793,0.033875628215538155,22707.558212925785,44605.10916527127,8630.367956460328,0.0625,0.75,262.75747843459476,2.8296832564916237,-3.3558628385350024,116.87091734360664,-67803.20225909057,-212601.5478851477,-50538.80679341547,-3.4542274501602166,113.7615026971053
0.02,15960.682414193641,247.05602752022682,69002.35462241095,2.1822906805132183,0.35630411683728247,8349.317912260434,0.03721765753870015,20249.265619793823,53643.363556560595,7875.222988663948,0.0625,0.75,273.6753732545681,1.7902566095791153,-2.880075250954082,128.4009185085155,-46988.20915351779,-158764.80994379235,-42957.8775917951,-1.9101898333999312,125.77080197117884
0.03,22261.00551138246,269.87365007239947,91031.8748579289,2.6510506285702897,0.30219191273600327,7822.386252507588,0.04048409863377505,18413.487315709084,59894.50132441388,7352.405155230827,0.0625,0.75,277.4338131393933,1.3899737779948678,-2.521424820152796,139.67014028652392,-32584.514619109454,-118561.10029915434,-36519.89105454139,-0.8899177458888463,137.38779885328503
0.04,27610.532924806485,291.356475583439,107482.88147068645,2.9401635407434057,0.26347359568613976,7374.798969832124,0.04358019615305025,17042.58472355376,64217.281367113435,6990.394779023463,0.0625,0.75,279.3174195675243,1.1979935111349778,-2.2516787292537064,150.35167672802336,-22617.574378343343,-88538.17338091227,-31052.3979037213,-0.20213664183487268,148.32509174709722
0.05,32152.735982185586,311.40264145481694,119767.96344628026,3.1155628346177635,0.23548338666965618,6994.608630927632,0.046483829682955086,16018.841265855854,67205.75151343823,6739.695556308121,0.0625,0.75,280.4368502078454,1.0972581673682824,-2.0487797716440186,160.36921240619503,-15721.184436598109,-66118.04521639085,-26409.10947036246,0.2644080025559745,158.53086610429696
0.06,36009.37748335626,330.0313111584314,128942.04088849624,3.217050236797869,0.21500976659103713,6671.666741255012,0.049192595931230265,15254.346828675136,69271.00413531878,6566.048089579767,0.0625,0.75,281.17041240881474,1.0434332556746375,-1.895494339077028,169.7144559627444,-10949.808880584198,-49375.48546323991,-22465.817939968987,0.5812013969061987,168.0149100037009
0.07,39283.8445985166,347.302575654697,135793.04839312827,3.2702523062377673,0.1998245852890956,6397.3526907625355,0.05171145018179315,14683.440288298612,70697.63826127014,6445.730873197081,0.0625,0.75,281.6823409576458,1.0161905855733377,-1.7786530395976932,178.40450312718636,-7648.802049659047,-36872.514498140255,-19117.03772222325,0.7960260205263658,176.8078395087829
0.08,42063.927113506885,363.2926560718156,140909.18419476668,3.2920350229378434,0.18838102607791218,6164.344303843548,0.05404875183797451,14257.105266495046,71682.44077242071,6362.33878159761,0.0625,0.75,282.0554869006491,1.005005679050901,-1.6884488469347247,186.46819384101207,-5365.468297763204,-27535.67209039614,-16273.184311634002,0.9412097228776437,184.94847623537754
0.09,44424.181252638096,378.0824178134953,144729.78610690098,3.2937150191600235,0.1796023671884329,5966.42181318615,0.056214336426763094,13938.730412476621,72361.66114942441,6304.511076443453,0.0625,0.75,282.336190484718,1.003919506766723,-1.61769855268981,193.93946067233267,-3786.3425330815808,-20563.168194071855,-13858.169057853807,1.0388690342701814,192.47800134595082
