data_set_T,data_set_A,data_set_C,data_set_CER,data_set_N,data_set_NIR,data_set_RIR,data_set_TSEC,data_set_V
0.0,0.46000001,0.1,100.0,0.0099999998,0.0080000004,0.28200001,0.0,-60.0
80.0,0.45998672,0.10780852,99.966087,0.00039916884,0.075844228,0.16064954,0.079999998,-54.554443
160.0,0.45998847,0.15918225,99.968941,0.17885606,0.089810774,0.090763867,0.16,-46.365067
240.0,0.46000716,0.14374213,100.01254,0.0013379239,0.1577394,0.19730376,0.23999999,-61.261208
320.0,0.46001601,0.13187228,100.03239,0.00013751061,0.23584557,0.19343868,0.31999999,-60.519173
400.0,0.46001899,0.12594469,100.03809,0.00019683265,0.29580089,0.17869601,0.40000001,-58.069855
480.0,0.46002015,0.12776776,100.03946,0.00087749126,0.32998073,0.13292623,0.47999999,-48.152771
560.0,0.46004033,0.16367266,100.08662,0.033538975,0.33899829,0.18059474,0.56,-60.170544
640.0,0.46005937,0.14288241,100.13091,0.00030424207,0.41171595,0.21185771,0.63999999,-63.278522
720.0,0.46006727,0.13008754,100.14831,9.5295523e-05,0.47635755,0.20409206,0.72000003,-62.086224
800.0,0.46006882,0.12343816,100.15038,0.00013648241,0.52466524,0.19081952,0.80000001,-60.05006
880.0,0.46006763,0.12184782,100.14584,0.00027052956,0.55704916,0.16791296,0.88,-56.089443
960.0,0.46007037,0.15663494,100.1508,0.41674712,0.55898774,0.036217637,0.95999998,-13.785648
1040.0,0.46009561,0.15273005,100.20991,0.0040199375,0.58336705,0.20626104,1.04,-62.734596
1120.0,0.46010873,0.13603599,100.23967,0.00011173562,0.6295163,0.208083,1.12,-62.698334
1200.0,0.4601132,0.12646706,100.24863,0.00011184123,0.66632712,0.19788808,1.2,-61.156719
1280.0,0.46011314,0.1222015,100.24668,0.0001776399,0.69273543,0.18188398,1.28,-58.590534
1360.0,0.46011207,0.12419109,100.24223,0.00061879877,0.70733029,0.14249325,1.36,-50.626575
1440.0,0.46012849,0.16451159,100.28001,0.054463908,0.69751781,0.16289918,1.4400001,-58.127682
