data_gen_FeLiver,data_gen_time
0.0,0.0
-1.0530759366130153e-29,17.0
-8.187321056475313e-30,34.0
3.4895032570170097e-07,51.0
2.597499678964113e-07,68.0
2.1691623906019808e-07,85.0
1.9333214194479588e-07,102.0
1.7782214140980023e-07,119.0
1.659325341837581e-07,136.0
1.5562510515663154e-07,153.0
1.4649828574664252e-07,170.0
1.3821800016924377e-07,187.0
1.30746013886913e-07,204.0
1.2416244546221304e-07,221.0
1.179180058432515e-07,238.0
1.1193703340790589e-07,255.0
1.0611628651159688e-07,272.0
1.0054499241481116e-07,289.0
9.519892881528016e-08,306.0
9.015685806252607e-08,323.0
8.536680279779733e-08,340.0
8.081911401818497e-08,357.0
7.651490127020688e-08,374.0
7.244487713392664e-08,391.0
6.860018285802549e-08,408.0
6.496886219892789e-08,425.0
6.152742253732254e-08,442.0
5.8272452878703905e-08,459.0
5.51930932067406e-08,476.0
5.227901392841173e-08,493.0
4.9519523758002214e-08,510.0
4.690375753349974e-08,527.0
4.442284974507652e-08,544.0
4.207970164023752e-08,561.0
3.986050839043646e-08,578.0
3.775747488956035e-08,595.0
3.576290512350006e-08,612.0
3.3869202170150266e-08,629.0
3.207812631768588e-08,646.0
3.0382815312287706e-08,663.0
2.8776342170890957e-08,680.0
2.7253951141910412e-08,697.0
2.5811207794986232e-08,714.0
2.444391083751305e-08,731.0
2.3148114235536212e-08,748.0
2.1920396844241154e-08,765.0
2.075756003231645e-08,782.0
1.9656721527794027e-08,799.0
1.861525726140234e-08,816.0
1.7626231646172477e-08,833.0
1.6689320189132138e-08,850.0
1.580205579400569e-08,867.0
1.4962199068252227e-08,884.0
1.4167738323065568e-08,901.0
1.341483890424537e-08,918.0
1.270099374459915e-08,935.0
1.202509969292351e-08,952.0
1.1385367569557737e-08,969.0
1.0780168470664374e-08,986.0
1.0207442737017393e-08,1003.0
9.66368747409866e-09,1020.0
9.148569330286017e-09,1037.0
8.660633659377092e-09,1054.0
8.19855430218482e-09,1071.0
7.76113631254131e-09,1088.0
7.347318683301681e-09,1105.0
6.9561770723479235e-09,1122.0
6.58666808733601e-09,1139.0
6.234340190859902e-09,1156.0
5.900533085556518e-09,1173.0
5.584352761315349e-09,1190.0
5.284991045536819e-09,1207.0
5.001725647834329e-09,1224.0
4.73392020473629e-09,1241.0
4.481024324388168e-09,1258.0
4.242573631254517e-09,1275.0
4.015369651519129e-09,1292.0
3.800112145068921e-09,1309.0
3.596431401654397e-09,1326.0
3.403761069927948e-09,1343.0
3.221567528441449e-09,1360.0
3.049347224116797e-09,1377.0
2.886624010716452e-09,1394.0
2.73294648731398e-09,1411.0
2.5875834853035327e-09,1428.0
2.4501297036791906e-09,1445.0
2.320225174713742e-09,1462.0
2.19743065861557e-09,1479.0
2.0813109903197684e-09,1496.0
1.971432032022184e-09,1513.0
1.8673576257134674e-09,1530.0
1.7686465457131198e-09,1547.0
1.6761916793220699e-09,1564.0
1.5900718324941685e-09,1581.0
1.5091342814840623e-09,1598.0
1.4330756787329907e-09,1615.0
1.361580571326962e-09,1632.0
1.2943177493764854e-09,1649.0
1.2309365943963057e-09,1666.0
1.1710634276851378e-09,1683.0
1.1142978587053996e-09,1700.0
1.0602091334629474e-09,1717.0
1.0083324828868077e-09,1734.0
9.581654712089134e-10,1751.0
9.091643443438364e-10,1768.0
8.670676844775055e-10,1785.0
8.295547378003243e-10,1802.0
7.946048587914253e-10,1819.0
7.619757558143788e-10,1836.0
7.314034835995132e-10,1853.0
7.025997730096343e-10,1870.0
6.752493608057428e-10,1887.0
6.490073194127532e-10,1904.0
6.234963866852125e-10,1921.0
5.983042956730174e-10,1938.0
5.729811043871344e-10,1955.0
5.470365255653167e-10,1972.0
5.199372564378236e-10,1989.0
5.009190653093307e-10,2006.0
4.834875052665106e-10,2023.0
4.66974678181491e-10,2040.0
4.512403443878953e-10,2057.0
4.361353933419245e-10,2074.0
4.2150078617531837e-10,2091.0
