data_gen_FeOutside,data_gen_time
0.0,0.0
-5.594090195798807e-32,17.0
-1.4010755909122798e-31,34.0
2.0863600874235383e-08,51.0
3.7681618893558644e-08,68.0
5.1418765634678154e-08,85.0
6.337469998411654e-08,102.0
7.42035149956158e-08,119.0
8.423124919968439e-08,136.0
9.363471074184895e-08,153.0
1.0248502112835219e-07,170.0
1.1083598452081787e-07,187.0
1.1871852657022189e-07,204.0
1.2615001332944422e-07,221.0
1.3318329606088735e-07,238.0
1.3984508948805117e-07,255.0
1.461612752727058e-07,272.0
1.5214656737168985e-07,289.0
1.578182028915525e-07,306.0
1.6318378767727617e-07,323.0
1.682669319397083e-07,340.0
1.7308604000630053e-07,357.0
1.776437414779989e-07,374.0
1.8195791051110692e-07,391.0
1.8604579272643172e-07,408.0
1.8991918245484075e-07,425.0
1.9358125747066187e-07,442.0
1.9705019457907185e-07,459.0
2.0033860688663055e-07,476.0
2.0345047367724152e-07,493.0
2.0639566159027725e-07,510.0
2.0918686748973433e-07,527.0
2.1183301779891004e-07,544.0
2.143332688807494e-07,561.0
2.1670064832598393e-07,578.0
2.1894319379063227e-07,595.0
2.21068860653597e-07,612.0
2.2308552201666466e-07,629.0
2.2499295339114097e-07,646.0
2.267983988576685e-07,663.0
2.2850916204974514e-07,680.0
2.301306703471868e-07,697.0
2.3166807645540522e-07,714.0
2.3312534867458128e-07,731.0
2.345054991063916e-07,748.0
2.358133652542945e-07,765.0
2.3705249061310963e-07,782.0
2.3822609281478134e-07,799.0
2.393371071211095e-07,816.0
2.403916039113239e-07,833.0
2.4139062015391895e-07,850.0
2.423367059016631e-07,867.0
2.432321516459769e-07,884.0
2.4407898831693287e-07,901.0
2.4488159219377e-07,918.0
2.456426828418782e-07,935.0
2.4636322615412076e-07,952.0
2.4704508915174167e-07,969.0
2.476899649465215e-07,986.0
2.483000939461549e-07,1003.0
2.4887949933206696e-07,1020.0
2.494283583204098e-07,1037.0
2.499482380531622e-07,1054.0
2.504405705531079e-07,1071.0
2.5090664939743123e-07,1088.0
2.513476263913133e-07,1105.0
2.517645082415277e-07,1122.0
2.521584163852581e-07,1139.0
2.52533935527297e-07,1156.0
2.5288974590761514e-07,1173.0
2.532267940784939e-07,1190.0
2.535459304950264e-07,1207.0
2.538479089189221e-07,1224.0
2.541333858223118e-07,1241.0
2.54402919791552e-07,1258.0
2.546569709310295e-07,1275.0
2.548992318638573e-07,1292.0
2.551287920791013e-07,1309.0
2.553460059883185e-07,1326.0
2.5555146126506026e-07,1343.0
2.557457073339194e-07,1360.0
2.5592925797134276e-07,1377.0
2.561025939064445e-07,1394.0
2.5626616542181845e-07,1411.0
2.5642098274621287e-07,1428.0
2.5656743412599767e-07,1445.0
2.5670582952445314e-07,1462.0
2.568366406823619e-07,1479.0
2.569603362358129e-07,1496.0
2.570773850685443e-07,1513.0
2.5718825966428556e-07,1530.0
2.572934394591002e-07,1547.0
