data_gen_FeDuo,data_gen_time
0.0,0.0
-3.251558380105919e-30,17.0
-2.227856986195861e-30,34.0
3.136498220295346e-08,51.0
2.6676287557157718e-08,68.0
2.446178429249792e-08,85.0
2.2895078227945496e-08,102.0
2.1546761136533616e-08,119.0
2.0336977903090353e-08,136.0
1.9220421487250463e-08,153.0
1.8179693727158028e-08,170.0
1.7203070160025816e-08,187.0
1.6286766097261644e-08,204.0
1.5431121246034163e-08,221.0
1.4620266703661226e-08,238.0
1.3851160376580882e-08,255.0
1.3119553411575363e-08,272.0
1.2425491909944738e-08,289.0
1.1766913635312027e-08,306.0
1.1143798755820107e-08,323.0
1.055344267836589e-08,340.0
9.9940158880938e-09,357.0
9.464633341617979e-09,374.0
8.963497266726587e-09,391.0
8.488847523165703e-09,408.0
8.03929811415503e-09,425.0
7.614100966124177e-09,442.0
7.2113975584395155e-09,459.0
6.829741276600033e-09,476.0
6.4685794894025796e-09,493.0
6.12674996342407e-09,510.0
5.802797411556643e-09,527.0
5.495678937533053e-09,544.0
5.205502121718957e-09,561.0
4.930741133542659e-09,578.0
4.670457733816759e-09,595.0
4.4237233719223905e-09,612.0
4.189619185809231e-09,629.0
3.968197372143759e-09,646.0
3.758614154954326e-09,663.0
3.5600184355128255e-09,680.0
3.37178397622236e-09,697.0
3.1933173045084795e-09,714.0
3.0241536930659162e-09,731.0
2.8639330831347094e-09,748.0
2.7121066145265143e-09,765.0
2.5682657359207984e-09,782.0
2.43204006160824e-09,799.0
2.3030919681615796e-09,816.0
2.180692022099886e-09,833.0
2.0647337988182796e-09,850.0
1.9549205773113245e-09,867.0
1.8509855651996845e-09,884.0
1.7526918987301246e-09,901.0
1.6595333428616309e-09,918.0
1.5711941216931055e-09,935.0
1.4875600588551467e-09,952.0
1.4084135452725189e-09,969.0
1.3335570592360743e-09,986.0
1.2627313800368317e-09,1003.0
1.1954754819102855e-09,1020.0
1.1317648461208767e-09,1037.0
1.0714176987428074e-09,1054.0
1.0142679543098031e-09,1071.0
9.601655930370656e-10,1088.0
9.089770380432263e-10,1105.0
8.605855325723005e-10,1122.0
8.148609878392556e-10,1139.0
7.712715011406894e-10,1156.0
7.299701241225787e-10,1173.0
6.9084693929165e-10,1190.0
6.538031210932977e-10,1207.0
6.187509963943564e-10,1224.0
5.856141049658717e-10,1241.0
5.543272599658733e-10,1258.0
5.248366084221461e-10,1275.0
4.967172087534937e-10,1292.0
4.700725925251635e-10,1309.0
4.4486107605050447e-10,1326.0
4.210141918953582e-10,1343.0
3.9846785164665434e-10,1360.0
3.771620393636326e-10,1377.0
3.57040505029066e-10,1394.0
3.3805045800048285e-10,1411.0
3.200784166693033e-10,1428.0
3.0307856113687233e-10,1445.0
2.8701365453755917e-10,1462.0
2.7182894448136126e-10,1479.0
2.574700478940869e-10,1496.0
2.438825628401861e-10,1513.0
2.3101168034558176e-10,1530.0
2.188017962205005e-10,1547.0
2.073711531160466e-10,1564.0
1.9673171930346025e-10,1581.0
1.8673476148303637e-10,1598.0
1.7734220984862207e-10,1615.0
1.6851432774884433e-10,1632.0
1.6020924472655876e-10,1649.0
1.5238248955829873e-10,1666.0
1.449865232937242e-10,1683.0
1.379702722950706e-10,1700.0
1.3127866127659773e-10,1717.0
1.248521463440388e-10,1734.0
1.1862624803404922e-10,1751.0
1.1253108435365565e-10,1768.0
1.0731849574704846e-10,1785.0
1.026862097319054e-10,1802.0
9.837124081197438e-11,1819.0
9.434325105269455e-11,1836.0
9.056912536923683e-11,1853.0
8.701263292818023e-11,1870.0
8.363408854918808e-11,1887.0
8.039001410668439e-11,1904.0
7.723279993153007e-11,1921.0
7.411036621269937e-11,1938.0
7.096582439895602e-11,1955.0
6.773713860052968e-11,1972.0
6.435678699079216e-11,1989.0
6.200199204702292e-11,2006.0
5.984567450658618e-11,2023.0
5.78031575278968e-11,2040.0
5.585699855396868e-11,2057.0
5.3988627881409114e-11,2074.0
5.2178215558930785e-11,2091.0
5.0404538285863627e-11,2108.0
4.864484631066673e-11,2125.0
4.6874730329440246e-11,2142.0
4.506798838443729e-11,2159.0
4.319649276257586e-11,2176.0
4.1230056893950705e-11,2193.0
3.921691567515292e-11,2210.0
3.769573224625988e-11,2227.0
3.620996569366067e-11,2244.0
3.475685935315876e-11,2261.0
3.333403976271006e-11,2278.0
3.1939495550122006e-11,2295.0
3.0571556320752586e-11,2312.0
2.922887154520941e-11,2329.0
2.7910389447048724e-11,2346.0
2.6615335890474472e-11,2363.0
2.5343193268037342e-11,2380.0
2.4093679388333802e-11,2397.0
2.2866726363705164e-11,2414.0
2.167089787021712e-11,2431.0
2.0521671429444417e-11,2448.0
1.9405841693434807e-11,2465.0
1.832553797925215e-11,2482.0
1.7283127489196514e-11,2499.0
1.628119882068206e-11,2516.0
1.5322545476114922e-11,2533.0
1.4410149372771117e-11,2550.0
1.3547164352674385e-11,2567.0
1.2736899692474113e-11,2584.0
1.1982803613323196e-11,2601.0
1.1288446790755928e-11,2618.0
1.0657505864565893e-11,2635.0
1.0022624613701303e-11,2652.0
9.36258438265655e-12,2669.0
8.736180063915064e-12,2686.0
8.143207828306171e-12,2703.0
7.583399075414238e-12,2720.0
7.056412783303819e-12,2737.0
6.561827858244811e-12,2754.0
6.099135484437618e-12,2771.0
5.667731473738307e-12,2788.0
5.2669086153837635e-12,2805.0
4.89584902571685e-12,2822.0
4.5536164979115646e-12,2839.0
4.239148851698201e-12,2856.0
3.951250283088502e-12,2873.0
3.68858371410082e-12,2890.0
3.4496631424852736e-12,2907.0
3.2328459914489073e-12,2924.0
3.036325459380845e-12,2941.0
2.8581228695774546e-12,2958.0
2.6960800199674994e-12,2975.0
2.5478515328372984e-12,2992.0
2.4108972045558864e-12,3009.0
2.282474355300167e-12,3026.0
2.255108146739205e-12,3043.0
2.256397620490427e-12,3060.0
2.2783917294035765e-12,3077.0
2.319400102434126e-12,3094.0
2.3775753673194174e-12,3111.0
2.4509065462216007e-12,3128.0
2.5372124513705895e-12,3145.0
2.6341350807069863e-12,3162.0
2.739133013525044e-12,3179.0
2.8494748061155873e-12,3196.0
2.9622323874089683e-12,3213.0
3.0742744546180077e-12,3230.0
3.1822598688809303e-12,3247.0
3.282631050904313e-12,3264.0
3.3716073766060254e-12,3281.0
3.445178572758171e-12,3298.0
3.49909811263003e-12,3315.0
3.528876611631002e-12,3332.0
3.5297752229535447e-12,3349.0
3.4967990332161238e-12,3366.0
3.4246904581061445e-12,3383.0
3.307922638022904e-12,3400.0
3.2472873354122216e-12,3417.0
3.3675162582129956e-12,3434.0
3.48675551821804e-12,3451.0
3.6039294964854595e-12,3468.0
3.717929328119594e-12,3485.0
3.8276117228671785e-12,3502.0
3.93179778571349e-12,3519.0
4.02927183747851e-12,3536.0
4.118780235413073e-12,3553.0
4.199030193795022e-12,3570.0
4.268688604525368e-12,3587.0
4.326380857724439e-12,3604.0
4.370689662328037e-12,3621.0
4.400153866683595e-12,3638.0
