Time,R1,P1,P1_prime,R2,P2,P2_prime,P3_prime,i1,d_R1,sP1R1,d_P1,sP1_prime_P1,s1,n,s3,d_P1_prime,i2,d_R2,sP2R2,d_P2,sP2_prime_P2,s2,d_P2_prime,sP3_prime_P2_prime,d_P3_prime,compartment,React1,React2,React3,React4,React5,React6,React7,React8,React9,React10,React11,React12,React13,React14,React15,React16,React17
0.0,0.01,0.1,0.1,0.1,1.0,1.0,0.1,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0023521,0.0047305,0.022367,0.028687000000000004,0.2,0.1999999998,0.037048,0.0,0.023521,0.04730500000000001,0.22367,0.28687,0.29999999969999996,0.37048,0.25,0.037048
0.01,0.009976506640197308,0.09982377654280414,0.10389919287573364,0.09976506640197305,0.9982377654280414,1.002157371315458,0.10213770368150975,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.002346574126840809,0.004719386466145337,0.022327584099329,0.028636446776834225,0.1980605180211856,0.19999999975806163,0.038492572976601795,0.0,0.023465741268408082,0.04719386466145335,0.22327584099329004,0.28636446776834223,0.29999999957671697,0.37127926292495084,0.252424352473518,0.03783997645992573
0.02,0.009953068474189601,0.0996478359234934,0.10776418432778213,0.099530684741896,0.9964783592349341,1.0043017228712525,0.1042916000365667,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.002341061235814136,0.0047082990417153915,0.02228823146100777,0.028585974691372553,0.1961372331900624,0.19999999970807322,0.039924475009756724,0.0,0.023410612358141358,0.04708299041715391,0.2228823146100777,0.28585974691372557,0.2999999994119811,0.3720737022893416,0.25482845851242203,0.03863795198154723
0.03,0.009929685372308466,0.09947217777064739,0.11159526432516254,0.09929685372308462,0.994721777706474,1.0064331109064646,0.10646142582917417,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0023355612964206744,0.00469723766537052,0.022248942001960703,0.02853558363706562,0.1942303452555574,0.19999999964863338,0.04134381352718621,0.0,0.023355612964206733,0.04697237665370518,0.22248942001960703,0.2853558363706562,0.2999999991947455,0.372863338928627,0.2572120684305532,0.03944182904119244
0.04,0.009906357205190192,0.09929680171306358,0.11539272367954852,0.09906357205190189,0.992968017130636,1.0085515914413963,0.10864691640164344,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.002330074278232785,0.004686202275915221,0.022209715639160934,0.02848527350742655,0.19234003836024885,0.19999999957812223,0.042750696268799133,0.0,0.023300742782327844,0.04686202275915219,0.22209715639160935,0.28485273507426556,0.29999999891175405,0.37364819359720847,0.25957495204968895,0.04025150958848086
0.05,0.009883083843774282,0.09912170737975776,0.11915685388401669,0.0988308384377428,0.9912170737975775,1.0106572202789328,0.11084780587847799,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0023246001508941488,0.0046751928122974245,0.022170552289630416,0.028435044196031108,0.190466481404487,0.1999999994946714,0.0441452312269505,0.0,0.023246001508941485,0.04675192812297423,0.22170552289630416,0.28435044196031106,0.2999999985472446,0.374428286968939,0.26191689824439124,0.04106689512185852
0.06,0.009859865159303288,0.09894689439996618,0.12288794688207064,0.09859865159303285,0.9894689439996617,1.0127500530050824,0.11306382745607202,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0023191388841197263,0.004664209213608421,0.022131451870440435,0.0283848955965183,0.1886098284201625,0.19999999939613045,0.04552752656086952,0.0,0.023191388841197258,0.046642092136084196,0.22131451870440433,0.28384895596518295,0.2999999980826347,0.3752036396373229,0.2642377144747969,0.04188788679592556
0.07,0.009836701023320333,0.0987723624031483,0.12658629465022303,0.09836701023320331,0.9877236240314828,1.0148301449915273,0.11529471392893845,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.002313690447695176,0.004653251419081684,0.02209241429871218,0.028334827602591154,0.1867702189502834,0.19999999928002976,0.046897690442014625,0.0,0.02313690447695175,0.046532514190816825,0.22092414298712176,0.2833482760259115,0.2999999974961896,0.375974272116461,0.26653722631214577,0.04271438561639311
0.08,0.00981359130767233,0.09859811101898253,0.13025218979740838,0.09813591307672329,0.9859811101898251,1.0168975513921952,0.11754019693441563,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0023082548114776087,0.004642319368094396,0.022053439491615822,0.02828484010801552,0.18494777844016844,0.19999999914353875,0.04825583127614386,0.0,0.023082548114776086,0.046423193680943955,0.2205343949161582,0.28284840108015513,0.29999999676267314,0.37674020483978043,0.2688152769497895,0.0435462921602623
0.09,0.009790535884508206,0.09842413987736859,0.1338859252131401,0.09790535884508204,0.9842413987736859,1.018952327145172,0.119800007395806,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0023028319453951753,0.004631413000166607,0.022014527366371033,0.02823493300662073,0.18314261862899325,0.1999999989834199,0.049602057572964146,0.0,0.023028319453951746,0.046314130001666065,0.22014527366371034,0.28234933006620727,0.29999999585298537,0.37750145816074326,0.2710717267137584,0.044383506739998205
0.1,0.00976753462627789,0.09825044860842888,0.13748779385765109,0.09767534626277888,0.9825044860842889,1.0209945269738117,0.12207387578662122,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0022974218194468225,0.004620532254960757,0.021975677840247287,0.028185106192299993,0.18135483794601923,0.19999999879597755,0.05093647786838257,0.0,0.02297421819446822,0.046205322549607554,0.2197567784024729,0.28185106192299997,0.29999999473378564,0.3782580523532577,0.273306452567476,0.045225929501427425
0.11,0.009744587405731569,0.09807703684250937,0.14105808860298577,0.09744587405731568,0.9807703684250939,1.023024205387557,0.12436153233063206,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0022920244037021222,0.0046096770722813185,0.021936890830564073,0.028135359559010666,0.17958452190994603,0.19999999857700107,0.052259200665634165,0.0,0.022920244037021222,0.046096770722813186,0.21936890830564076,0.2813535955901067,0.2999999933671038,0.37901000761198206,0.27551934761256747,0.04607346049785256
0.12,0.009721694095918939,0.09790390421018072,0.14459710207409254,0.09721694095918938,0.9790390421018074,1.0250414166827593,0.1266627072019183,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,1.0,0.0,0.0022866396683010938,0.004598847392074454,0.021898166254691123,0.028085693000774545,0.17783174353009862,0.19999999832170276,0.0535703343764098,0.0,0.022866396683010933,0.04598847392074454,0.21898166254691126,0.2808569300077455,0.29999999170994246,0.3797573440526286,0.2777103205873767,0.04692599976416669
