Time,a_p,l,mu_c,Pancreatic_cancer_cells__C,helper_T_cells__H,NK_cells__N,Pancreatic_stellate_cells__P,CD8__T_cells__T,a_c,b_c,c_c,d_c,s,b_p,f_p,mu_p,lambda_p,a_t,b_t,c_t,d_t,e_t,p_t,g_t,f_t,h_t,a_n,b_n,c_n,p_n,g_n,f_n,h_n,a_h,b_h,c_h,p_h,g_h,f_h,h_h,tau1_alpha1,alpha2_tau2,beta2_tau2,gamma2_tau2,Pancreas,Logistic_growth_of_cancer_cells,Interaction_between_cancer_cells_and_NK_cells,Lysis_of_cancer_cells_by_CD8__T_cells,Basal_growth_of_stellate_cells,Death_of_stellate_cells,Production_of_CD8__T_cells,Death_of_CD8__T_cells,Inactivation_of_CD8__T_cells_by_cancer_cells,Self__regulation_of_CD8__T_cells,Recruitment_of_CD8__cells_by_debris_from_cancer_cells_lysed,Proliferation_of_CD8__T_cells_by_IL_2,Proliferation_of_CD8__T_cells_by_IFN_gamma,Production_of_NK_cells,Death_of_NK_cells,Inactivation_of_NK_cells_after_interaction_with_cancer_cells,Proliferation_of_NK_cells_by_IL_2,Proliferation_of_NK_cells_by_IFN_gamma,Production_of_helper_T_cells,Death_of_helper_T_cells,Inactivation_of_helper_T_cells,Proliferation_of_helper_T_cells_by_IL_2,Proliferation_of_helper_T_cells_by_IFN_gamma,Stellate_cells_promotes_cancer_growth_through_cytokines,TGF_beta__induced_growth_of_stellate_cells
0.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1000000000.0,1881600000.0,352800000.0,5600000.0,700000000.0,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,19301100.0,5292000.0,3621796.6741005904,10810.8008736,84000.0,3500.0,14000000.0,2394000.0,147000000.0,1764000.0,2374709.0029510777,380830.6182969773,130000.0,5292000.0,35280.0,1196853.3374873432,191938.63162167656,9600.0,2257920.0,177020928.0,6383217.799932498,1023672.7019822749,19300.9455912,656250.0530303031
1.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1010566620.5745343,1724034531.9380598,348952993.79786265,6214297.489319713,569673448.8388532,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,19502923.491663612,5289603.7152250875,3509830.3679626235,11983.409551540677,93214.46233979569,3500.0,11393468.976777066,1968869.9643224897,97358351.49358606,1763201.2384083623,1774782.4429925936,279235.02948875475,130000.0,5234294.90696794,35264.02476816725,1087141.4984926556,171045.18336240522,9600.0,2068841.4383256715,148614753.36574426,5371123.096281361,845064.5441640286,21642.14266301638,727834.7138795067
2.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1021447928.947347,1590673485.72872,345044448.26314306,6895468.353774936,479089518.13881725,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,19710711.131621808,5286674.056097513,3411742.1187577546,13280.597483246518,103432.02530662404,3500.0,9581790.362776345,1673628.2866048084,68858029.91714522,1762224.6853658375,1379777.2992645577,214658.70567543234,130000.0,5175666.723947146,35244.49370731675,993727.6415486143,154599.0714895978,9600.0,1908808.1828744637,126512106.91001782,4581137.935717834,712710.0440962242,24270.267414610502,807073.2575911309
3.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1032638327.7960116,1476339672.47472,341093337.10242856,7650626.624684624,412525022.9398492,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,19924351.984923195,5283390.798717196,3324489.1330561307,14714.906457398267,114759.39937026936,3500.0,8250500.4587969845,1456882.8925301507,51053068.36545693,1761130.2662390652,1104504.9979961468,170732.22341595398,130000.0,5116400.056536428,35222.60532478131,913251.9839111667,141168.70637531375,9600.0,1771607.6069696639,108978941.42613818,3952789.4220033432,611014.4616258666,27220.099697360558,894741.3885973189
4.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1044134520.5904621,1377233305.9969232,337114379.90995294,8487593.859988421,361589025.0375432,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,20143779.010683075,5279891.421771443,3245993.934355734,16299.959075592908,127313.90789982631,3500.0,7231780.500750864,1291212.7349145494,39223986.908280306,1759963.807257148,904437.9309387347,139346.8600083506,130000.0,5056715.698649294,35199.27614514296,843219.8190301689,129914.97819724125,9600.0,1652679.9671963076,94838578.95736073,3444855.7767106993,530749.3408287631,30530.50844112802,991682.336166732
5.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1055934846.3071468,1290502920.0379746,333119250.4488143,9414961.754150731,321392245.18654644,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,20368956.321299836,5276283.36786931,3174763.1987826163,18050.515506995427,141224.42631226097,3500.0,6427844.903730929,1160642.9069067473,30987892.579814754,1758761.122623103,754219.9413583018,116067.46662309897,130000.0,4996788.756732214,35175.22245246207,781740.0242280124,120302.55260371167,9600.0,1548603.5040455693,83269889.33132695,3028458.3752442757,466051.7073508699,34244.89474168693,1098810.4792696987
6.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1068038850.6741692,1213967592.2019808,329117357.91460365,10442152.879072743,288896136.5409336,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,20599870.968521625,5272651.870260486,3109693.467595294,19982.513320154576,156632.29318609112,3500.0,5777922.730818672,1055248.8579130222,25038293.31248333,1757550.6234201621,638463.7883625384,98285.1558834353,130000.0,4936760.368719054,35151.01246840325,727353.150741267,111968.78993914099,9600.0,1456761.1106423768,73685865.74583374,2682882.3574689995,413003.0794652202,38411.65733686778,1217113.9533235347
7.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1080447024.676071,1145929281.6516716,325116386.2910223,11579484.67091326,262106156.3366156,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,20836527.928907555,5269065.483623568,3049924.976434152,22113.097580588044,173692.2700636989,3500.0,5242123.126732312,968516.0133300667,20609891.156866312,1756355.161207856,547334.7713029133,84372.86793864875,130000.0,4876745.794365334,35127.10322415712,678913.8623241391,104656.07641048412,9600.0,1375115.137982006,65657695.92733581,2392950.0553074577,368878.55401479715,43084.70098889197,1347656.6725934818
8.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1093160631.3605053,1085047012.0400383,321122670.90456074,12838232.845521204,239661776.66413775,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,21078946.778521106,5265579.925053021,2994781.5513902064,24460.63107936211,192573.49268281806,3500.0,4793235.533282755,896001.7612917305,17231330.15814331,1755193.3083510068,474297.6411124991,73270.552586938,130000.0,4816840.063568411,35103.86616702014,635511.125043618,98175.16949456625,9600.0,1302056.414448046,58866350.91685075,2147339.661209163,331725.7981709522,48323.97534814072,1491579.145842924
9.0,0.0019500000000000001,0.6666666666666666,3.482115e-12,1106181564.0621789,1030248817.8323176,317141473.8263829,14230693.234400874,220606450.93000177,0.0195,1.02e-11,1.5e-11,0.005,0.3,1.7857e-09,0.125,56000000.0,0.015,3500.0,0.02,3.42e-12,3e-10,5e-12,0.125,0.3,0.125,0.3,130000.0,0.015,1e-13,0.125,0.3,0.125,0.3,9600.0,0.0012,5e-11,0.125,0.3,0.125,0.3,224830000000.0,4.4691e-13,4.4691e-13,4.4691e-13,1.0,21327158.970096216,5262240.7731937915,2943735.005315761,27044.67954070735,213460.3985160131,3500.0,4412129.018600035,834585.2981472884,14600161.857579384,1754080.2577312638,414869.3567766489,64262.6947788183,130000.0,4757122.107395743,35081.60515462528,596411.7490621235,92383.36253673791,9600.0,1236298.581398781,53070631.332244396,1937471.2868646623,300111.64699623355,54196.04086833664,1650097.7634733652
