CD8__T_cells__T_8_task1,NK_cells__N_6_task1,Pancreatic_cancer_cells__C_4_task1,Pancreatic_stellate_cells__P_7_task1,_1_task1,helper_T_cells__H_5_task1
700000000.0,352800000.0,1000000000.0,5600000.0,0.0,1881600000.0
569673448.8388532,348952993.79786265,1010566620.5745343,6214297.489319713,1.0,1724034531.9380598
479089518.13881725,345044448.26314306,1021447928.947347,6895468.353774936,2.0,1590673485.72872
412525022.9398492,341093337.10242856,1032638327.7960116,7650626.624684624,3.0,1476339672.47472
361589025.0375432,337114379.90995294,1044134520.5904621,8487593.859988421,4.0,1377233305.9969232
321392245.18654644,333119250.4488143,1055934846.3071468,9414961.754150731,5.0,1290502920.0379746
288896136.5409336,329117357.91460365,1068038850.6741692,10442152.879072743,6.0,1213967592.2019808
262106156.3366156,325116386.2910223,1080447024.676071,11579484.67091326,7.0,1145929281.6516716
239661776.66413775,321122670.90456074,1093160631.3605053,12838232.845521204,8.0,1085047012.0400383
220606450.93000177,317141473.8263829,1106181564.0621789,14230693.234400874,9.0,1030248817.8323176
204242928.89109382,313177198.1438187,1119512277.2254207,15770243.003558619,10.0,980666213.4262662
190052896.32032245,309233546.15488243,1133155710.335094,17471396.475166205,11.0,935588275.7252271
177642905.85000736,305313643.0133746,1147115246.8553572,19349853.9748663,12.0,894427474.4446675
166710763.48141795,301420128.5718649,1161394679.5318487,21422537.54132326,13.0,856695534.8323624
157016945.05159926,297555247.89034617,1175998184.8880823,23707620.405501187,14.0,821980490.3985149
148371220.23757762,293720903.69528663,1190930324.8174777,26224528.28516814,15.0,789934187.5419612
140620810.0935632,289918708.4559084,1206196031.9036589,28993920.503367003,16.0,760260412.0216928
133641385.69170429,286150027.6036626,1221800600.8682852,32037645.74274176,17.0,732705340.6687601
127330486.85259579,282416015.0077767,1237749688.1982355,35378658.81044692,18.0,707050037.4128293
121602545.6553717,278717642.4040215,1254049328.4947495,39040890.26032761,19.0,683104472.4709151
116385785.17572875,275055722.6787526,1270705932.3053906,43049064.56266568,20.0,660703072.4166665
111619852.00097866,271430929.5623718,1287726289.2851732,47428461.30735376,21.0,639701095.6122305
107253633.5616578,267843815.2488726,1305117579.6389961,52204610.081099,22.0,619971452.8438752
103243368.29574408,264294825.8797166,1322887387.8346179,57402910.3363917,23.0,601401983.7903193
99551283.60523841,260784314.52306077,1341043710.3850894,63048170.71962975,24.0,583893274.9461731
96144674.3750752,257312551.97371364,1359594958.8184464,69164065.54134841,25.0,567356935.5367812
92995157.0990487,253879736.10195065,1378549963.6655583,75772508.9828435,26.0,551714155.2141893
90077968.72627541,250486000.20159188,1397917980.0855148,82892951.33704542,27.0,536894438.6507379
87371357.79281592,247131420.3772507,1417708690.0678325,90541606.85880284,28.0,522834511.4684404
84856126.24602824,243816021.93747807,1437932197.5499082,98730629.46779627,29.0,509477408.69464815
82515289.57340877,240539784.92537132,1458599017.5681756,107467259.93815246,30.0,496771717.7648973
80333784.91647218,237302649.00431418,1479720061.7511175,116752975.71743895,31.0,484670928.28513813
78298199.87640977,234104517.83613905,1501306619.70149,126582681.6450941,32.0,473132859.80497813
76396539.10074554,230945262.98498303,1523370333.9153137,136943985.95170957,33.0,462119162.9259617
74618041.2267371,227824727.3660042,1545923167.2330492,147816610.128091,34.0,451594892.1977208
72953032.40823823,224742728.29969764,1568977364.0757904,159171982.54162827,35.0,441528139.62045217
71392796.35849752,221699060.24765235,1592545407.1586425,170973063.13606307,36.0,431889713.92527014
69929455.7393439,218693497.27684358,1616639970.3777485,183174441.54521403,37.0,422652856.90162396
68555869.92552102,215725795.282058,1641273868.3918643,195722727.42499274,38.0,413792992.7487682
67265551.79509325,212795693.9673719,1666460003.9040587,208557265.50069088,39.0,405287510.4595861
66052597.43233297,209902918.63419497,1692211315.1554496,221611150.18231007,40.0,397115572.0443623
64911622.4637231,207047181.7969473,1718540725.8323781,234812521.39472267,41.0,389257942.5470881
63837704.546018496,204228184.64840248,1745461099.1335518,248086092.18645322,42.0,381696838.3949676
62826333.989658184,201445618.38630337,1772985197.4507253,261354842.1276781,43.0,374415792.63639694
61873371.89971046,198699165.41385946,1801125649.2485554,274541797.0133622,44.0,367399535.39425695
