Tnew_2_task1,Ttum_1_task1,_1_task1
0.0,1000000.0,0.0
727.9964090440085,999468.6207811736,0.3
1322.9408724749612,998805.6933504066,0.6
1809.3039657219542,998036.0153543366,0.8999999999999999
2207.0555730166698,997179.8208776425,1.2
2532.492815390465,996253.6200140334,1.5
2798.915423054582,995270.8837243514,1.7999999999999998
3017.1769367553666,994242.6027698138,2.1
3196.134735372148,993177.7440442826,2.4
3343.017087730032,992083.6227616031,2.6999999999999997
3463.7227755349536,990966.2062652519,3.0
3563.0656364933498,989830.3619840719,3.3
3644.9741329216067,988680.0597821921,3.5999999999999996
3712.6541740147654,987518.5370475095,3.9
3768.722028810741,986348.4334521105,4.2
3815.3127400283756,985171.9008710166,4.5
3854.1686597734238,983990.6931452111,4.8
3886.7116773901585,982806.2393093768,5.1
3914.102155204325,981619.7033423901,5.3999999999999995
3937.287036397081,980432.0329393295,5.7
3957.0391009378654,979243.9993085673,6.0
3973.988985850026,978056.2296328114,6.3
3988.6513363604554,976869.2335797012,6.6
4001.44614956144,975683.4249383954,6.8999999999999995
4012.7161650807884,974499.1392485324,7.199999999999999
4022.7410994547886,973316.6482293338,7.5
4031.749206287041,972136.1714976288,7.8
4039.9267711184284,970957.8861921601,8.1
4047.4258115397074,969781.9347784595,8.4
4054.3703883068883,968608.4314456524,8.7
4060.8617480277694,967437.4673188127,9.0
4066.982516125962,966269.1147085826,9.299999999999999
4072.8001194523335,965103.4305799421,9.6
4078.36958614592,963940.4593896489,9.9
4083.7358299996617,962780.2354012226,10.2
4088.935502074145,961622.7845612514,10.5
4093.998513659147,960468.1260425787,10.799999999999999
4098.949279229008,959316.2735036832,11.1
4103.80772106453,958167.2361064921,11.4
4108.590102069336,957021.0193600613,11.7
4113.30969394694,955877.6257974125,12.0
4117.977330756574,954737.0555361311,12.299999999999999
4122.601857208161,953599.3067323104,12.6
4127.190488997433,952464.375945521,12.9
4131.749120919908,951332.2584505316,13.2
4136.2825623805975,950202.9484757642,13.5
4140.794742943451,949076.4394111509,13.799999999999999
