data_generator_IK1,data_generator_T
0.0,0.0
3.4980381,0.5
11.928844,1.0
15.753652,1.5
16.924946,2.0
17.25284,2.5
17.343018,3.0
17.367832,3.5
17.374699,4.0
17.376612,4.5
17.37715,5.0
17.3773,5.5
17.377344,6.0
17.377357,6.5
17.377361,7.0
17.377361,7.5
17.377361,8.0
17.377361,8.5
17.377361,9.0
17.377361,9.5
17.377361,10.0
17.377361,10.5
17.377361,11.0
17.377361,11.5
17.377361,12.0
17.377361,12.5
17.377361,13.0
17.377361,13.5
17.377361,14.0
17.377361,14.5
17.377361,15.0
17.377361,15.5
17.377361,16.0
17.377361,16.5
17.377361,17.0
17.377361,17.5
17.377361,18.0
17.377361,18.5
17.377361,19.0
17.377361,19.5
17.377361,20.0
17.377361,20.5
17.377361,21.0
17.377361,21.5
17.377361,22.0
17.377361,22.5
17.377361,23.0
17.377361,23.5
17.377361,24.0
17.377361,24.5
17.377361,25.0
17.377361,25.5
17.377361,26.0
17.377361,26.5
17.377361,27.0
17.377361,27.5
17.377361,28.0
17.377361,28.5
17.377361,29.0
17.377361,29.5
-23.169815,30.0
-900.71832,30.5
-1440.5267,31.0
-1922.2163,31.5
-2352.0444,32.0
-2735.5947,32.5
-3077.8499,33.0
-3383.2559,33.5
-3655.78,34.0
-3898.9629,34.5
-4115.9629,35.0
-4309.6001,35.5
-4482.3887,36.0
-4636.5737,36.5
-4774.1587,37.0
-4896.9307,37.5
-5006.4839,38.0
-5104.2422,38.5
-5191.4751,39.0
-5269.3159,39.5
-5338.7764,40.0
-5400.7578,40.5
-5456.0664,41.0
-5505.4199,41.5
-5549.46,42.0
-5588.7583,42.5
-5623.8257,43.0
-5655.1172,43.5
-5683.04,44.0
-5707.9561,44.5
-5730.1899,45.0
-5750.0298,45.5
-5767.7334,46.0
-5783.5312,46.5
-5797.6284,47.0
-5810.2075,47.5
-5821.4321,48.0
-5831.4482,48.5
-5840.3862,49.0
-5848.3618,49.5
-5855.4785,50.0
-5861.8291,50.5
-5867.4961,51.0
-5872.5527,51.5
-5877.0649,52.0
-5881.0913,52.5
-5884.6846,53.0
-5887.8906,53.5
-5890.7515,54.0
-5893.3047,54.5
-5895.5825,55.0
-5897.6152,55.5
-5899.4292,56.0
-5901.0479,56.5
-5902.4922,57.0
-5903.7812,57.5
-5904.9312,58.0
-5905.9575,58.5
-5906.873,59.0
-5907.6904,59.5
-5908.4194,60.0
-5909.0703,60.5
-5909.6509,61.0
-5910.1689,61.5
-5910.6313,62.0
-5911.0439,62.5
-5911.4121,63.0
-5911.7402,63.5
-5912.0337,64.0
-5912.2949,64.5
-5912.5283,65.0
-5912.7368,65.5
-5912.9229,66.0
-5913.0884,66.5
-5913.2363,67.0
-5913.3687,67.5
-5913.4863,68.0
-5913.5913,68.5
-5913.6855,69.0
-5913.769,69.5
-5913.8438,70.0
-5913.9106,70.5
-5913.9702,71.0
-5914.0229,71.5
-5914.0703,72.0
-5914.1128,72.5
-5914.1504,73.0
-5914.1841,73.5
-5914.2139,74.0
-5914.2407,74.5
-5914.2646,75.0
-5914.2861,75.5
-5914.3052,76.0
-5914.3223,76.5
-5914.3374,77.0
-5914.3511,77.5
-5914.3628,78.0
-5914.3735,78.5
-5914.3833,79.0
-5914.3921,79.5
-5914.3994,80.0
-5914.4062,80.5
-5914.4126,81.0
-5914.418,81.5
-5914.4229,82.0
-5914.4272,82.5
-5914.4312,83.0
-5914.4346,83.5
-5914.4375,84.0
-5914.4404,84.5
-5914.4429,85.0
-5914.4448,85.5
-5914.4468,86.0
-5914.4487,86.5
-5914.4502,87.0
-5914.4517,87.5
-5914.4526,88.0
-5914.4541,88.5
-5914.4551,89.0
-5914.4556,89.5
-5914.4565,90.0
-5914.457,90.5
-5914.458,91.0
-5914.4585,91.5
-5914.459,92.0
-5914.4595,92.5
-5914.46,93.0
-5914.46,93.5
-5914.4604,94.0
-5914.4609,94.5
-5914.4609,95.0
-5914.4609,95.5
-5914.4614,96.0
-5914.4614,96.5
