e,ez,w,z,Time
0.0,0.0,0.0,2.4e-05,0.0
9.598656130379817e-10,1.1518588958843098e-13,0.0,2.399903990401518e-05,0.01
1.9194625043012845e-09,4.606871199170052e-13,0.0,2.3998079616121458e-05,0.02
2.878790751998423e-09,1.0364190513811465e-12,0.0,2.3997119136409895e-05,0.03
3.837850434319513e-09,1.842297065980262e-12,0.0,2.3996158464971548e-05,0.04
4.796641629432666e-09,2.878236571522386e-12,0.0,2.399519760189742e-05,0.05
5.755164415475588e-09,4.144153011448607e-12,0.0,2.3994236547278497e-05,0.06
6.713418870587659e-09,5.639961827253675e-12,0.0,2.3993275301205754e-05,0.07
7.671405072891776e-09,7.365578479759814e-12,0.0,2.3992313863770145e-05,0.08
8.629123100491415e-09,9.320918452562833e-12,0.0,2.39913522350626e-05,0.09
9.58657303147064e-09,1.1505897252032141e-11,0.0,2.399039041517402e-05,0.1
1.054375494389408e-08,1.3920430407310729e-11,0.0,2.3989428404195287e-05,0.11
1.1500668915806963e-08,1.6564433470315198e-11,0.0,2.398846620221725e-05,0.12
1.2457315025235085e-08,1.9437822015735727e-11,0.0,2.398750380933073e-05,0.13
1.341369335018482e-08,2.25405116410361e-11,0.0,2.3986541225626528e-05,0.14
1.4369803968643829e-08,2.5872417965600735e-11,0.0,2.398557845119542e-05,0.15
1.532564695858345e-08,2.943345662783594e-11,0.0,2.3984615486128155e-05,0.16
1.6281222397953555e-08,3.322354329141013e-11,0.0,2.398365233051546e-05,0.17
1.723653036468433e-08,3.724259364306502e-11,0.0,2.3982688984448024e-05,0.18
1.8191570936686683e-08,4.149052339216543e-11,0.0,2.3981725448016525e-05,0.19
1.9146344191852217e-08,4.596724827069918e-11,0.0,2.39807617213116e-05,0.2
2.010085020805324e-08,5.067268403327721e-11,0.0,2.3979797804423875e-05,0.21
2.105508906314277e-08,5.5606746457133505e-11,0.0,2.397883369744394e-05,0.22
2.200906083495452e-08,6.076935134212511e-11,0.0,2.3977869400462356e-05,0.23
2.2962765601302912e-08,6.616041451073212e-11,0.0,2.397690491356967e-05,0.24
2.391620343998797e-08,7.17798518022784e-11,0.0,2.39759402368564e-05,0.25
2.486937442881191e-08,7.762757905328918e-11,0.0,2.3974975370413073e-05,0.26
2.5822278645543384e-08,8.370351213977511e-11,0.0,2.397401031433017e-05,0.27
2.6774916167930055e-08,9.00075669624007e-11,0.0,2.397304506869814e-05,0.28
2.7727287073701127e-08,9.65396594434334e-11,0.0,2.3972079633607407e-05,0.29
2.8679391440567396e-08,1.0329970552674399e-10,0.0,2.3971114009148372e-05,0.3
2.963122934622121e-08,1.102876211778061e-10,0.0,2.3970148195411416e-05,0.31
3.058280086833648e-08,1.1750332238369662e-10,0.0,2.396918219248689e-05,0.32
3.15341060845687e-08,1.249467251530955e-10,0.0,2.396821600046512e-05,0.33
3.248514507255491e-08,1.3261774551628577e-10,0.0,2.3967249619436408e-05,0.34
3.3435917909913734e-08,1.4051629952509323e-10,0.0,2.396628304949103e-05,0.35
