Time,z,e,w,ez,compartment,v1,v2,v3
0.0,2.4e-05,0.0,0.0,0.0,1.0,9.6e-08,0.0,0.0
0.01,2.399903990401518e-05,9.598656130379817e-10,0.0,1.1518588958843098e-13,1.0,9.599615961606072e-08,2.30358289607537e-11,6.220038037775272e-17
0.02,2.3998079616121458e-05,1.9194625043012845e-09,0.0,4.606871199170052e-13,1.0,9.599231846448584e-08,4.606331725408692e-11,2.487710447551828e-16
0.03,2.3997119136409895e-05,2.878790751998423e-09,0.0,1.0364190513811465e-12,1.0,9.598847654563958e-08,6.908246699650038e-11,5.596662877458191e-16
0.04,2.3996158464971548e-05,3.837850434319513e-09,0.0,1.842297065980262e-12,1.0,9.59846338598862e-08,9.209328030440706e-11,9.948404156293415e-16
0.05,2.399519760189742e-05,4.796641629432666e-09,0.0,2.878236571522386e-12,1.0,9.598079040758968e-08,1.1509575929404402e-10,1.5542477486220885e-15
0.06,2.3994236547278497e-05,5.755164415475588e-09,0.0,4.144153011448607e-12,1.0,9.597694618911399e-08,1.3808990608126863e-10,2.237842626182248e-15
0.07,2.3993275301205754e-05,6.713418870587659e-09,0.0,5.639961827253675e-12,1.0,9.597310120482301e-08,1.6107572278233582e-10,3.0455793867169847e-15
0.08,2.3992313863770145e-05,7.671405072891776e-09,0.0,7.365578479759814e-12,1.0,9.596925545508058e-08,1.8405321151345722e-10,3.9774123790702995e-15
0.09,2.39913522350626e-05,8.629123100491415e-09,0.0,9.320918452562833e-12,1.0,9.59654089402504e-08,2.0702237439073002e-10,5.03329596438393e-15
0.1,2.399039041517402e-05,9.58657303147064e-09,0.0,1.1505897252032141e-11,1.0,9.596156166069609e-08,2.299832135301361e-10,6.2131845160973565e-15
0.11,2.3989428404195287e-05,1.054375494389408e-08,0.0,1.3920430407310729e-11,1.0,9.595771361678114e-08,2.529357310475416e-10,7.517032419947793e-15
0.12,2.398846620221725e-05,1.1500668915806963e-08,0.0,1.6564433470315198e-11,1.0,9.5953864808869e-08,2.758799290586971e-10,8.944794073970207e-15
0.13,2.398750380933073e-05,1.2457315025235085e-08,0.0,1.9437822015735727e-11,1.0,9.595001523732292e-08,2.988158096792362e-10,1.0496423888497294e-14
0.14,2.3986541225626528e-05,1.341369335018482e-08,0.0,2.25405116410361e-11,1.0,9.594616490250612e-08,3.21743375024676e-10,1.2171876286159494e-14
0.15,2.398557845119542e-05,1.4369803968643829e-08,0.0,2.5872417965600735e-11,1.0,9.594231380478168e-08,3.4466262721043307e-10,1.3971105701424396e-14
0.16,2.3984615486128155e-05,1.532564695858345e-08,0.0,2.943345662783594e-11,1.0,9.593846194451262e-08,3.6757356835188165e-10,1.5894066579031407e-14
0.17,2.398365233051546e-05,1.6281222397953555e-08,0.0,3.322354329141013e-11,1.0,9.593460932206183e-08,3.9047620056422807e-10,1.7940713377361473e-14
0.18,2.3982688984448024e-05,1.723653036468433e-08,0.0,3.724259364306502e-11,1.0,9.59307559377921e-08,4.1337052596255374e-10,2.011100056725511e-14
0.19,2.3981725448016525e-05,1.8191570936686683e-08,0.0,4.149052339216543e-11,1.0,9.59269017920661e-08,4.362565466618245e-10,2.2404882631769334e-14
0.2,2.39807617213116e-05,1.9146344191852217e-08,0.0,4.596724827069918e-11,1.0,9.59230468852464e-08,4.5913426477688945e-10,2.4822314066177556e-14
0.21,2.3979797804423875e-05,2.010085020805324e-08,0.0,5.067268403327721e-11,1.0,9.59191912176955e-08,4.820036824224813e-10,2.736324937796969e-14
0.22,2.397883369744394e-05,2.105508906314277e-08,0.0,5.5606746457133505e-11,1.0,9.591533478977576e-08,5.048648017132152e-10,3.002764308685209e-14
0.23,2.3977869400462356e-05,2.200906083495452e-08,0.0,6.076935134212511e-11,1.0,9.591147760184943e-08,5.277176247635887e-10,3.2815449724747565e-14
0.24,2.397690491356967e-05,2.2962765601302912e-08,0.0,6.616041451073212e-11,1.0,9.590761965427868e-08,5.50562153687981e-10,3.5726623835795345e-14
0.25,2.39759402368564e-05,2.391620343998797e-08,0.0,7.17798518022784e-11,1.0,9.590376094742561e-08,5.733983906007726e-10,3.876111997323034e-14
