data_set_T,data_set_V,data_set_W
0.0,-60.349998,0.0
0.1,-60.354855,-1.6438224
0.2,-60.359081,-3.2805901
0.30000001,-60.362682,-4.910223
0.40000001,-60.365669,-6.5326424
0.5,-60.368038,-8.1477709
0.60000002,-60.369801,-9.7555313
0.69999999,-60.37096,-11.35585
0.80000001,-60.371517,-12.948652
0.89999998,-60.371479,-14.533866
1.0,-60.370853,-16.11142
1.1,-60.36964,-17.681242
1.2,-60.367847,-19.243265
1.3,-60.365479,-20.797421
1.4,-60.362537,-22.343643
1.5,-60.359032,-23.881865
1.6,-60.354961,-25.412024
1.7,-60.350338,-26.934055
1.8,-60.345161,-28.447897
1.9,-60.339436,-29.953491
2.0,-60.333168,-31.450773
2.0999999,-60.326363,-32.93969
2.2,-60.319027,-34.420181
2.3,-60.311161,-35.892193
2.4000001,-60.302769,-37.355663
2.5,-60.293861,-38.810551
2.5999999,-60.284443,-40.25679
2.7,-60.274513,-41.69434
2.8,-60.26408,-43.123142
2.9000001,-60.253147,-44.543148
3.0,-60.241722,-45.954315
3.0999999,-60.229805,-47.356594
3.2,-60.217403,-48.749935
3.3,-60.204525,-50.1343
3.4000001,-60.19117,-51.50964
3.5,-60.177345,-52.875912
3.5999999,-60.163059,-54.233074
3.7,-60.148308,-55.581093
3.8,-60.133106,-56.919918
3.9000001,-60.117451,-58.249523
4.0,-60.101349,-59.569859
4.0999999,-60.084808,-60.880898
4.1999998,-60.067833,-62.182602
4.3000002,-60.050426,-63.474937
4.4000001,-60.032593,-64.757874
4.5,-60.014339,-66.031372
4.5999999,-59.99567,-67.29541
4.6999998,-59.976589,-68.54995
4.8000002,-59.9571,-69.79496
4.9000001,-59.93721,-71.030426
5.0,-59.91692,-72.256317
5.0999999,-59.89624,-73.472595
5.1999998,-59.875175,-74.679245
5.3000002,-59.853725,-75.876251
5.4000001,-59.831898,-77.063568
5.5,-59.8097,-78.241196
5.5999999,-59.787132,-79.409103
5.6999998,-59.764202,-80.567276
5.8000002,-59.74091,-81.715683
5.9000001,-59.717266,-82.854317
6.0,-59.693275,-83.983162
6.0999999,-59.668938,-85.102196
6.1999998,-59.64426,-86.211403
6.3000002,-59.619251,-87.310776
6.4000001,-59.59391,-88.400291
6.5,-59.568245,-89.47995
6.5999999,-59.542259,-90.549728
