N_1_task1,S_2_task1,_1_task1
0.2,0.1,0.0
0.19791222066781375,0.11095351324475847,0.8
0.19611498281685763,0.12143066114307098,1.6
0.19458917108644724,0.13145434973364203,2.4
0.19331771304679798,0.14104512501189348,3.2
0.1922853405230139,0.15022145122105518,4.0
0.1914783521645695,0.1589999873780576,4.8
0.19088441843999285,0.16739581407426765,5.6
0.19049241185400756,0.17542263076533957,6.4
0.1902922660412902,0.18309291934747085,7.2
0.19027484337343908,0.1904180977577825,8.0
0.19043178326381593,0.19740869627004068,8.8
0.1907554915468565,0.2040743694122841,9.6
0.19123895490748985,0.2104241116140359,10.4
0.1918757448525836,0.216466252496444,11.2
0.19265988486665173,0.2222086110802302,12.0
0.19358583321347558,0.22765851615514932,12.8
0.19464839833949962,0.23282290445997186,13.6
0.1958427051755249,0.23770836047917765,14.4
0.19716414480923725,0.24232117517518087,15.2
0.19860833116177198,0.24666739680185545,16.0
0.20017107407272927,0.25075286288047194,16.8
0.20184833767087892,0.25458324906685886,17.6
0.2036362242643936,0.25816408880145214,18.4
0.20553090400598412,0.26150085497340614,19.2
0.20752863662428925,0.2645989364153953,20.0
0.20962576716923217,0.26746364408114937,20.8
0.21181863900812378,0.27010031166542403,21.6
0.214103626992286,0.2725142585950422,22.4
0.21647712733152066,0.27471080268708925,23.2
0.21893549919205926,0.27669532849364686,24.0
0.22147509553478653,0.27847325223239194,24.8
0.22409225230717092,0.2800500351053545,25.6
0.22678324605637204,0.2814312334516729,26.4
0.22954432559675678,0.2826224618164902,27.2
0.23237170165634602,0.28362940566429756,28.0
0.23526151856720776,0.28445785536450635,28.8
0.23820988197441498,0.2851136729276916,29.6
0.2412128604536887,0.28560279021009427,30.4
0.24426645618963197,0.285931244742782,31.2
0.2473666493055665,0.2861051248853315,32.0
0.2505093817173171,0.28613059002553404,32.8
0.25369054756617854,0.2860138826230219,33.6
0.25690600757968257,0.28576131045219233,34.4
0.2601516137862699,0.2853792145316631,35.2
0.2634232244271185,0.28487395037640845,36.0
0.2667167019910514,0.2842518920065988,36.8
0.270027939843568,0.28351939807274174,37.6
0.27335284535435844,0.28268283062946287,38.4
0.27668730373948075,0.28174859664026675,39.2
0.2800272841556743,0.2807230205991019,40.0
0.28336882253634105,0.27961236321465954,40.8
0.28670802516884,0.27842281572286126,41.6
0.2900410385354658,0.277160535176862,42.4
