Time,N,S,a,d,u1,r1,e1,Q1,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,normal_cell_growth,normal_cell_death
0.0,0.2,0.1,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.002,0.004000000000000001,0.003200000000000001,0.006
0.8,0.19791222066781375,0.11095351324475847,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.0022190702648951692,0.004391811239433167,0.003513448991546534,0.005937366620034412
1.6,0.19611498281685763,0.12143066114307098,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.0024286132228614195,0.004762874404702606,0.0038102995237620845,0.005883449484505729
2.4,0.19458917108644724,0.13145434973364203,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.0026290869946728407,0.005115918590075468,0.004092734872060375,0.005837675132593417
3.2,0.19331771304679798,0.14104512501189348,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.0028209025002378695,0.0054533042007397945,0.004362643360591837,0.005799531391403939
4.0,0.1922853405230139,0.15022145122105518,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.0030044290244211035,0.005777076580380384,0.0046216612643043085,0.005768560215690417
4.8,0.1914783521645695,0.1589999873780576,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.003179999747561152,0.0060890111154675635,0.0048712088923740515,0.005744350564937085
5.6,0.19088441843999285,0.16739581407426765,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.003347916281485353,0.00639065052377115,0.005112520419016921,0.005726532553199785
6.4,0.19049241185400756,0.17542263076533957,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.003508452615306791,0.006683336005652913,0.005346668804522331,0.005714772355620227
7.2,0.1902922660412902,0.18309291934747085,0.02,0.02,0.2,0.8,0.01,5.333333333333334,1.0,0.02,0.003661858386949417,0.006968233303749084,0.005574586642999268,0.005708767981238706
