Time,lck_inactive,lck_active,phosphatase_inactive,phosphatase_active,lck_total,n1,k1,m1,d0,d1,k2,m2,n2,d2,n,r_l,compartment,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.012,0.0
0.01,0.0,0.0,0.6000599777224258,0.5999400222775741,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006000599777224259,0.0,0.011998800445551483,0.0
0.02,0.0,0.0,0.6001199370971424,0.5998800629028576,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006001199370971424,0.0,0.011997601258057152,0.0
0.03,0.0,0.0,0.6001798844813254,0.5998201155186745,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006001798844813254,0.0,0.01199640231037349,0.0
0.04,0.0,0.0,0.600239817325686,0.599760182674314,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00600239817325686,0.0,0.01199520365348628,0.0
0.05,0.0,0.0,0.6002997269346032,0.5997002730653967,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006002997269346032,0.0,0.011994005461307935,0.0
0.06,0.0,0.0,0.6003596205711921,0.5996403794288079,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060035962057119205,0.0,0.011992807588576158,0.0
0.07,0.0,0.0,0.6004194982354527,0.5995805017645472,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006004194982354528,0.0,0.011991610035290945,0.0
0.08,0.0,0.0,0.600479359927385,0.599520640072615,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00600479359927385,0.0,0.0119904128014523,0.0
0.09,0.0,0.0,0.600539205646989,0.5994607943530109,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00600539205646989,0.0,0.011989215887060218,0.0
0.1,0.0,0.0,0.6005990304518388,0.5994009695481611,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006005990304518388,0.0,0.011988019390963223,0.0
0.11,0.0,0.0,0.600658836455999,0.5993411635440009,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006006588364559991,0.0,0.011986823270880019,0.0
0.12,0.0,0.0,0.6007186251868833,0.5992813748131166,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006007186251868833,0.0,0.011985627496262332,0.0
0.13,0.0,0.0,0.600778396644492,0.599221603355508,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00600778396644492,0.0,0.011984432067110161,0.0
0.14,0.0,0.0,0.6008381508288247,0.5991618491711752,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006008381508288248,0.0,0.011983236983423504,0.0
0.15,0.0,0.0,0.6008978877398818,0.5991021122601181,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006008978877398818,0.0,0.011982042245202362,0.0
0.16,0.0,0.0,0.6009576073776631,0.5990423926223368,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060095760737766315,0.0,0.011980847852446738,0.0
0.17,0.0,0.0,0.6010173097421686,0.5989826902578314,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006010173097421686,0.0,0.011979653805156627,0.0
0.18,0.0,0.0,0.6010769948333984,0.5989230051666016,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006010769948333984,0.0,0.011978460103332032,0.0
0.19,0.0,0.0,0.6011366617172427,0.5988633382827573,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006011366617172427,0.0,0.011977266765655145,0.0
0.2,0.0,0.0,0.6011963087696716,0.5988036912303284,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006011963087696716,0.0,0.011976073824606567,0.0
0.21,0.0,0.0,0.6012559381611855,0.5987440618388145,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006012559381611855,0.0,0.01197488123677629,0.0
0.22,0.0,0.0,0.6013155498917847,0.5986844501082152,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006013155498917847,0.0,0.011973689002164306,0.0
0.23,0.0,0.0,0.6013751439614692,0.5986248560385308,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006013751439614692,0.0,0.011972497120770616,0.0
0.24,0.0,0.0,0.6014347203702388,0.5985652796297611,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006014347203702388,0.0,0.011971305592595223,0.0
0.25,0.0,0.0,0.6014942791180936,0.5985057208819063,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006014942791180936,0.0,0.011970114417638128,0.0
0.26,0.0,0.0,0.6015538202050336,0.5984461797949664,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006015538202050336,0.0,0.011968923595899328,0.0
0.27,0.0,0.0,0.6016133436310588,0.5983866563689412,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006016133436310588,0.0,0.011967733127378824,0.0
0.28,0.0,0.0,0.6016728493961693,0.5983271506038307,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060167284939616926,0.0,0.011966543012076614,0.0
0.29,0.0,0.0,0.6017323375003648,0.5982676624996351,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060173233750036486,0.0,0.011965353249992703,0.0
0.3,0.0,0.0,0.6017918079436456,0.5982081920563543,0.0,1.0,0.01,1.0,0.15,0.15,0.01,1.0,0.02,0.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006017918079436456,0.0,0.011964163841127086,0.0
