Time,x,y,z,I,r,k,b,tau,a,p,c,d,n,compartment,Uninfected_Cells_Proliferation,Uninfected_Cells_Infection,Length_of_Eclipse_Phase,Cytotoxicity,Immune_Kill,Stimulation,Clearance
0.0,200.0,800.0,100.0,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,21.93866292660121,71.67999999999999,71.67999999999999,800.0,800.0,1600.0,50.0
0.5,203.85272505090742,6.497455205216476,1198.0190053594895,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,37.86398663547848,0.5933867293668525,0.5933867293668525,6.497455205216476,77.84074822321281,155.68149644642563,599.0095026797447
1.0,223.59431353297362,0.01880078173380619,942.6828233881777,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,41.24522714637766,0.0018832790527728415,0.0018832790527728417,0.01880078173380619,0.17723174006729295,0.3544634801345859,471.34141169408883
1.5,245.07279421845777,0.0001761113413215555,734.1895237315239,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,44.700746973665666,1.9335724133032902e-05,1.9335724133032902e-05,0.0001761113413215555,0.0012929910180859267,0.0025859820361718534,367.09476186576194
2.0,268.3257294168882,4.149855472871456e-06,571.7876240610608,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,48.34114428736502,4.988538225363387e-07,4.988538225363387e-07,4.149855472871456e-06,2.37283600102996e-05,4.74567200205992e-05,285.8938120305304
2.5,293.44310846053145,2.005874512158949e-07,445.3086549117538,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,52.156421651827365,2.6369730330929397e-08,2.6369730330929397e-08,2.005874512158949e-07,8.93233280931272e-07,1.786466561862544e-06,222.6543274558769
3.0,320.50883410908887,1.6965903525462692e-08,346.80672940198275,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,56.13162766847068,2.436099437431891e-09,2.436099437431891e-09,1.6965903525462692e-08,5.883889513015285e-08,1.176777902603057e-07,173.40336470099138
3.5,349.5980803857111,2.218782664240251e-09,270.0933524646921,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,60.24671532668843,3.475056077747455e-10,3.475056077747455e-10,2.218782664240251e-09,5.992784481751907e-09,1.1985568963503814e-08,135.04667623234604
4.0,380.7746368981866,4.074604698984124e-10,210.34891454169897,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,64.47613398286336,6.950747438921774e-11,6.950747438921774e-11,4.074604698984124e-10,8.570886756178165e-10,1.714177351235633e-09,105.17445727084949
4.5,414.0880783490877,9.738746451843838e-11,163.8198920973404,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,68.78853920958883,1.806649064090309e-11,1.806649064090309e-11,9.738746451843838e-11,1.595400392904414e-10,3.190800785808828e-10,81.9099460486702
5.0,449.5708286362003,2.859961485708356e-11,127.58303717392278,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,73.14666803805004,5.760183542388908e-12,5.760183542388908e-12,2.859961485708356e-11,3.648825725471166e-11,7.297651450942332e-11,63.79151858696139
5.5,487.23521385393775,9.87507725918142e-12,99.3617429613023,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,77.50742476659222,2.1555454503302343e-12,2.1555454503302347e-12,9.87507725918142e-12,9.812048883497858e-12,1.9624097766995716e-11,49.68087148065115
6.0,527.0706190791328,3.8801222494562264e-12,77.3829939971611,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,81.82221928146018,9.162040993833777e-13,9.162040993833777e-13,3.8801222494562264e-12,3.0025547673792237e-12,6.005109534758447e-12,38.69149699858055
6.5,569.040885594043,1.6450187291543764e-12,60.26596771731289,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,86.03759257150485,4.1936514567664343e-13,4.193651456766435e-13,1.6450187291543764e-12,9.913864562559272e-13,1.9827729125118545e-12,30.132983858656445
7.0,613.0820923954384,7.655150417002355e-13,46.93519020194491,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,90.09615071775684,2.102569564595412e-13,2.102569564595412e-13,7.655150417002355e-13,3.5929594084650343e-13,7.185918816930069e-13,23.467595100972456
7.5,659.1008941780336,3.74915401045471e-13,36.55316538000609,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,93.93781287131802,1.1070397007944334e-13,1.1070397007944333e-13,3.74915401045471e-13,1.370434465792641e-13,2.740868931585282e-13,18.276582690003046
8.0,706.9735485089577,1.9310337017479988e-13,28.467635218740256,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,97.50135265342611,6.116050072899967e-14,6.116050072899967e-14,1.9310337017479988e-13,5.49719630164557e-14,1.099439260329114e-13,14.233817609370128
8.5,756.5457826500719,1.0317058087831474e-13,22.170619406471406,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,100.72619028313987,3.496786399995713e-14,3.496786399995713e-14,1.0317058087831474e-13,2.2873556825976926e-14,4.574711365195385e-14,11.085309703235703
9.0,807.6336031345245,5.755749091973342e-14,17.266493007329206,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,103.55436441313454,2.0825442972941365e-14,2.0825442972941365e-14,5.755749091973342e-14,9.938160144849913e-15,1.9876320289699827e-14,8.633246503664603
9.5,860.025117717648,3.151499762761722e-14,13.447151817425649,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,105.93258900454217,1.2142452915964176e-14,1.2142452915964178e-14,3.151499762761722e-14,4.237869576243779e-15,8.475739152487559e-15,6.723575908712824
10.0,913.483387876539,1.814187576105414e-14,10.472652673620425,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,107.81428132246498,7.424391355424064e-15,7.424391355424065e-15,1.814187576105414e-14,1.8999356369349325e-15,3.799871273869865e-15,5.236326336810213
10.5,967.7502520708284,1.0132353762098235e-14,8.156109012725514,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,109.16143580740912,4.392903382488935e-15,4.392903382488935e-15,1.0132353762098235e-14,8.264058183917268e-16,1.6528116367834536e-15,4.078054506362757
11.0,1022.551031035706,6.254016011300959e-15,6.351983395523739,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,109.94622025643622,2.8649826331703852e-15,2.8649826331703852e-15,6.254016011300959e-15,3.9725405859123297e-16,7.945081171824659e-16,3.1759916977618694
11.5,1077.599932260225,3.478891554475471e-15,4.946927113236481,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,110.15218142405807,1.6794862799426594e-15,1.6794862799426594e-15,3.478891554475471e-15,1.7209822954844118e-16,3.4419645909688235e-16,2.4734635566182406
12.0,1132.605945584432,1.818453343707417e-15,3.85266996141921,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,109.77497207301089,9.226967988452082e-16,9.226967988452082e-16,1.818453343707417e-15,7.005900573543888e-17,1.4011801147087776e-16,1.926334980709605
12.5,1187.2789646080246,1.4071723310693299e-15,3.000461260474035,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,108.82254478361266,7.484763364991604e-16,7.484763364991604e-16,1.4071723310693299e-15,4.222166066184468e-17,8.444332132368936e-17,1.5002306302370174
13.0,1241.3358719419628,3.642471618912759e-16,2.336761070530222,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,107.31479790625184,2.0256457460229412e-16,2.0256457460229412e-16,3.642471618912759e-16,8.511585879586531e-18,1.7023171759173063e-17,1.168380535265111
13.5,1294.5063135709622,6.89106627809554e-16,1.8198708715807532,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,105.28270043186554,3.996396904295322e-16,3.996396904295322e-16,6.89106627809554e-16,1.2540850793638468e-17,2.5081701587276936e-17,0.9099354357903766
14.0,1346.537918331845,1.7630705336490797e-16,1.4173165801149865,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,102.76696110898072,1.0635705141609171e-16,1.063570514160917e-16,1.7630705336490797e-16,2.4988290992530175e-18,4.997658198506035e-18,0.7086582900574933
14.5,1397.200758344448,9.418816924572796e-17,1.1038070152668817,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,99.81633818325271,5.895670211074843e-17,5.895670211074843e-17,9.418816924572796e-17,1.0396556196857889e-18,2.0793112393715777e-18,0.5519035076334409
15.0,1446.2908981055514,2.1380757100144941e-16,0.8596455153485032,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,96.48570688900948,1.385341188606828e-16,1.385341188606828e-16,2.1380757100144941e-16,1.837987195589527e-18,3.675974391179054e-18,0.4298227576742516
15.5,1493.6329428369402,-1.2044339878456413e-16,0.6694924090962373,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,92.8340104445527,-8.05944062209985e-17,-8.05944062209985e-17,-1.2044339878456413e-16,-8.063594121201666e-19,-1.6127188242403332e-18,0.33474620454811865
16.0,1539.081559032058,2.5895971067420404e-16,0.5214010506941943,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,88.92221708270522,1.785549316234632e-16,1.7855493162346318e-16,2.5895971067420404e-16,1.3502186523299456e-18,2.700437304659891e-18,0.26070052534709715
16.5,1582.521998155912,-1.530517894706654e-16,0.40606745655839704,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,84.8113922197624,-1.0850910501511602e-16,-1.0850910501511599e-16,-1.530517894706654e-16,-6.2149350872064355e-19,-1.2429870174412871e-18,0.20303372827919852
17.0,1623.8697042754127,5.428799810604222e-17,0.31624558709839706,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,80.56097385797466,3.9494172672713e-17,3.9494172672712993e-17,5.428799810604222e-17,1.716833983344199e-19,3.433667966688398e-19,0.15812279354919853
17.5,1663.0691237331112,6.25708999177794e-17,0.2462922549171124,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,76.2273140449956,4.661875980045921e-17,4.6618759800459213e-17,6.25708999177794e-17,1.5410728032942852e-19,3.0821456065885704e-19,0.1231461274585562
18.0,1700.0918599388287,-8.889250380284857e-17,0.19181254989613877,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,71.86252275495606,-6.77041891119123e-17,-6.770418911191229e-17,-8.889250380284857e-17,-1.7050697821076598e-19,-3.4101395642153196e-19,0.09590627494806939
18.5,1734.9343287933864,1.2161397995928856e-16,0.14938371965119498,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,67.5136256367643,9.452453637426717e-17,9.452453637426717e-17,1.2161397995928856e-16,1.8167148687904408e-19,3.6334297375808817e-19,0.07469185982559749
19.0,1767.6150697764099,-1.4146040310106328e-16,0.11634012285258206,0.0,0.206,2139.0,0.000448,0.0,1.0,0.01,0.02,0.5,0.01,1.0,63.22202593095939,-1.120212980535421e-16,-1.120212980535421e-16,-1.4146040310106328e-16,-1.6457520675553483e-19,-3.2915041351106966e-19,0.05817006142629103
