CAR_T_cells_1_task1,_1_task1
10000000.0,0.0
10803668.130630508,0.1
11673526.169720601,0.2
12615156.197486784,0.3
13634621.82021056,0.4
14738510.154893784,0.5
15933978.063811634,0.6
17228802.635884363,0.7
18631437.66984992,0.8
20151065.7735947,0.9
21797669.34845008,1.0
23582104.865306187,1.1
25516173.263913408,1.2
27612706.023198117,1.3
29885656.644382052,1.4
32350200.23209894,1.5
35022837.87789719,1.6
37921519.719891205,1.7
41065772.144270666,1.8
44476832.63046426,1.9
48177810.70707265,2.0
52193840.20944373,2.1
56552272.75020702,2.2
61282859.836436465,2.3
66417976.80812841,2.4
71992845.53317824,2.5
78045768.88459042,2.6
84618442.69108687,2.7
91756211.90252388,2.8
99508391.03865296,2.9
107928645.8337824,3.0
117075310.52882007,3.1
127011825.62365405,3.2
137807177.19026995,3.3
149536317.90021914,3.4
162280729.5661794,3.5
176128926.3057494,3.6
191177018.34426993,3.7
207529388.1101802,3.8
225299288.86288568,3.9
244609568.47451502,4.0
265593441.43059218,4.1
288395228.22077954,4.2
313171216.7481665,4.3
340090523.25703204,4.4
369335991.1689255,4.5
401105113.3613345,4.6
435611014.66448975,4.7
473083490.225433,4.8
513769861.3064744,4.9
557935957.258804,5.0
605867332.961922,5.1
657869890.0104933,5.2
714270556.3316358,5.3
775418709.7534673,5.4
841686300.8647552,5.5
913467703.3245648,5.6
991181331.6858592,5.7
1075269056.9045987,5.8
1166194445.7053587,5.9
1264443465.3234272,6.0
1370522485.9489443,6.1
1484956944.8888485,6.2
1608288802.4768836,6.3
1741071858.1109643,6.4
1883869670.406067,6.5
2037248664.029788,6.6
2201773050.6268106,6.7
2377997836.980652,6.8
2566459220.921137,6.9
2767666961.0056634,7.0
2982092266.649033,7.1
3210156692.7079535,7.2
3452219742.337491,7.3
3708565166.1128545,7.4
3979386422.3850894,7.5
4264775952.189847,7.6
4564706085.065469,7.7
4879012245.110619,7.8
5207388697.1782055,7.9
5549381993.058915,8.0
5904374248.435503,8.1
6271578253.795817,8.2
6650031475.981805,8.3
7038609699.728366,8.4
