Time,CAR_T_cells,Leukaemic_B_cells,B_cells_healthy,tao_B,rho_L,tao_C,rho_C,alpha,compartment,CARTcell_proliferation,CARTcell_death,Leukaemia_proliferation,Leukaemia_death,Bcell_death
0.0,10000000.0,50000000000.0,25000000000.0,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,8437500.0,714285.7142857142,1666666666.5,22500000.0,427916666.6666667
0.1,10803668.130630508,50164597776.46574,24957200400.654392,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,9130398.48992036,771690.5807593219,1672153259.048309,24388274.982757542,428086658.9878304
0.2,11673526.169720601,50329547989.508194,24914380309.898052,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,9881572.118801618,833823.2978371858,1677651599.482508,26438548.300457973,428327412.0063827
0.3,12615156.197486784,50494834889.1022,24871532368.840073,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,10696033.068706075,901082.5855347703,1683161162.8017573,28665010.318154834,428644661.43733734
0.4,13634621.82021056,50660441188.11514,24828648620.9671,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,11579233.399860907,973901.5585864685,1688681372.7683032,31083118.05802358,429044625.8908717
0.5,14738510.154893784,50826347925.75655,24785720462.24195,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,12537103.924901692,1052750.725349556,1694211597.3557973,33709709.02679674,429534047.7101759
0.6,15933978.063811634,50992534317.03278,24742738586.332897,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,13576096.992363933,1138141.2902722594,1699751143.7311177,36563126.54515931,430120237.8631781
0.7,17228802.635884363,51158977588.160904,24699692925.03365,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,14703233.203039609,1230628.759706026,1705299252.7681668,39663356.75640251,430811124.80631673
0.8,18631437.66984992,51325652792.123375,24656572581.90106,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,15926153.580817034,1330816.9764178514,1710855092.8996937,43032181.53873623,431615309.14954954
0.9,20151065.7735947,51492532638.72849,24613365770.847553,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,17253168.351861186,1439361.8409710499,1716417754.4526412,46693323.54233954,432542112.7125644
1.0,21797669.34845008,51659587262.030266,24570059733.550823,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,18693322.19728591,1556976.3820321485,1721986241.8954768,50672637.08168127,433601647.26664275
1.1,23582104.865306187,51826783976.89485,24526640653.10607,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,20256462.747561757,1684436.0618075847,1727559465.7237391,54998309.45586172,434804885.75281984
1.2,25516173.263913408,51994087048.36647,24483093572.063595,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,21953306.153773062,1822583.8045652434,1733136234.7722354,59701056.02213017,436163728.12735534
1.3,27612706.023198117,52161457408.740814,24439402293.148636,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,23795516.475815814,1972336.1445141512,1738715246.7841556,64814354.51261082,437691082.94312966
1.4,29885656.644382052,52328852357.115326,24395549273.557045,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,25795790.13802433,2134689.760313004,1744295078.3960812,70374695.13626899,439400953.30844575
1.5,32350200.23209894,52496225230.68604,24351515511.452847,60.0,0.03333333333,14.0,1.125e-11,4.5e-11,1.0,27967947.75441698,2310728.588007067,1749874174.1812139,76421852.8938926,441308529.98132277
