B_cells_healthy_3_task1,CAR_T_cells_1_task1,Leukaemic_B_cells_2_task1,_1_task1
25000000000.0,10000000.0,50000000000.0,0.0
24957200400.654392,10803668.130630508,50164597776.46574,0.1
24914380309.898052,11673526.169720601,50329547989.508194,0.2
24871532368.840073,12615156.197486784,50494834889.1022,0.3
24828648620.9671,13634621.82021056,50660441188.11514,0.4
24785720462.24195,14738510.154893784,50826347925.75655,0.5
24742738586.332897,15933978.063811634,50992534317.03278,0.6
24699692925.03365,17228802.635884363,51158977588.160904,0.7
24656572581.90106,18631437.66984992,51325652792.123375,0.8
24613365770.847553,20151065.7735947,51492532638.72849,0.9
24570059733.550823,21797669.34845008,51659587262.030266,1.0
24526640653.10607,23582104.865306187,51826783976.89485,1.1
24483093572.063595,25516173.263913408,51994087048.36647,1.2
24439402293.148636,27612706.023198117,52161457408.740814,1.3
24395549273.557045,29885656.644382052,52328852357.115326,1.4
24351515511.452847,32350200.23209894,52496225230.68604,1.5
24307280426.030685,35022837.87789719,52663525061.209496,1.6
24262821717.615494,37921519.719891205,52830696168.35192,1.7
24218115223.1944,41065772.144270666,52997677739.245674,1.8
24173134763.730114,44476832.63046426,53164403382.292046,1.9
24127851963.688526,48177810.70707265,53330800592.53491,2.0
24082236079.014034,52193840.20944373,53496790247.43897,2.1
24036253782.168797,56552272.75020702,53662285961.90603,2.2
23989868958.185463,61282859.836436465,53827193483.14063,2.3
23943042457.36341,66417976.80812841,53991409942.11865,2.4
23895731848.495205,71992845.53317824,54154823110.44012,2.5
23847891159.489693,78045768.88459042,54317310617.31049,2.6
23799470539.35032,84618442.69108687,54478738898.1942,2.7
23750415974.981213,91756211.90252388,54638962339.38708,2.8
23700668943.11929,99508391.03865296,54797822199.05467,2.9
23650166000.870487,107928645.8337824,54955145314.58121,3.0
23598838438.083168,117075310.52882007,55110743039.30613,3.1
23546611811.851433,127011825.62365405,55264409752.90387,3.2
23493405477.838028,137807177.19026995,55415921369.185646,3.3
23439132136.987053,149536317.90021914,55565033913.1192,3.4
23383697248.188213,162280729.5661794,55711481586.119644,3.5
23326998493.057774,176128926.3057494,55854975055.07129,3.6
23268925183.28181,191177018.34426993,55995199521.07444,3.7
23209357566.349957,207529388.1101802,56131812368.94015,3.8
23148166192.74556,225299288.86288568,56264441126.33785,3.9
23085211175.7429,244609568.47451502,56392680938.930595,4.0
23020341407.670547,265593441.43059218,56516091863.53326,4.1
22953393791.166656,288395228.22077954,56634196322.456055,4.2
22884192389.712044,313171216.7481665,56746476011.59468,4.3
22812547552.398777,340090523.25703204,56852368887.97902,4.4
22738255001.53019,369335991.1689255,56951266022.44864,4.5
22661094963.448742,401105113.3613345,57042508156.623055,4.6
22580831200.366474,435611014.66448975,57125382175.801674,4.7
22497209966.455704,473083490.225433,57199117452.338394,4.8
22409959250.41673,513769861.3064744,57262882456.88967,4.9
22318787861.814407,557935957.258804,57315781040.2145,5.0
22223384229.724884,605867332.961922,57356848094.68166,5.1
22123415938.603043,657869890.0104933,57385046724.40178,5.2
22018529201.3518,714270556.3316358,57399265228.00477,5.3
21908347481.05915,775418709.7534673,57398311970.62157,5.4
21792471597.42521,841686300.8647552,57380913919.09402,5.5
