Time,C,F,P,m,gamma,nu,sigma,Brain
0.0,18.0,135.0,0.0,25.0,1.0,1.0,1.0,1.0
0.15,17.991226055464885,135.63260637434828,0.13897200055967576,25.0,1.0,1.0,1.0,1.0
0.3,18.11986808793451,136.08738780682697,0.13944852612408143,25.0,1.0,1.0,1.0,1.0
0.45,18.248419698446533,136.52156241656596,0.13994221538423204,25.0,1.0,1.0,1.0,1.0
0.6,18.376877711753764,136.93509179188044,0.14045313535165832,25.0,1.0,1.0,1.0,1.0
0.75,18.50524013583169,137.32795292446087,0.14098136855434829,25.0,1.0,1.0,1.0,1.0
0.9,18.633505133080522,137.70012437744933,0.14152698148564902,25.0,1.0,1.0,1.0,1.0
1.05,18.761669103842053,138.05156514950087,0.14209011695472182,25.0,1.0,1.0,1.0,1.0
1.2,18.889729796273595,138.38225055613964,0.14267091132447154,25.0,1.0,1.0,1.0,1.0
1.35,19.01768472459655,138.69215329172417,0.14326949992226273,25.0,1.0,1.0,1.0,1.0
1.5,19.14553025569033,138.98123400345088,0.143886077979346,25.0,1.0,1.0,1.0,1.0
1.65,19.273264935834675,139.2494782056651,0.1445207719677538,25.0,1.0,1.0,1.0,1.0
1.8,19.400885254613655,139.49684878998337,0.14517379836052927,25.0,1.0,1.0,1.0,1.0
1.95,19.528387774943475,139.72331054291635,0.1458453940754751,25.0,1.0,1.0,1.0,1.0
2.1,19.655769389322344,139.9288318054791,0.14653572953347185,25.0,1.0,1.0,1.0,1.0
2.25,19.78302694502924,140.11338076111596,0.14724500061688028,25.0,1.0,1.0,1.0,1.0
2.4,19.91015741268987,140.27692891308243,0.14797347015821563,25.0,1.0,1.0,1.0,1.0
2.55,20.037157571012656,140.41944579533651,0.1487214264016078,25.0,1.0,1.0,1.0,1.0
2.7,20.164024188748165,140.5409021437435,0.14948921055532238,25.0,1.0,1.0,1.0,1.0
2.85,20.290754022232385,140.6412677874854,0.15027708099151754,25.0,1.0,1.0,1.0,1.0
3.0,20.41734378287038,140.72051273713495,0.15108531665648475,25.0,1.0,1.0,1.0,1.0
3.15,20.543790010910115,140.77860665214757,0.15191428085648437,25.0,1.0,1.0,1.0,1.0
3.3,20.670089251435584,140.8155192007497,0.15276432572117835,25.0,1.0,1.0,1.0,1.0
3.45,20.796237892024145,140.8312196122013,0.1536358310196639,25.0,1.0,1.0,1.0,1.0
3.6,20.922232376420485,140.8256772739849,0.15452916702800004,25.0,1.0,1.0,1.0,1.0
3.75,21.04806887821989,140.79886082824282,0.15544477220423242,25.0,1.0,1.0,1.0,1.0
