data_set_value_component_environment_variable_time,data_set_value_component_membrane_variable_V,data_set_value_component_membrane_variable_Cm,data_set_value_component_calcium_channel_variable_i_s,data_set_value_component_calcium_channel_variable_g_s,data_set_value_component_calcium_channel_variable_V_s,data_set_value_component_calcium_channel_variable_V_1,data_set_value_component_calcium_channel_variable_V_2,data_set_value_component_potassium_channel_variable_i_K,data_set_value_component_potassium_channel_variable_g_K,data_set_value_component_potassium_channel_variable_V_K,data_set_value_component_potassium_channel_w_gate_variable_w,data_set_value_component_potassium_channel_w_gate_variable_lambda_w,data_set_value_component_potassium_channel_w_gate_variable_V_3,data_set_value_component_potassium_channel_w_gate_variable_V_4,data_set_value_component_acetyl_choline_activated_potassium_channel_variable_i_K_ACh,data_set_value_component_acetyl_choline_activated_potassium_channel_u_gate_variable_u,data_set_value_component_acetyl_choline_activated_potassium_channel_u_gate_variable_alpha,data_set_value_component_acetyl_choline_activated_potassium_channel_u_gate_variable_beta,data_set_value_component_acetyl_choline_activated_potassium_channel_u_gate_variable_ACh,data_set_value_component_coupling_current_variable_i_j,data_set_value_component_coupling_current_variable_g_j,data_set_value_component_coupling_current_variable_V_B
0.0,-52.07606,60.0,-1649.615859693143,382.9118,214.1429,-35.9358,7.8589,99.55641349099278,536.1093,-259.0783,0.0008971,20.7796,-27.9375,6.321,2.4006986049609003,0.2344555,0.0023715384615384614,0.008516227788697742,1e-06,-0.0,0.0,-50.0
0.1,-47.80322714589625,60.0,-4666.5591194862345,382.9118,214.1429,-35.9358,7.8589,155.51241391197243,536.1093,-259.0783,0.001372977630451366,20.7796,-27.9375,6.321,2.6709210097289118,0.23443262048109337,0.0023715384615384614,0.009014209557069964,1e-06,0.0,0.0,-50.0
0.2,-9.697992962718155,60.0,-85603.52109340196,382.9118,214.1429,-35.9358,7.8589,103509.88886126809,536.1093,-259.0783,0.7742234938831062,20.7796,-27.9375,6.321,5.08100567131571,0.23434706326399324,0.0023715384615384614,0.014963318706145912,1e-06,0.0,0.0,-50.0
0.30000000000000004,-49.463595899376045,60.0,-3127.8918995836325,382.9118,214.1429,-35.9358,7.8589,19590.52285878037,536.1093,-259.0783,0.174329522957814,20.7796,-27.9375,6.321,2.5638949890745297,0.23425628339827353,0.0023715384615384614,0.008817331449845662,1e-06,0.0,0.0,-50.0
0.4,-51.57230902780563,60.0,-1867.5665723535028,382.9118,214.1429,-35.9358,7.8589,70.03120031304937,536.1093,-259.0783,0.000629517183307019,20.7796,-27.9375,6.321,2.4303382897996872,0.234238714256789,0.0023715384615384614,0.008573477128397062,1e-06,-0.0,0.0,-50.0
0.5,-46.16200084766999,60.0,-6875.584544670707,382.9118,214.1429,-35.9358,7.8589,231.09551989894854,536.1093,-259.0783,0.0020245535864980594,20.7796,-27.9375,6.321,2.772214087620339,0.2342136909146163,0.0023715384615384614,0.009213137750058309,1e-06,0.0,0.0,-50.0
0.6000000000000001,-16.872910848450513,60.0,-87772.44775414116,382.9118,214.1429,-35.9358,7.8589,114204.55328140061,536.1093,-259.0783,0.8795211271039911,20.7796,-27.9375,6.321,4.6222703674549726,0.23410640404384422,0.0023715384615384614,0.01360143604497177,1e-06,0.0,0.0,-50.0
0.7000000000000001,-52.31114685695525,60.0,-1556.65362301149,382.9118,214.1429,-35.9358,7.8589,5775.601770640521,536.1093,-259.0783,0.052102954602453365,20.7796,-27.9375,6.321,2.3815893444807923,0.234040055354738,0.0023715384615384614,0.008489642064673614,1e-06,-0.0,0.0,-50.0
0.8,-50.98940768320858,60.0,-2155.129907133649,382.9118,214.1429,-35.9358,7.8589,70.26802885620083,536.1093,-259.0783,0.0006298766825666784,20.7796,-27.9375,6.321,2.4649290376241764,0.23402276827480756,0.0023715384615384614,0.00864020207460881,1e-06,-0.0,0.0,-50.0
0.9,-43.48067905864529,60.0,-12612.235828630211,382.9118,214.1429,-35.9358,7.8589,412.44291013675735,536.1093,-259.0783,0.003568342538092274,20.7796,-27.9375,6.321,2.9390251924561692,0.23399478475408306,0.0023715384615384614,0.00954762145830592,1e-06,0.0,0.0,-50.0
1.0,-24.643437538652293,60.0,-86545.56396931091,382.9118,214.1429,-35.9358,7.8589,110783.58981373822,536.1093,-259.0783,0.8814544960491747,20.7796,-27.9375,6.321,4.126983228592267,0.23387281235759555,0.0023715384615384614,0.01226595297870023,1e-06,0.0,0.0,-50.0
