value_component_environment_variable_time,value_component_T_variable_T,value_component_T_star_variable_T_star,value_component_T_star_variable_k,value_component_VI_variable_VI,value_component_VNI_variable_VNI,value_component_VNI_variable_N,value_component_V_variable_V,value_component_kinetic_parameters_variable_c,value_component_kinetic_parameters_variable_delta
0.0,170000.0,0.0,2.4e-05,216000.0,0.0,774.0,216000.0,3.07,0.49
0.1,170000.0,73962.79954149573,2.4e-05,158900.53018650544,1342313.8015631954,774.0,1501214.331749701,3.07,0.49
0.2,170000.0,124836.75974870444,2.4e-05,116895.27101615405,4329183.075462497,774.0,4446078.346478651,3.07,0.49
0.30000000000000004,170000.0,158894.52833715864,2.4e-05,85994.07679046007,7884754.613373781,774.0,7970748.690164241,3.07,0.49
0.4,170000.0,180742.49107967134,2.4e-05,63261.5968602186,11392440.043444254,774.0,11455701.640304472,3.07,0.49
0.5,170000.0,193761.64610994054,2.4e-05,46538.43345506586,14527021.534823619,774.0,14573559.968278686,3.07,0.49
0.6000000000000001,170000.0,200431.88874618243,2.4e-05,34236.027797289935,17143452.800077032,774.0,17177688.82787432,3.07,0.49
0.7000000000000001,170000.0,202570.57410269047,2.4e-05,25185.75536720369,19204093.283032168,774.0,19229279.038399372,3.07,0.49
0.8,170000.0,201507.99271480122,2.4e-05,18527.91675165247,20731836.69592012,774.0,20750364.612671774,3.07,0.49
0.9,170000.0,198216.44348834577,2.4e-05,13630.073590371068,21780525.418210328,774.0,21794155.4918007,3.07,0.49
1.0,170000.0,193405.17134778175,2.4e-05,10026.972203406058,22416786.635330733,774.0,22426813.60753414,3.07,0.49
