A,NANOG,NANOG_Gene,OCT4,OCT4_Gene,OCT4_SOX2,Protein,SOX2,SOX2_Gene,degradation,p53,targetGene,Time
10.0,0.01,0.0,0.01,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.01,0.0
10.0,0.009912163590874809,0.0,0.10832413299385121,0.0,0.09512411923093661,8.949068879408793e-05,0.10832413299385121,0.0,0.0,0.0,0.01,0.01
10.0,0.009824673294250562,0.0,0.20565908394880517,0.0,0.09049643589412329,0.00017466161805873134,0.20565908394880517,0.0,0.0,0.0,0.01,0.02
10.0,0.009737553548745077,0.0,0.3020054288296008,0.0,0.08611393197050819,0.0002557371715938707,0.3020054288296008,0.0,0.0,0.0,0.01,0.03
10.0,0.009650828057448421,0.0,0.3973640360353672,0.0,0.08197345664051404,0.00033293833084281627,0.3973640360353672,0.0,0.0,0.0,0.01,0.04
10.0,0.009564519850897579,0.0,0.4917360504346328,0.0,0.07807173592151827,0.000406483060648729,0.4917360504346328,0.0,0.0,0.0,0.01,0.05
10.0,0.009478651335427092,0.0,0.5851228777526722,0.0,0.07440538379959966,0.0004765865723797072,0.5851228777526722,0.0,0.0,0.0,0.01,0.06
10.0,0.0093932442517096,0.0,0.6775261868830397,0.0,0.07097090736844014,0.0005434609790437397,0.6775261868830397,0.0,0.0,0.0,0.01,0.07
10.0,0.009308319669356704,0.0,0.7689479028801895,0.0,0.06776471707089488,0.0006073151690638101,0.7689479028801895,0.0,0.0,0.0,0.01,0.08
10.0,0.009223897990387494,0.0,0.8593901993343096,0.0,0.06478313576485703,0.0006683547508582215,0.8593901993343096,0.0,0.0,0.0,0.01,0.09
10.0,0.009139998924115857,0.0,0.948855497916998,0.0,0.062022403925793924,0.0007267818199189604,0.948855497916998,0.0,0.0,0.0,0.01,0.1
10.0,0.009056641556455627,0.0,1.037346444737535,0.0,0.059478696485781093,0.0007827953147858226,1.037346444737535,0.0,0.0,0.0,0.01,0.11
10.0,0.008973844305440806,0.0,1.124865916067347,0.0,0.057148123155498914,0.0008365906782576771,1.124865916067347,0.0,0.0,0.0,0.01,0.12
10.0,0.008891624896869678,0.0,1.211417018834772,0.0,0.05502673126269938,0.0008883596382615957,1.211417018834772,0.0,0.0,0.0,0.01,0.13
