Time,OCT4_Gene,NANOG_Gene,SOX2_Gene,targetGene,degradation,p53,A,OCT4,SOX2,NANOG,OCT4_SOX2,Protein,eta1,a1,a2,a3,f,b1,b2,b3,gamma1,eta5,e1,e2,f2,f1,f3,gamma2,k1c,k2c,k3c,eta3,c1,c2,c3,d1,d2,d3,gamma3,g1,eta7,h1,h2,gamma4,compartment,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9
0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.01,0.01,0.01,0.1,0.0,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891790247285856,0.01,0.0011998786922642122,0.01,-9.5e-05,0.5,9.891790247285856,0.01,0.00917256223265614,0.0
0.01,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.10832413299385121,0.10832413299385121,0.009912163590874809,0.09512411923093661,8.949068879408793e-05,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891762040531862,0.10832413299385121,0.0011454196238600927,0.009912163590874809,0.0004915817702125417,0.47562059615468305,9.891762040531862,0.10832413299385121,0.008730242544362896,8.949068879408793e-07
0.02,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.20565908394880517,0.20565908394880517,0.009824673294250562,0.09049643589412329,0.00017466161805873134,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891735472420779,0.20565908394880517,0.0010937740861304797,0.009824673294250562,0.0020242865046389614,0.4524821794706164,9.891735472420779,0.20565908394880517,0.008310388703193505,1.7466161805873133e-06
0.03,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.3020054288296008,0.3020054288296008,0.009737553548745077,0.08611393197050819,0.0002557371715938707,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.8917104955397,0.3020054288296008,0.0010449022607669162,0.009737553548745077,0.004474250020157045,0.430569659852541,9.8917104955397,0.3020054288296008,0.00791273502141097,2.557371715938707e-06
0.04,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.3973640360353672,0.3973640360353672,0.009650828057448421,0.08197345664051404,0.00033293833084281627,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891687062369073,0.3973640360353672,0.0009987629778733,0.009650828057448421,0.007812935400075317,0.4098672832025702,9.891687062369073,0.3973640360353672,0.007537003122557753,3.3293833084281627e-06
0.05,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.4917360504346328,0.4917360504346328,0.009564519850897579,0.07807173592151827,0.000406483060648729,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891665125388933,0.4917360504346328,0.0009553138341252851,0.009564519850897579,0.01201214542893107,0.39035867960759135,9.891665125388933,0.4917360504346328,0.007182902840588296,4.06483060648729e-06
0.06,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.5851228777526722,0.5851228777526722,0.009478651335427092,0.07440538379959966,0.0004765865723797072,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891644637186195,0.5851228777526722,0.0009145113260594452,0.009478651335427092,0.017044033719678834,0.3720269189979983,9.891644637186195,0.5851228777526722,0.006850133255524033,4.765865723797072e-06
0.07,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.6775261868830397,0.6775261868830397,0.0093932442517096,0.07097090736844014,0.0005434609790437397,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891625550525351,0.6775261868830397,0.0008763109160500797,0.0093932442517096,0.02288111578824514,0.3548545368422007,9.891625550525351,0.6775261868830397,0.006538383185799717,5.434609790437397e-06
0.08,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.7689479028801895,0.7689479028801895,0.009308319669356704,0.06776471707089488,0.0006073151690638101,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891607818440944,0.7689479028801895,0.0008406671536779846,0.009308319669356704,0.02949627915012118,0.3388235853544744,9.891607818440944,0.7689479028801895,0.006247332144125726,6.073151690638102e-06
0.09,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.8593901993343096,0.8593901993343096,0.009223897990387494,0.06478313576485703,0.0006683547508582215,0.0001,1.0,0.01,0.5,1000.0,0.0011,0.001,0.001,1.0,0.0001,0.01,0.1,0.001,0.001,0.05,1.0,0.05,0.001,5.0,0.0001,1.0,0.01,0.5,0.0011,0.001,0.001,1.0,0.1,0.0001,0.0011,1.0,0.01,1.0,9.891591394320187,0.8593901993343096,0.0008075337833594526,0.009223897990387494,0.036862792599828366,0.3239156788242852,9.891591394320187,0.8593901993343096,0.0059766511869084596,6.683547508582215e-06
