data_generator_T,data_generator_X,data_generator_XN,data_generator_XR
0.0,2.0,-3.0,-1.0
0.048,1.7310961,-1.5533201,2.3083751
0.096000001,1.7328918,-1.5510255,2.2451341
0.14399999,1.7359672,-1.5553977,2.1826212
0.192,1.7380897,-1.5561192,2.1207373
0.23999999,1.7405699,-1.5549253,2.0589099
0.28799999,1.7407554,-1.5544593,1.9978712
0.336,1.7429636,-1.553589,1.9370329
0.384,1.7450871,-1.555433,1.8757476
0.43200001,1.7470732,-1.5525802,1.8160937
0.47999999,1.7508876,-1.5534841,1.7552042
0.528,1.7532022,-1.5549774,1.6928222
0.57599998,1.7523389,-1.5558624,1.6282682
0.62400001,1.7538009,-1.5552191,1.5602007
0.67199999,1.7555138,-1.5530525,1.4892626
0.72000003,1.7550811,-1.5523014,1.4070181
0.76800001,1.7568209,-1.5507331,1.3163744
0.81599998,1.7589344,-1.5490127,1.2019191
0.86400002,1.7612902,-1.5472463,1.0319542
0.912,1.7623512,-1.5413485,0.63626128
0.95999998,1.7646335,-1.4988637,-1.8902994
1.008,1.7680304,-1.4845657,-1.9573395
1.056,1.7702808,-1.4884434,-1.8975532
1.104,1.7725979,-1.4892631,-1.8442374
1.152,1.7744315,-1.4903535,-1.793803
1.2,1.7759854,-1.4898382,-1.7465224
1.248,1.7810837,-1.4909357,-1.7039351
1.296,1.7829744,-1.4899251,-1.6634358
1.344,1.7847646,-1.49045,-1.6287643
1.392,1.7860686,-1.487758,-1.5955527
1.4400001,1.786945,-1.4879318,-1.5663848
1.488,1.7881628,-1.4869553,-1.5406166
1.536,1.7892752,-1.4891461,-1.5174071
1.584,1.7901791,-1.4917579,-1.4933357
1.632,1.7922537,-1.4934187,-1.4728796
1.6799999,1.7948755,-1.491416,-1.4570266
1.728,1.7959273,-1.4927227,-1.4417224
1.776,1.7986624,-1.4943213,-1.427942
1.824,1.8005238,-1.4957556,-1.418503
1.872,1.8024807,-1.4952468,-1.4107429
1.92,1.8030999,-1.4926186,-1.4030683
1.9680001,1.8029801,-1.4922905,-1.3963732
2.016,1.8034686,-1.490675,-1.3904775
2.0639999,1.8069338,-1.489704,-1.3830206
2.112,1.810106,-1.490813,-1.3779873
2.1600001,1.8103666,-1.491564,-1.375018
2.2079999,1.8115146,-1.4919498,-1.3742554
2.256,1.8145581,-1.4929926,-1.3745695
2.3039999,1.8155047,-1.4922434,-1.3758065
2.352,1.8182173,-1.4914474,-1.3755528
2.4000001,1.8194314,-1.4926746,-1.3753831
2.448,1.8209926,-1.4916531,-1.3709961
2.4960001,1.8231463,-1.4887702,-1.3715987
2.5439999,1.8233296,-1.4886509,-1.3696114
2.592,1.8246599,-1.491624,-1.3676111
2.6400001,1.8264562,-1.491248,-1.3648204
2.688,1.8286248,-1.4932399,-1.3590295
2.7360001,1.8311017,-1.4904346,-1.3576349
2.7839999,1.8326082,-1.4919235,-1.3563287
2.832,1.8335608,-1.4953328,-1.3565477
2.8800001,1.8339826,-1.496639,-1.3584332
2.928,1.8350477,-1.4976532,-1.3602536
2.9760001,1.8349074,-1.4968662,-1.3646103
3.0239999,1.8351673,-1.4962155,-1.3660862
3.072,1.8358848,-1.4949161,-1.366206
3.1199999,1.83887,-1.4952211,-1.3671395
3.168,1.8402698,-1.4920119,-1.3665689
3.2160001,1.840809,-1.4896115,-1.3632296
3.2639999,1.8406521,-1.4890896,-1.3623666
3.312,1.8418881,-1.4924442,-1.3632896
3.3599999,1.8427387,-1.4914123,-1.3662736
3.408,1.8440919,-1.4949951,-1.3683858
3.4560001,1.8438203,-1.4968922,-1.3687232
3.5039999,1.8464695,-1.5011268,-1.3692685
3.552,1.8467745,-1.5032223,-1.3714001
3.5999999,1.8472836,-1.5037535,-1.3655922
3.648,1.8476729,-1.5023963,-1.366066
3.6960001,1.8494107,-1.5030774,-1.3649848
3.744,1.8509132,-1.504491,-1.3656541
3.7920001,1.8522468,-1.5048493,-1.3657554
3.8399999,1.8543811,-1.5060184,-1.3662957
3.888,1.8547008,-1.5079614,-1.3665357
3.9360001,1.855068,-1.5080365,-1.3678923
3.984,1.8557488,-1.51241,-1.3684363
4.0320001,1.8571169,-1.5141567,-1.3673632
4.0799999,1.8580427,-1.5158967,-1.3655562
4.1279998,1.8572332,-1.5139898,-1.3627359
4.1760001,1.8590527,-1.513957,-1.363049
4.224,1.8583273,-1.5141581,-1.3652031
4.2719998,1.8600585,-1.516179,-1.3670729
4.3200002,1.8616561,-1.5158688,-1.3684618
4.368,1.8616679,-1.5139482,-1.3667772
4.4159999,1.8626357,-1.5114069,-1.3633186
4.4640002,1.8619931,-1.5085956,-1.3620027
4.5120001,1.8625484,-1.50853,-1.3675874
4.5599999,1.8611189,-1.5103668,-1.3696194
4.6079998,1.8631822,-1.5109564,-1.374223
4.6560001,1.8653098,-1.512827,-1.3735646
4.704,1.8665609,-1.5126051,-1.3726314
4.7519999,1.8670368,-1.5132364,-1.3718724
4.8000002,1.8687785,-1.5151618,-1.372884
4.848,1.8671691,-1.5147923,-1.3727934
4.8959999,1.8648423,-1.5155137,-1.3741755
4.9439998,1.8633065,-1.5136846,-1.3714528
4.9920001,1.8639482,-1.5163587,-1.3713075
5.04,1.8631489,-1.5145969,-1.3715687
5.0879998,1.8609884,-1.5162656,-1.3744754
5.1360002,1.8607274,-1.5181096,-1.3730108
5.184,1.8613033,-1.5192112,-1.3762559
5.2319999,1.8617319,-1.5192382,-1.3811105
5.2800002,1.8610828,-1.5186383,-1.3861166
5.3280001,1.860373,-1.5164195,-1.3830395
5.3759999,1.8614604,-1.5143863,-1.3810529
5.4239998,1.8605219,-1.5145609,-1.3796173
5.4720001,1.8599488,-1.5142543,-1.3774009
5.52,1.8599534,-1.5163991,-1.3769259
5.5679998,1.8603671,-1.5162271,-1.373866
5.6160002,1.8591797,-1.5183554,-1.3706176
5.664,1.8589491,-1.5195802,-1.3678412
5.7119999,1.8583503,-1.5182922,-1.3705533
5.7600002,1.8581743,-1.5175138,-1.3709414
5.8080001,1.8565899,-1.5162398,-1.3700731
5.8559999,1.854931,-1.5172698,-1.3709033
5.9039998,1.8540217,-1.5180926,-1.3710862
5.9520001,1.8538108,-1.5173218,-1.3702848
6.0,1.8535454,-1.5171924,-1.3701731
6.0479999,1.8512402,-1.5198948,-1.3724085
6.0960002,1.8518049,-1.5224128,-1.3754021
6.1440001,1.849249,-1.5242893,-1.3804724
6.1919999,1.8492217,-1.5265834,-1.3809258
6.2399998,1.8475062,-1.5272399,-1.3819991
6.2880001,1.8465167,-1.5276374,-1.3833146
6.336,1.8445697,-1.5290636,-1.381822
6.3839998,1.8437299,-1.5300528,-1.3824668
6.4320002,1.8428099,-1.5333827,-1.3814852
6.48,1.8412049,-1.5348816,-1.3824644
6.5279999,1.8385016,-1.534562,-1.3862356
6.5760002,1.8354448,-1.5351846,-1.3832295
6.6240001,1.8358402,-1.5353411,-1.3809103
6.6719999,1.8348618,-1.5356178,-1.3797138
6.7199998,1.8324267,-1.5355227,-1.3803778
6.7680001,1.8305492,-1.5353438,-1.380507
6.816,1.8294325,-1.5354215,-1.3821883
6.8639998,1.8287221,-1.5377218,-1.3788365
6.9120002,1.8285688,-1.5369698,-1.3765273
6.96,1.8246144,-1.5382966,-1.3720497
