Time,DFG,E1,E2,Cn,Gly,_3DG,FA,_1DG,AA,Man,Glu,MG,Mel,Fru,compartment,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16
0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0513,0.1404,0.1395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,8.99668860933359,0.0005122311859712147,0.001402157264840228,0.0013946325077039794,0.0013970021935148023,2.0337955130982504e-07,1.1090166887034602e-07,1.4810040589642432e-06,1.2032401700772576e-07,1.8116384890922036e-07,2.898100398363774e-07,1.108830819397851e-07,2.208082913334363e-11,9.398570785897047e-08,1.0,0.05128112507320147,0.140348342305604,0.13944867344467066,4.067115616611445e-05,1.8446525303801132e-08,5.572599705889206e-09,0.0002979584187785485,0.0,2.826496246533258e-06,3.621474484816488e-05,5.7933347133344384e-05,1.449310791273763e-10,6.375820876400303e-10,6.624235886192329e-09,2.2174656872493273e-05,1.878890734885906e-05
0.02,8.99337843703441,0.0010229274859721131,0.002800634733108894,0.0027885303922591588,0.0027980005697451214,8.123938705638695e-07,4.4360276598480894e-07,5.881463000504089e-06,5.185536597028579e-07,7.239293748766539e-07,1.1580752593035958e-06,4.434542622032096e-07,1.767588711954736e-10,3.756138170976499e-07,1.0,0.05126225709109614,0.1402967036177368,0.13939736577403336,8.122044238618577e-05,7.368412406014297e-08,2.2259592053450023e-08,0.0005951348807856399,0.0,1.1224772136462054e-05,7.232097325822839e-05,0.000115693098663446,5.791434999013232e-10,2.547765570467911e-09,2.6527852729395225e-08,4.433763323692063e-05,3.752850542365918e-05
0.03,8.99006948265453,0.001532093003618812,0.004195440897241961,0.004181694193178474,0.004202982847544279,1.8253605586940889e-06,9.98097510904681e-07,1.313844075773864e-05,1.2496982350503397e-06,1.6272100249525375e-06,2.6030522831202545e-06,9.975968398132351e-07,5.970602309049488e-10,8.44391834587659e-07,1.0,0.05124339605113082,0.14024508392941065,0.1393460769811452,0.00012164818448733368,1.6556020267355388e-07,5.001487930821804e-08,0.0008915311906639167,0.0,2.5074714186144195e-05,0.00010831897535585002,0.00017327971870928765,1.30176801996203e-09,5.72671502286456e-09,5.975700248985577e-08,6.648893767153774e-05,5.6218908023042284e-05
0.04,8.98676174574583,0.0020397318319705666,0.005586584231142629,0.005574124448022923,0.005611936774578441,3.240602383663099e-06,1.7743796801135624e-06,2.319021844508202e-05,2.3675673994516456e-06,2.8899220984864285e-06,4.62300231488368e-06,1.773194137657584e-06,1.4164703890954735e-09,1.4998283711630163e-06,1.0,0.05122454195075124,0.14019348323363495,0.1392948070590604,0.00016195470745846297,2.939226361982431e-07,8.879250531236891e-08,0.0011871491491178086,0.0,4.425853190243904e-05,0.00014420904052031905,0.0002306936701958711,2.311937678789143e-09,1.0170605092744096e-08,1.0635755551818443e-07,8.862857872356448e-05,7.486022869731122e-05
0.05,8.98345522586037,0.002545848053278826,0.00697407318947657,0.00696582169221904,0.007024850127935279,5.056447308500749e-06,2.772442676324954e-06,3.5976261228145285e-05,3.9248048731377685e-06,4.510984799596855e-06,7.216191220724217e-06,2.770129564429236e-06,2.7689318525525334e-09,2.341433174559245e-06,1.0,0.05120569478740411,0.14014190152342176,0.13924355600083574,0.0002021403354303388,4.586197708810179e-07,1.3854665625292052e-07,0.001481990552763771,0.0,6.866069455391527e-05,0.000179991457366813,0.00028793541482583526,3.608787839677484e-09,1.587562068559328e-08,1.663751015795815e-07,0.00011075656490628274,9.345258073898603e-05
0.06,8.980149922550362,0.003050445739085253,0.008357916207840982,0.008356786459080076,0.008441710713863858,7.2712284439408926e-06,3.9922795317448565e-06,5.143718956949676e-05,5.97291703579733e-06,6.489320210976308e-06,1.038088948725916e-05,3.988286613625463e-06,4.788838893457821e-09,3.3687171194746057e-06,1.0,0.05118685455853707,0.14009033879178565,0.13919232379953062,0.00024220539168336906,6.59500419865439e-07,1.9923165936398046e-07,0.0017760571941662087,0.0,9.816787629338457e-05,0.00021566651375332736,0.0003450054130905421,5.191456168781047e-09,2.283795687197015e-08,2.398549508693015e-07,0.00013287290469937322,0.00011199607718506917
0.07,8.976845835368193,0.0035535289501544528,0.00973812170264389,0.0097470192797935,0.009862506367960103,9.883284081202721e-06,5.433882905238604e-06,6.951477376172395e-05,8.562278507388711e-06,8.823853312051732e-06,1.4115372250744962e-05,5.427548863659535e-06,7.6110403083353e-09,4.581192214743807e-06,1.0,0.0511680212615987,0.1400387950317438,0.13914111044820698,0.00028215019864226355,8.964138661650868e-07,2.7080198382495457e-07,0.0020693508618118265,0.0,0.00013266894572425017,0.0002512344967759198,0.0004019041242624686,7.059082649641386e-09,3.105381895163892e-08,3.2684213503301723e-07,0.00015497760654871665,0.00013049083081542812
0.08,8.973542963866407,0.004055101736495359,0.011114698071135017,0.011136520683427383,0.011287224955116913,1.2890957681426227e-05,7.097245083092506e-06,9.015191312007377e-05,1.1742152927844555e-05,1.1513511973547246e-05,1.841791928834921e-05,7.0877999775668424e-06,1.1370837060158172e-08,5.978371601612521e-06,1.0,0.051149194894038526,0.13998727023631594,0.1390899159399293,0.0003219750778777315,1.169209861705359e-06,3.5321224047107864e-07,0.0023618733401161913,0.0,0.00017205492618966082,0.0002866956927702219,0.0004586320063976251,9.210809578837798e-09,4.0519422434368265e-08,4.273814081819345e-07,0.0001770706788664954,0.00014893695415320923
0.09,8.970241307597718,0.004555168137437254,0.01248765369153216,0.01252529119694846,0.012715854369327642,1.6292597835865616e-05,8.982357982104336e-06,0.00011329260495005816,1.5560723864965297e-05,1.4557226936027646e-05,2.328681498370829e-05,8.968923702367075e-06,1.6203976618537098e-08,7.5597695459270335e-06,1.0,0.051130375453306995,0.1399357643985244,0.1390387402677646,0.000361680350112518,1.4777386237130115e-06,4.464171807027179e-07,0.0026536264094505838,0.0,0.000216218936547186,0.00032205038731681387,0.0005151895163441535,1.1645781548822118e-08,5.123099296415824e-08,5.415172478989816e-07,0.00019915213003148053,0.00016733455946653093
