Time,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1,TGFb,h,k1,k2,k3,k4,k7,k8,k9,k10,k11,k12,k13,k5,k6,k14,k15,k16,k17,k18,k19,c,n,extracellular,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
0.0,1010.0,0.0,0.0,0.0,6999.999999999998,0.0,11999.999999999998,0.0,0.0,0.0,0.0,82000.0,0.0,0.0,0.0,135000.0,0.0,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.0,2.039594,0.0,0.0,0.0,0.0,0.0,72.79999999999998,61.5,0.0,0.0,0.0,0.0,124.79999999999997,101.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1009.991132436464,0.008853213549590034,1.4349986431790766e-05,4.9521776486422e-65,6999.950870857075,3.131496148371182e-09,11999.897611394506,2.4669197452257473e-27,4.810319497661629e-15,3.964929785348161e-48,4.541596292627226e-54,82000.11299702153,4.7687458100430975e-33,8.142532043624504e-14,1.24629066761764e-18,135000.2354937926,1.6556030791106395e-43,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,9.081626459169456e-05,2.0395760928421955,0.006597414737154493,6.336954008278802e-08,8.22924889060989e-62,1.4693111083521405e-69,2.160160046430121e-06,72.79948905691357,61.500084747766145,1.1547861346665554e-24,5.237023927139739e-29,4.4251420798535685e-12,1.0211827261585872e-16,124.79893515850286,101.25017662034445,1.3161510224728406e-30,3.256755994306029e-11,6.106899032718378e-17,2.5664016583924323e-18,1.3353752551544186e-16,3.394602397770334e-34,4.4015523826697794e-35,5.628127966233909e-16,1.1503262862110817e-20,5.002089171062794e-42,3.542990589296768e-45,7.34106749757212e-52,3.957792911734534e-49,4.303616646893559e-57
0.02,1009.982265344987,0.0176773183610074,5.733665205980559e-05,9.181383376741248e-61,6999.901744285276,2.503079261731081e-08,11999.79522818653,1.1453947758716193e-25,7.69158819904088e-14,9.163553299677116e-46,9.282362822936097e-51,82000.2259880863,2.2703052058548354e-31,1.3019802840401317e-12,3.6423381429291644e-17,135000.47097517096,2.9962339657487824e-41,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.0001813339317472139,2.039558186637667,0.013173137642622712,2.531986554961015e-07,6.720336983543411e-58,2.724116447879128e-65,8.631051766099414e-06,72.79897814056687,61.500169491064725,7.378141858902472e-23,2.4315585696978605e-27,3.5370910072624414e-11,1.6328472587743884e-15,124.7978703731399,101.25035323137823,6.110910208230263e-29,2.603202432200324e-10,9.764852130300988e-16,4.10361613595229e-17,2.135247665825816e-15,8.679181619349618e-32,2.095491705004013e-33,8.999319119145199e-15,3.361878105923619e-19,5.2314119772033664e-39,6.4119406867023935e-43,1.6966318934352183e-49,9.147058903737696e-47,8.795967011014244e-54
0.03,1009.9733987242686,0.026472410440106505,0.00012886529127604469,4.016519338420243e-58,6999.852620265756,8.440754947253951e-08,11999.692850375786,1.6618805046279927e-24,3.8911708145605647e-13,4.630863457921852e-44,1.752685491692451e-48,82000.33897319461,3.867112123943018e-30,6.5867584968842235e-12,2.745522338997016e-16,135000.70644413566,1.3391893413354047e-39,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.00027155398629461256,2.039540281383788,0.019727240259967367,5.690691262750133e-07,2.8519383414811512e-55,1.191701287709286e-62,1.9398328196432518e-05,72.79846725076386,61.50025422989596,8.38996947881276e-22,3.528006123274766e-26,1.1927494329465637e-10,8.260566522230622e-15,124.79680564390817,101.25052983310175,8.866464868291267e-28,8.778385145144109e-10,4.940068872663168e-15,2.0760174529843524e-16,1.0802283934890126e-14,2.221331839809358e-30,3.569344490399406e-32,4.552791297312171e-14,2.5341171188942457e-18,3.355390304578812e-37,2.865865190457766e-41,8.574043692342309e-48,4.622527903697593e-45,1.6608447719277665e-51
0.04,1009.9645325730131,0.03523858547610131,0.00022884151082681528,3.199248027854518e-56,6999.803498779727,1.9990819392825182e-07,11999.59047796199,1.1940813630675035e-23,1.2289399743872137e-12,1.0420663610333348e-42,8.064960857848138e-47,82000.4519523468,3.390431816143177e-29,2.080296395955419e-11,1.1560355508943089e-15,135000.94190068738,2.7084982403682553e-38,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.0003614774098138472,2.039522377077943,0.02625979389679069,1.0105641118112162e-06,2.330436376745227e-53,9.492168898644354e-61,3.444768980329974e-05,72.79795638730916,61.5003389642601,4.7060765593194355e-21,2.534915325656003e-25,2.824846263682287e-10,2.6089166716266158e-14,124.7957409708047,101.25070642551553,6.370662888237744e-27,2.079045216853819e-09,1.5602222969665643e-14,6.556640551350662e-16,3.411686089366887e-14,2.2157481446528542e-29,3.1293685663001523e-31,1.4379109011793246e-13,1.0670208134754472e-17,6.48479474068642e-36,5.796186234388066e-40,1.9293858674532194e-46,1.0401906415834747e-43,7.642356908896895e-50
0.05,1009.9556668899287,0.04397593884259877,0.00035717122879361035,1.0902116254178626e-54,6999.754379808475,3.9011612723112896e-07,11999.488110944858,5.616081249920926e-23,2.9982378703243102e-12,1.326773233577554e-41,1.6738779735450802e-45,82000.56492554318,1.9299737715169764e-28,5.075323557331967e-11,3.525843962169273e-15,135001.17734482675,3.0830918337102324e-37,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.00045110518064737817,2.039504473717522,0.0327708696255046,1.5772681463525834e-06,7.549191511958713e-52,3.2346578926147983e-59,5.37648843257929e-05,72.79744555000813,61.500423694157384,1.7921964199391905e-20,1.1922378885457132e-24,5.51257385491195e-10,6.364959174911478e-14,124.79467635382652,101.25088300862006,2.9962916684578126e-26,4.057207723203741e-09,3.806492667998975e-14,1.599619868575426e-15,8.323530634024426e-14,1.3188561516343712e-28,1.7813657911101693e-30,3.5080942369062395e-13,3.254353977082239e-17,6.449670756259143e-35,6.597816524139897e-39,2.4565206419688412e-45,1.3243850417571143e-42,1.586166767731318e-48
0.06,1009.946801673728,0.05268456559864409,0.00051376067356161,2.0771607371492182e-53,6999.705263333341,6.735519340521352e-07,11999.385749324107,2.0005568449815206e-22,6.212788242028973e-12,1.1363707234077912e-40,1.9657411283772826e-44,82000.67789278402,8.148892627589354e-28,1.0516889315959439e-10,8.768238044788321e-15,135001.4127765545,2.3285034177362022e-36,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.000540438273910891,2.0394865712999266,0.039260538284109574,2.2687671344480696e-06,1.275226597877858e-50,6.1629359071217304e-58,7.73357066191461e-05,72.79693473866674,61.500508419588016,5.342443919822619e-20,4.24698212621127e-24,9.517609882346612e-10,1.3189128159003307e-13,124.79361179297071,101.25105958241588,1.067337087934541e-25,7.004940114142206e-09,7.88766698696958e-14,3.3146467828872973e-15,1.724769847817348e-13,5.66297399726806e-28,7.521427895264974e-30,7.269349968226182e-13,8.093083715339621e-17,4.212840204623187e-34,4.982997313955473e-38,2.1039903943895254e-44,1.1343252561056572e-41,1.862736293250313e-47
0.07,1009.9379369231275,0.061364560489753854,0.0006985163828006133,1.6487161491788665e-50,6999.656149335725,1.0686735893506827e-06,11999.283393099446,6.20340853493009e-22,1.150189451539809e-11,2.2423958416144567e-38,1.5207646417058585e-42,82000.79085406967,3.624613300716646e-27,1.9470326509795726e-10,1.8939785671902532e-14,135001.64819587118,9.929878950258731e-35,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.000629477661503895,2.039468669822564,0.04572887047696457,3.084648346447508e-06,1.3413397142803247e-48,4.891740814613696e-55,0.00010514599849953571,72.79642395309153,61.50059314055225,1.3448936721019108e-19,1.3169215978803088e-23,1.510073839753274e-09,2.4417371866738603e-13,124.79254728823423,101.2512361469034,3.3096425215559016e-25,1.11142053292471e-08,1.4602744882346796e-13,6.136490761855189e-15,3.193133547606499e-13,1.940959305718038e-27,3.3455180765614646e-29,1.3458053989039038e-12,1.7481422175166037e-16,2.0585821694173133e-33,2.1249940953553683e-36,4.1517959007491664e-42,2.2383595290995505e-39,1.4410765744804712e-45
0.08,1009.9290726368486,0.07001601794891969,0.0009113452024746678,1.9729919568471635e-49,6999.607037797098,1.593876659395076e-06,11999.181042270593,1.8867679170281547e-21,1.9607999158628965e-11,2.64897073528877e-37,1.7218755140847936e-41,82000.90380940038,1.814961504420102e-26,3.319252047512433e-10,3.689833904881774e-14,135001.88360277753,1.092667835236854e-33,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.0007182243121200181,2.039450769282852,0.05217593657553495,4.0245004141281326e-06,1.981457868235275e-47,5.853867135965534e-54,0.0001371816485932081,72.79591319308982,61.500677857050285,2.991625447597126e-19,4.00541961105907e-23,2.2521852707226242e-09,4.162582141385343e-13,124.79148283961416,101.25141270208314,1.0066284190928611e-24,1.6576317257708792e-08,2.489439035634325e-13,1.0461259711111725e-14,5.44357335792039e-13,5.640926287316726e-27,1.6752094685797544e-28,2.294299026260759e-12,3.4057166942058775e-16,8.132229499025125e-33,2.3383091674068675e-35,4.904569316387159e-41,2.64420258796525e-38,1.6316492371467503e-44
0.09,1009.9202088136166,0.07863903209769131,0.0011521542857741566,6.611059943857902e-49,6999.55792869899,2.2674945185727706e-06,11999.078696837265,4.6608544399444705e-21,3.138626623933328e-11,8.867118602811342e-37,5.754623377153782e-41,82001.01675877649,5.35471786375633e-26,5.313120967745745e-10,6.644293641809507e-14,135002.11899727417,3.6400070762973987e-33,460.0,2.06,0.00446,4.39e-06,0.324,0.00192,9.35e-06,0.0104,0.00075,5.12e-08,0.00923,0.0513,0.00164,0.000549,1.29e-05,0.038,28.52,0.0214,8.05e-05,0.0434,0.000412,2.3,1.0,1.0,0.0008066791912581176,2.039432869678217,0.05860180671919957,5.0879133259786745e-06,8.371971201389801e-47,1.9615014853426393e-53,0.00017342859217394328,72.79540245846948,61.50076256908237,6.0546673669337025e-19,9.894527890558116e-23,3.203995847572692e-09,6.662990459948063e-13,124.79041844710756,101.25158924795564,2.486659060799174e-24,2.358194299315681e-08,3.9848407258093086e-13,1.6745200764009093e-14,8.713518387103021e-13,1.4453378261964535e-26,4.942404588247092e-28,3.6724868563687604e-12,6.132683031390176e-16,2.7316191418706113e-32,7.789615143276433e-35,1.6417470093105199e-40,8.85115778932628e-38,5.453081112190924e-44
