CoSmad,CoSmad_N,I_Smad,I_Smad_TGFb_TGFbR_P,I_Smad_mRNA1,I_Smad_mRNA2,Smad,Smad_N,Smad_P,Smad_P_CoSmad,Smad_P_CoSmad_N,Smad_P_N,Smad_P_Smad_P,Smad_P_Smad_P_N,TGFb,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,Time
11999.999999999998,135000.0,0.0,0.0,0.0,0.0,6999.999999999998,82000.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,1010.0,0.0,0.0,0.0
11999.897611394506,135000.2354937926,4.541596292627226e-54,4.9521776486422e-65,1.6556030791106395e-43,3.964929785348161e-48,6999.950870857075,82000.11299702153,3.131496148371182e-09,4.810319497661629e-15,1.24629066761764e-18,8.142532043624504e-14,2.4669197452257473e-27,4.7687458100430975e-33,460.0,1009.991132436464,0.008853213549590034,1.4349986431790766e-05,0.01
11999.79522818653,135000.47097517096,9.282362822936097e-51,9.181383376741248e-61,2.9962339657487824e-41,9.163553299677116e-46,6999.901744285276,82000.2259880863,2.503079261731081e-08,7.69158819904088e-14,3.6423381429291644e-17,1.3019802840401317e-12,1.1453947758716193e-25,2.2703052058548354e-31,460.0,1009.982265344987,0.0176773183610074,5.733665205980559e-05,0.02
11999.692850375786,135000.70644413566,1.752685491692451e-48,4.016519338420243e-58,1.3391893413354047e-39,4.630863457921852e-44,6999.852620265756,82000.33897319461,8.440754947253951e-08,3.8911708145605647e-13,2.745522338997016e-16,6.5867584968842235e-12,1.6618805046279927e-24,3.867112123943018e-30,460.0,1009.9733987242686,0.026472410440106505,0.00012886529127604469,0.03
11999.59047796199,135000.94190068738,8.064960857848138e-47,3.199248027854518e-56,2.7084982403682553e-38,1.0420663610333348e-42,6999.803498779727,82000.4519523468,1.9990819392825182e-07,1.2289399743872137e-12,1.1560355508943089e-15,2.080296395955419e-11,1.1940813630675035e-23,3.390431816143177e-29,460.0,1009.9645325730131,0.03523858547610131,0.00022884151082681528,0.04
11999.488110944858,135001.17734482675,1.6738779735450802e-45,1.0902116254178626e-54,3.0830918337102324e-37,1.326773233577554e-41,6999.754379808475,82000.56492554318,3.9011612723112896e-07,2.9982378703243102e-12,3.525843962169273e-15,5.075323557331967e-11,5.616081249920926e-23,1.9299737715169764e-28,460.0,1009.9556668899287,0.04397593884259877,0.00035717122879361035,0.05
11999.385749324107,135001.4127765545,1.9657411283772826e-44,2.0771607371492182e-53,2.3285034177362022e-36,1.1363707234077912e-40,6999.705263333341,82000.67789278402,6.735519340521352e-07,6.212788242028973e-12,8.768238044788321e-15,1.0516889315959439e-10,2.0005568449815206e-22,8.148892627589354e-28,460.0,1009.946801673728,0.05268456559864409,0.00051376067356161,0.06
11999.283393099446,135001.64819587118,1.5207646417058585e-42,1.6487161491788665e-50,9.929878950258731e-35,2.2423958416144567e-38,6999.656149335725,82000.79085406967,1.0686735893506827e-06,1.150189451539809e-11,1.8939785671902532e-14,1.9470326509795726e-10,6.20340853493009e-22,3.624613300716646e-27,460.0,1009.9379369231275,0.061364560489753854,0.0006985163828006133,0.07
11999.181042270593,135001.88360277753,1.7218755140847936e-41,1.9729919568471635e-49,1.092667835236854e-33,2.64897073528877e-37,6999.607037797098,82000.90380940038,1.593876659395076e-06,1.9607999158628965e-11,3.689833904881774e-14,3.319252047512433e-10,1.8867679170281547e-21,1.814961504420102e-26,460.0,1009.9290726368486,0.07001601794891969,0.0009113452024746678,0.08
11999.078696837265,135002.11899727417,5.754623377153782e-41,6.611059943857902e-49,3.6400070762973987e-33,8.867118602811342e-37,6999.55792869899,82001.01675877649,2.2674945185727706e-06,3.138626623933328e-11,6.644293641809507e-14,5.313120967745745e-10,4.6608544399444705e-21,5.35471786375633e-26,460.0,1009.9202088136166,0.07863903209769131,0.0011521542857741566,0.09
