Vthresh,a,b,c,d,i,u,v,Time
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.0
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.01
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.02
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.03
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.04
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.05
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.06
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.07
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.08
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.09
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.1
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.11
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.12
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.13
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.14
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.15
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.16
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.17
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.18
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.19
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.2
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.21
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.22
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.23
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.24
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.25
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.26
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.27
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.28
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.29
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.3
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.31
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.32
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.33
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.34
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.35
30.0,0.02,0.2,-65.0,6.0,0.0,-14.0,-70.0,0.36
