Time,CaI,IP3,g,CaO,CaS,CaM,A,B,D,E,F,k2,L,R,kIP3R,PMleak,kSTIM,mw004dcb62_da5f_41c7_a7bd_033574894f48,mw78dd80b8_e003_4c62_81d1_547d001767af,mw3a93c3a6_623a_44fe_84e9_a47823defd1f,mwd21d3f76_d133_4053_8e44_02a538657e0a,mwf998b218_be11_4aa4_81ae_41141861fb42,mwc714c217_c8fd_4024_912c_681cd6931f59,mwd90ce3ea_f8d5_4f0a_8093_e39a2d3dbf33,mw886be93a_22c7_4966_a1fa_113afd832ae3,mwc8d6bdb5_59d4_43fa_b96d_7426f4857e0d,cytosol,outside,ER_store,mitochondria,kPLC,JPump,JChannel,kPhosphatase,inhibition_parameter1,inhibition_parameter2,mwbdcd6a40_1ae7_4c86_a99f_1fba0b8beaf7,mw530793e3_76b2_4483_be11_e94364306712,mwfaf5e05a_b642_4ee2_a069_3c2fc783fba4,mw69f19152_7258_45b0_bf9e_b196f19d7e03,ERtoMito
0.0,0.05,0.0,0.002,1000.0,2.0,0.0,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05,0.020075471698113214,0.0194,0.0,3.118730507934326e-05,3.6e-05,0.0007698210116731518,0.0007647058823529411,1.4466894922119885e-06,0.0,0.0006
0.01,0.04999334282907156,0.0004949999840311911,0.0019999517940646953,1000.0,2.0000007092041727,6.000078541991371e-06,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04999334282907156,0.02007052955311617,0.019405994055282167,0.0009899999680623823,3.117070046792482e-05,3.599913229316451e-05,0.000769820791768559,0.0007645142392997925,1.4459192144612931e-06,2.99824030326495e-06,0.0006001853831530567
0.02,0.049986884187660244,0.0009801332827723446,0.0019999034330493884,1000.0,2.0000012480232954,1.1973901104793287e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.049986884187660244,0.02006573523140423,0.019423480001829502,0.001960266565544689,3.115459742454376e-05,3.5998261794888986e-05,0.0007698206246961222,0.0007643283300585488,1.4451722018496975e-06,5.979790410496376e-06,0.0006007261856235928
0.03,0.04998073338462835,0.0014555978071264985,0.0019998549233687995,1000.0,2.0000015034719327,1.7925071765507425e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04998073338462835,0.02006116982365297,0.019451760633429547,0.002911195614252997,3.113926777805375e-05,3.599738862063839e-05,0.0007698205454889287,0.0007641512988920055,1.4444610632166748e-06,8.94649921869919e-06,0.0006016008443328726
0.04,0.04997499209619491,0.0019215885617209455,0.001999806274062299,1000.0,2.0000013703964865,2.3856965352745827e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04997499209619491,0.020056908730410335,0.019490171646216914,0.003843177123441891,3.112496397493563e-05,3.5996512933121384e-05,0.0007698205867517433,0.0007639860693273274,1.4437975083500613e-06,1.1900092666528928e-05,0.0006027888138005231
0.05,0.04996975478526274,0.0023782976663776017,0.001999757496598172,1000.0,2.000000751045645,2.9772739873278836e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04996975478526274,0.02005302197944868,0.019538080777903227,0.004756595332755203,3.111192021285949e-05,3.5995634938767094e-05,0.0007698207787946981,0.0007638353564845377,1.4431924005659823e-06,1.4842180698131652e-05,0.0006042705395227803
0.06,0.04996510906357024,0.0028259143401574253,0.0019997086046980336,1000.0,1.9999995546995335,3.5675347191437424e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04996510906357024,0.02004957450108393,0.01959488688984769,0.005651828680314851,3.110035343742215e-05,3.59947548845646e-05,0.0007698211497488626,0.0007637016777765637,1.4426558029421422e-06,1.777426329430906e-05,0.0006060274295829183
0.07,0.04996113604813532,0.0032646248905335235,0.001999659614168448,1000.0,1.999997697304656,4.156754355196608e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04996113604813532,0.02004662639946808,0.019660019004723573,0.006529249781067047,3.109046432753862e-05,3.5993873055032056e-05,0.0007698217256800752,0.0007635873634538819,1.4421970240248116e-06,2.0697736370183568e-05,0.000608041824888358
0.08,0.049957910717457456,0.0036946127102685713,0.0019996105427379784,1000.0,1.9999951011090131,4.745190011260169e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.049957910717457456,0.020044233223742026,0.019732935312116926,0.007389225420537143,3.108243828067661e-05,3.599298976928361e-05,0.0007698225307027456,0.000763494567143858,1.4418246635285379e-06,2.3613897625163003e-05,0.0006102969684159875
0.09,0.0499555021982771,0.004116058266220013,0.001999561409925869,1000.0,1.99999169436838,5.3330811409955745e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.0499555021982771,0.020042446187566697,0.01981312214963913,0.008232116532440025,3.107644622377739e-05,3.5992105378665636e-05,0.0007698235870716043,0.000763425274388055,1.4415466499503362e-06,2.6523951320406328e-05,0.0006127769737001793
