Time,N,S,T,a,d,u1,u2,r1,e1,r2,e2,Q1,Q2,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,nutrient_consumption_T,normal_cell_growth,normal_cell_death,tumor_growth,tumor_death
0.0,0.2,0.1,0.1,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002,0.004000000000000001,0.005000000000000001,0.003200000000000001,0.006,0.004000000000000001,0.0028000000000000004
0.8,0.19786100873283535,0.10688881106805229,0.10107762727845265,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002137776221361046,0.004229825596035657,0.005402033702686767,0.0033838604768285257,0.00593583026198506,0.004321626962149413,0.0028301735637966743
1.6,0.1959100153517885,0.1131811365866291,0.10238246009262637,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002263622731732582,0.004434663641243876,0.005793881599909324,0.0035477309129951008,0.005877300460553655,0.004635105279927459,0.0028667088825935385
2.4000000000000004,0.19412751766927228,0.11891250325309019,0.10390374216952143,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0023782500650618038,0.004616837815272333,0.006177727039370731,0.0036934702522178663,0.005823825530078168,0.0049421816314965845,0.0029093047807466003
3.2,0.19249582648002578,0.12411465506478302,0.1056321706754359,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0024822931012956602,0.004778310620995745,0.006555250213563007,0.0038226484967965966,0.005774874794400773,0.005244200170850406,0.0029577007789122053
4.0,0.19099881903045576,0.128816228474821,0.10755957731921718,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0025763245694964197,0.004920749502129636,0.006927709543303727,0.003936599601703709,0.005729964570913673,0.005542167634642982,0.0030116681649380813
4.800000000000001,0.18962172821609274,0.13304333349881453,0.10967865243106825,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0026608666699762906,0.00504558136513504,0.007296006766543589,0.004036465092108032,0.005688651846482782,0.005836805413234871,0.003071002268069911
5.6000000000000005,0.18835097962311123,0.13682001020996315,0.11198272555752697,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002736400204199263,0.005154036591018128,0.007660738827060171,0.004123229272814503,0.005650529388693337,0.006128591061648137,0.0031355163156107555
6.4,0.18717403784247963,0.1401686629246862,0.11446555546916624,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002803373258493724,0.005247186923718997,0.008022241930522266,0.0041977495389751976,0.005615221135274389,0.0064177935444178135,0.0032050355531366547
7.2,0.18607930656914826,0.14311034996215072,0.11712118710006082,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0028622069992430142,0.005325974936765027,0.008380627036936119,0.004260779949412022,0.005582379197074447,0.0067045016295488955,0.003279393238801703
8.0,0.1850560243265607,0.14566508688687574,0.11994380171826133,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002913301737737515,0.005391240372493652,0.008735812149416365,0.004312992297994921,0.005551680729796821,0.006988649719533092,0.0033584264481113174
8.8,0.18409419106582448,0.14785206554237124,0.12292760647104214,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0029570413108474247,0.0054437412806868195,0.009087550264461671,0.004354993024549456,0.005522825731974734,0.007270040211569337,0.00344197298118918
9.600000000000001,0.18318450075814735,0.14968985496954518,0.12606673309641248,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002993797099390904,0.005484172270231124,0.009435455496843173,0.004387337816184899,0.00549553502274442,0.007548364397474539,0.0035298685266995492
10.4,0.18231829105678923,0.15119655223329592,0.12935516125356128,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0030239310446659186,0.005513179403370617,0.009779027197560247,0.004410543522696494,0.005469548731703677,0.007823221758048197,0.0036219445150997157
11.200000000000001,0.18148750247020343,0.15238990216145146,0.13278665808912613,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0030477980432290293,0.005531372548992096,0.010117672917274018,0.0044250980391936775,0.005444625074106103,0.008094138333819214,0.0037180264264955317
12.0,0.18068464231835824,0.1532873977790669,0.1363547288443538,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0030657479555813378,0.00553933572792452,0.010450730779710633,0.004431468582339617,0.005420539269550747,0.008360584623768506,0.0038179324076419064
12.8,0.17990276006643446,0.15390634088606528,0.14005258903490939,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0030781268177213056,0.005537635103425736,0.010777490754991386,0.004430108082740589,0.005397082801993034,0.00862199260399311,0.003921472492977463
