Ca,Gd,Gt,IP3,P,Pc,Pcg,Pg,R,Rg,Rl,Rlg,Rlgp,Time
0.1,10000.0,0.0,0.015,90.9,9.09,0.0,0.0,13.9,5.06,0.0,0.0,0.0,0.0
0.1,10000.00038191712,0.0,0.01500013429598937,90.9,9.09,0.0,0.0,13.900381917119642,5.059618082880359,0.0,0.0,0.0,0.01
0.1,10000.000733010875,0.0,0.01500026719619836,90.9,9.09,0.0,0.0,13.900733010874301,5.0592669891257,0.0,0.0,0.0,0.02
0.1,10000.001052243539,0.0,0.015000398549189567,90.9,9.09,0.0,0.0,13.901052243538725,5.058947756461276,0.0,0.0,0.0,0.03
0.1,10000.001341873927,0.0,0.015000528322125407,90.9,9.09,0.0,0.0,13.901341873926222,5.0586581260737775,0.0,0.0,0.0,0.04
0.1,10000.001605654528,0.0,0.015000656517818402,90.9,9.09,0.0,0.0,13.901605654526161,5.058394345473839,0.0,0.0,0.0,0.05
0.1,10000.00184504777,0.0,0.015000783135454875,90.9,9.09,0.0,0.0,13.901845047767669,5.05815495223233,0.0,0.0,0.0,0.06
0.1,10000.00205845129,0.0,0.015000908178102002,90.9,9.09,0.0,0.0,13.902058451288108,5.0579415487118915,0.0,0.0,0.0,0.07
0.1,10000.002254631623,0.0,0.015001031700949389,90.9,9.09,0.0,0.0,13.90225463162199,5.0577453683780105,0.0,0.0,0.0,0.08
0.1,10000.002430237611,0.0,0.015001153682899854,90.9,9.09,0.0,0.0,13.902430237609991,5.057569762390008,0.0,0.0,0.0,0.09
0.1,10000.00258684389,0.0,0.01500127413981444,90.9,9.09,0.0,0.0,13.902586843889551,5.057413156110448,0.0,0.0,0.0,0.1
0.1,10000.002730533228,0.0,0.015001393128992352,90.9,9.09,0.0,0.0,13.902730533226016,5.057269466773984,0.0,0.0,0.0,0.11
0.1,10000.002857999312,0.0,0.015001510619288408,90.9,9.09,0.0,0.0,13.902857999311447,5.057142000688551,0.0,0.0,0.0,0.12
0.1,10000.002973018554,0.0,0.015001626657000278,90.9,9.09,0.0,0.0,13.902973018553222,5.057026981446776,0.0,0.0,0.0,0.13
0.1,10000.00307739721,0.0,0.015001741264272166,90.9,9.09,0.0,0.0,13.903077397209497,5.056922602790502,0.0,0.0,0.0,0.14
0.1,10000.003169391153,0.0,0.015001854419721567,90.9,9.09,0.0,0.0,13.903169391152602,5.056830608847397,0.0,0.0,0.0,0.15
0.1,10000.003254008374,0.0,0.015001966201677227,90.9,9.09,0.0,0.0,13.903254008372956,5.056745991627043,0.0,0.0,0.0,0.16
