T,C,CE,H,ICAN,INAPS,L,N,V
0.0,0.024753079,6.6229563,0.39931738,-2.4857051,-17.088757,0.94172359,0.0060188877,-49.42173
10.0,0.024753079,6.6229563,0.39948934,-2.4847543,-17.179441,0.94172359,0.0060757706,-49.383694
20.0,0.024753079,6.6229563,0.39965907,-2.4837143,-17.278252,0.94172359,0.0061397101,-49.342102
30.0,0.024753079,6.6229563,0.39982638,-2.4825795,-17.385815,0.94172359,0.006206722,-49.296707
40.0,0.024753079,6.6229563,0.3999911,-2.4813416,-17.502939,0.94172359,0.0062818909,-49.247196
50.0,0.024753079,6.6229563,0.40015292,-2.479991,-17.630653,0.94172359,0.0063662305,-49.193172
60.0,0.024753079,6.6229563,0.40031171,-2.4785144,-17.770266,0.94172359,0.0064591677,-49.134121
70.0,0.024753079,6.6229563,0.40046716,-2.476896,-17.923443,0.94172359,0.0065614837,-49.069389
80.0,0.024753079,6.6229563,0.40061897,-2.4751146,-18.092327,0.94172359,0.0066765584,-48.998135
90.0,0.024753079,6.6229563,0.40076676,-2.4731433,-18.279694,0.94172359,0.0068070912,-48.919285
100.0,0.024753079,6.6229563,0.40091017,-2.4709466,-18.489191,0.94172359,0.0069546215,-48.831425
110.0,0.024753079,6.6229563,0.40104869,-2.468478,-18.725691,0.94172359,0.0071222065,-48.732685
120.0,0.024753079,6.6229563,0.40118173,-2.4656742,-18.995848,0.94172359,0.0073184217,-48.620537
130.0,0.024753079,6.6229563,0.40130854,-2.4624472,-19.308985,0.94172359,0.0075520347,-48.491474
140.0,0.024753079,6.6229563,0.40142816,-2.4586725,-19.678583,0.94172359,0.0078302026,-48.340492
150.0,0.024753079,6.6229563,0.40153936,-2.4541645,-20.124928,0.94172359,0.0081747016,-48.160183
160.0,0.024753079,6.6229563,0.40164044,-2.4486361,-20.680103,0.94172359,0.0086173173,-47.939056
170.0,0.024753079,6.6229563,0.40172902,-2.4416125,-21.398294,0.94172359,0.0092069581,-47.658134
180.0,0.024753079,6.6229563,0.40180141,-2.4322419,-22.379532,0.94172359,0.010042408,-47.28334
190.0,0.024753079,6.6229563,0.40185159,-2.4187956,-23.834066,0.94172359,0.011345465,-46.745518
200.0,0.024753079,6.6229563,0.40186822,-2.3969774,-26.307898,0.94172359,0.013715744,-45.872849
210.0,0.024753079,6.6229563,0.40182301,-2.3504083,-32.001705,0.94172359,0.019688569,-44.010208
220.0,0.024753079,6.6229563,0.39803058,-2.0118136,-66.494644,0.94172359,0.92369419,-30.467302
230.0,0.024753079,6.6229563,0.39808285,-2.4583025,-19.550205,0.94172359,0.013240247,-48.325695
240.0,0.024753079,6.6229563,0.39819869,-2.4558804,-19.790272,0.94172359,0.008087513,-48.228817
250.0,0.024753079,6.6229563,0.39830905,-2.4529319,-20.083786,0.94172359,0.0082987165,-48.110882
260.0,0.024753079,6.6229563,0.39841273,-2.4492965,-20.448177,0.94172359,0.0085910736,-47.965477
270.0,0.024753079,6.6229563,0.39850816,-2.4447212,-20.911417,0.94172359,0.0089798551,-47.782471
280.0,0.024753079,6.6229563,0.39859313,-2.4387934,-21.519981,0.94172359,0.0094889542,-47.545376
