data_set_T_figure_2b,data_set_C_figure_2b,data_set_CE_figure_2b,data_set_H_figure_2b,data_set_ICAN_figure_2b,data_set_INAPS_figure_2b,data_set_L_figure_2b,data_set_N_figure_2b,data_set_V_figure_2b
0.0,0.03615192,6.5613408,0.31970239,-3.7397361,-2.4631727,0.62059093,0.0014195526,-55.229774
10.0,0.034784622,6.5687318,0.32032818,-3.6116643,-2.4422693,0.62700891,0.0013941139,-55.302021
20.0,0.033556871,6.5753684,0.3209585,-3.4959574,-2.4241903,0.63332903,0.0013720819,-55.366745
30.0,0.032451622,6.5813427,0.32159287,-3.3912156,-2.4085603,0.63955015,0.0013516051,-55.424858
40.0,0.031454384,6.5867329,0.32223073,-3.2962313,-2.3950655,0.64567137,0.0013340806,-55.477131
50.0,0.030552777,6.5916066,0.32287171,-3.2099597,-2.3834419,0.65169227,0.0013182913,-55.524231
60.0,0.029736159,6.5960207,0.32351544,-3.1314929,-2.3734658,0.65761256,0.0013043183,-55.566727
70.0,0.028995361,6.6000252,0.32416153,-3.0600376,-2.3649473,0.6634323,0.0012917562,-55.60511
80.0,0.02832243,6.6036625,0.32480967,-2.9949005,-2.3577232,0.66915172,0.0012804781,-55.639812
90.0,0.027710449,6.6069703,0.32545963,-2.9354727,-2.3516541,0.67477119,0.0012704314,-55.671207
100.0,0.027153378,6.6099815,0.32611114,-2.8812172,-2.3466187,0.6802913,0.001261386,-55.699619
110.0,0.026645925,6.6127248,0.32676396,-2.8316603,-2.3425119,0.68571258,0.0012532161,-55.725334
120.0,0.026183434,6.6152248,0.32741788,-2.7863815,-2.3392427,0.69103587,0.0012459109,-55.748604
130.0,0.025761792,6.6175036,0.32807273,-2.745007,-2.3367307,0.69626206,0.0012393418,-55.769653
140.0,0.025377363,6.6195817,0.32872832,-2.7072046,-2.3349059,0.70139205,0.0012334025,-55.788677
150.0,0.025026917,6.6214762,0.32938451,-2.6726766,-2.3337061,0.7064268,0.0012280847,-55.805851
160.0,0.024707578,6.6232023,0.33004117,-2.6411564,-2.3330767,0.71136737,0.0012233198,-55.821331
170.0,0.024416778,6.624774,0.33069813,-2.6124053,-2.332969,0.71621484,0.001219029,-55.835258
