Time,The_FOD_in_the_circulation__X1,The_FOD_in_the_metabolizing_tissues__X4,The_cumulative_FOD_excreted_in_the_non_urinary_pool__X3,The_FOD_in_the_gallbladder___intestinal_lumen__X5,The_cumulative_FOD_excreted_in_the_urine__X2,K1,K2,K3,K4,K5,compartment,R1,R2,R3,R4
0.0,1.0,0.0,0.0,0.0,0.0,3.6,1.2,26.6,1.2,1.2,1.0,26.6,0.0,0.0,0.0
0.03,0.4502285219991707,0.5073106605686635,0.00013509256721736806,0.010378792365410968,0.0319469324995371,3.6,1.2,26.6,1.2,1.2,1.0,11.97607868517794,0.596318241843903,0.012454550838493162,1.8263183780471886
0.06,0.20270572900532918,0.6683069747708327,0.0008625578701081844,0.030737347783270072,0.09738739057045934,3.6,1.2,26.6,1.2,1.2,1.0,5.391972391541756,0.7650835523850751,0.03688481733992408,2.4059051091749977
0.09,0.09126390964490676,0.6828914714003997,0.0023610078277747763,0.052329391040067265,0.17115422008685047,3.6,1.2,26.6,1.2,1.2,1.0,2.4276199965545198,0.756674496432399,0.06279526924808071,2.458409297041439
0.12,0.04108962013144016,0.6396908138625202,0.004603348026980316,0.071749032454294,0.24286718552476394,3.6,1.2,26.6,1.2,1.2,1.0,1.0929838954963083,0.6815301376898715,0.08609883894515279,2.302886929905073
0.15,0.018499720807869328,0.5774329198380423,0.007487519834330363,0.08791368012844356,0.3086661593913129,3.6,1.2,26.6,1.2,1.2,1.0,0.49209257348932417,0.5874230876515185,0.10549641615413226,2.0787585114169524
0.18,0.008329103878829989,0.51255126488693,0.010892667979991388,0.10071773884357467,0.36750922441067246,3.6,1.2,26.6,1.2,1.2,1.0,0.2215541631768777,0.4942002312520265,0.12086128661228959,1.845184553592948
0.21,0.0037500007864686956,0.45158801215511846,0.01470213440524831,0.11043676155541828,0.41952309109774477,3.6,1.2,26.6,1.2,1.2,1.0,0.09975002092006731,0.40938150071964025,0.13252411386650192,1.6257168437584264
0.24,0.0016883574599784647,0.3967568073652907,0.01881185881267341,0.11746795587150381,0.4652750204905521,3.6,1.2,26.6,1.2,1.2,1.0,0.04491030843542716,0.3351466217925442,0.14096154704580457,1.4283245065150465
0.27,0.0007601467309686393,0.3484290329588337,0.023132500839310306,0.12222082860875594,0.50545749086213,3.6,1.2,26.6,1.2,1.2,1.0,0.020219903043765808,0.2714498452200933,0.14666499433050711,1.2543445186518014
