Ar,ArH,H2O2,NAD,NAD2,NADH,NADHres,NADrad,O2,O2g,coI,coII,coIII,per2,per3,super,Time
0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
6.770036032561556e-17,500.0,5.6547363872239684e-15,0.0,0.0,0.0007999999999939317,0.0,6.77484374518889e-23,0.0007199784004274009,12.0,3.4602708373320067e-16,6.687461342148299e-17,5.465775867138688e-29,3.6756565928229217e-25,1.3999999999999997,1.1926497207551566e-27,0.01
1.415876429008913e-15,500.0,4.095768242857347e-14,0.0,0.0,0.0015999999999535626,0.0,4.966442600586055e-21,0.0014399136034171807,12.0,4.077607333093043e-15,1.3870437872732578e-15,1.9938104354149383e-26,4.0284096966408567e-23,1.3999999999999946,3.017121000186151e-25,0.02
8.732788433671085e-15,500.0,1.3012751373073562e-13,0.0,0.0,0.002399999999844135,0.0,6.829511071207042e-20,0.00215980561151486,12.0,1.712797793298722e-14,8.484831096130024e-15,8.081172271061842e-25,7.333830445607932e-22,1.3999999999999746,9.652652638281742e-24,0.03
3.173112673468714e-14,500.0,2.9174095402608945e-13,0.0,0.0,0.003199999999631036,0.0,4.361510983498838e-19,0.0028796544272848387,12.0,4.6078631825059345e-14,3.055552934456467e-14,1.1412630719935606e-23,6.045984355393754e-21,1.3999999999999235,1.0719754450643025e-22,0.04
8.513198516115616e-14,499.99999999999994,5.401988613393085e-13,0.0,0.0,0.003999999999279727,0.0,1.8067274548417902e-18,0.0035994600532821956,12.0,9.689154763155339e-14,8.12215756704004e-14,8.473693021656617e-23,3.082981411806459e-20,1.399999999999822,6.406784832936817e-22,0.05
1.8756731135227985e-13,499.99999999999983,8.869320583618895e-13,0.0,0.0,0.0047999999987557345,0.0,5.487478735934431e-18,0.004319222492049253,12.0,1.7481656597858396e-13,1.7736612407317978e-13,3.626808811432471e-22,1.130032355086058e-19,1.399999999999648,2.0390247816496297e-21,0.06
3.636320173398619e-13,499.99999999999966,1.3401204067520847e-12,0.0,0.0,0.005599999998024379,0.0,1.4973717115025896e-17,0.005038941746168932,12.0,2.834145952724576e-13,3.403852873588661e-13,1.5529763062122493e-21,3.5303571397257873e-19,1.3999999999993762,9.575683746315532e-21,0.07
6.39420946022755e-13,499.9999999999994,1.9066759050146764e-12,0.0,0.0,0.006399999997051133,0.0,3.515110674596892e-17,0.005758617818193617,12.0,4.261879833034513e-13,5.923694939821908e-13,6.01689974548746e-21,9.559136840560812e-19,1.3999999999989814,3.1188898218409385e-20,0.08
1.0439981194450409e-12,499.999999999999,2.591946502194197e-12,0.0,0.0,0.007199999995801482,0.0,7.348841872048234e-17,0.006478250710674129,12.0,6.057971258688308e-13,9.5722206113484e-13,1.8770423128806204e-20,2.2761283902787493e-18,1.3999999999984372,8.316125952434522e-20,0.09
1.6088345356736958e-12,499.99999999999847,3.400085747138151e-12,0.0,0.0,0.007999999994240902,0.0,1.4075983901697683e-16,0.007197840426163347,12.0,8.2435834026866e-13,1.4599392289167587e-12,5.0290413062532425e-20,4.9008585717124784e-18,1.3999999999977157,1.9490663694888457e-19,0.1
2.3677528582856637e-12,499.9999999999977,4.3342111001678965e-12,0.0,0.0,0.008799999992334832,0.0,2.5184485724393203e-16,0.007917386967219176,12.0,1.0833911811381319e-12,2.1264975446831347e-12,1.202749028720927e-19,9.737526291039556e-18,1.39999999999679,4.1632891955456094e-19,0.11
3.3562908646163134e-12,499.99999999999676,5.396736014152656e-12,0.0,0.0,0.009599999990048713,0.0,4.2638025101580597e-16,0.008636890336399193,12.0,1.3840710771122653e-12,2.9832404608717046e-12,2.635720148182659e-19,1.8126042119565455e-17,1.3999999999956327,8.265429835124366e-19,0.12
4.611235922893424e-12,499.9999999999955,6.5896092537935325e-12,0.0,0.0,0.010399999987348002,0.0,6.893655573357564e-16,0.009356350536257876,12.0,1.7274318817652787e-12,4.0564184800036734e-12,5.38496712945248e-19,3.19706000130896e-17,1.3999999999942163,1.5438219329232594e-18,0.13
6.170718356248233e-12,499.9999999999939,7.914346462758074e-12,0.0,0.0,0.011199999984198156,0.0,1.0720052883678494e-15,0.010075767569349072,12.0,2.114263802379509e-12,5.37227243184043e-12,1.0371500890879817e-18,5.387622826938536e-17,1.3999999999925137,2.7394229633691974e-18,0.14
8.074275615897457e-12,499.999999999992,9.37204963067038e-12,0.0,0.0,0.0119999999805646,0.0,1.6125648070642522e-15,0.010795141438229775,12.0,2.5450721755620153e-12,6.957067588003796e-12,1.900865111370544e-18,8.732770439297623e-17,1.399999999990498,4.6537952236816776e-18,0.15
1.036237821920872e-11,499.9999999999897,1.0963597199293656e-11,0.0,0.0,0.012799999976412775,0.0,2.3569209523496276e-15,0.011514472145455675,12.0,3.0203067056831725e-12,8.83666237093178e-12,3.3369455340467098e-18,1.36857419176167e-16,1.399999999988143,7.61257080519757e-18,0.16
1.307633315969907e-11,499.99999999998704,1.2689714854338936e-11,0.0,0.0,0.013599999971708106,0.0,3.3594605301521668e-15,0.012233759693580733,12.0,3.540368338316645e-12,1.1036442230957295e-11,5.644897679854234e-18,2.0828127755571473e-16,1.399999999985423,1.2050230232459254e-17,0.17
1.6258530269134097e-11,499.99999999998386,1.4550897569023444e-11,0.0,0.0,0.01439999996641601,0.0,4.683691986507576e-15,0.012953004085160964,12.0,4.105473295695348e-12,1.3581556290688819e-11,9.240152244012278e-18,3.088736895809908e-16,1.3999999999823127,1.8528489950924495e-17,0.18
1.995202383408511e-11,499.99999999998016,1.654757151118402e-11,0.0,0.0,0.015199999960501899,0.0,6.403087316005535e-15,0.013672205322750822,12.0,4.715857150871586e-12,1.649654884400005e-11,1.4693332960640423e-17,4.476600427220299e-16,1.3999999999787873,2.776689007398838e-17,0.19
2.4200644586141692e-11,499.9999999999759,1.868006185339831e-11,0.0,0.0,0.015999999953931178,0.0,8.601627200434921e-15,0.01439136340890474,12.0,5.371700708602857e-12,1.9805482276409178e-11,2.276089345237852e-17,6.3560701746092075e-16,1.3999999999748223,4.066397576103672e-17,0.2
2.9048983510562027e-11,499.99999999997107,2.094860723321172e-11,0.0,0.0,0.016799999946669232,0.0,1.1374737004389366e-14,0.015110478346177325,12.0,6.0731129003977796e-12,2.353195995525731e-11,3.4446901115613195e-17,8.859876202151902e-16,1.399999999970394,5.833681214252568e-17,0.21
3.4542327520413706e-11,499.99999999996555,2.3353384184922266e-11,0.0,0.0,0.01759999993868144,0.0,1.4830067771761905e-14,0.01582955013712311,12.0,6.820171992231626e-12,2.7699054217055907e-11,5.105218437595766e-17,1.2146628665965728e-15,1.3999999999654795,8.215132908447838e-17,0.22
4.0726556693060624e-11,499.99999999995936,2.5894541316815436e-11,0.0,0.0,0.01839999992993317,0.0,1.9088248112122587e-14,0.016548578784296167,12.0,7.612972005574902e-12,3.2329241270199085e-11,7.425171954311697e-17,1.6404599293541547e-15,1.399999999960056,1.1376209883321917e-16,0.23
4.764807891908492e-11,499.9999999999524,2.8572192347794583e-11,0.0,0.0,0.019199999920389763,0.0,2.4280922640230918e-14,0.017267564290250562,12.0,8.451572977588783e-12,3.7444589363586904e-11,1.0607045455365597e-16,2.1848152709804775e-15,1.3999999999541015,1.5509373915827147e-16,0.24
5.5354079268291176e-11,499.9999999999447,3.1386412157220614e-11,0.0,0.0,0.019999999910016567,0.0,3.0557923936546717e-14,0.01798650665754018,12.0,9.336011316040723e-12,4.306648306635282e-11,1.4918868634866286e-16,2.873741004613013e-15,1.3999999999475945,2.0852680851572253e-16,0.25
