Time,Rec,Rec_i,IL13_Rec,p_IL13_Rec,p_IL13_Rec_i,JAK2,pJAK2,SHP1,STAT5,pSTAT5,SOCS3mRNA,DecoyR,IL13_DecoyR,SOCS3,CD274mRNA,IL13,IL13stimulation,Kon_IL13Rec,Rec_phosphorylation,pRec_intern,pRec_degradation,Rec_intern,Rec_recycle,JAK2_phosphorylation,pJAK2_dephosphorylation,STAT5_phosphorylation,pSTAT5_dephosphorylation,SOCS3mRNA_production,DecoyR_binding,JAK2_p_inhibition,SOCS3_translation,SOCS3_accumulation,SOCS3_degradation,CD274mRNA_production,cell,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16
0.0,1.3,113.194,0.0,0.0,0.0,2.8,0.0,91.0,165.0,0.0,0.0,0.34,0.0,0.0,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.01006995444,0.1343498,0.15348880012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.579350910000003e-05,0.0,0.0,0.0,0.0
0.01,1.300090638803567,113.19380865814085,0.00010070299984679578,5.569590560188451e-11,1.8720780373113544e-14,2.7999997786186688,2.2138133126167796e-07,91.0,164.99999999534168,4.658307302690201e-09,2.5135178243720032e-14,0.33999904206625853,0.0,1.779532831295219e-16,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010070656538940318,0.13435916715779342,0.15348854066426582,2.2285537769150163e-08,4.428510743003525e-05,2.4492807232604386e-11,8.495853440511463e-12,3.237347108361779e-15,1.2528732416165883e-08,1.3975435949145276e-06,1.455659169769708e-10,9.57932392063689e-05,1.0053838319104154e-11,8.072339857907361e-14,7.6375057773227e-18,3.8279733426002787e-13
0.02,1.300181174378012,113.19361741249385,0.00020141223676547538,8.908004581371817e-10,5.471114546681995e-13,2.799999114621218,8.853787817905295e-07,91.0,164.99999996274107,3.7258923563030855e-08,4.0210379803124284e-13,0.33999808413521593,0.0,5.2018571142831244e-15,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010071357838255598,0.13436852364727003,0.1534882813389934,1.7826031848653781e-07,8.857293666772519e-05,3.9173792928002367e-10,1.3588270188424569e-10,9.461088963286241e-14,5.010663627680811e-08,5.589249275303718e-06,1.1642918814942226e-09,9.579296931349818e-05,8.041444436914697e-11,1.2913847215999706e-12,2.232564247450717e-16,3.0617594955767734e-12
0.03,1.3002716068392544,113.19342626295106,0.0003021256977072093,4.507829382186435e-09,4.1238736688376914e-12,2.7999980082275595,1.9917724406616455e-06,91.0,164.99999987427657,1.2572343413330584e-07,2.0353256813606476e-12,0.3399971262068723,0.0,3.922361379520197e-14,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010072058338843757,0.13437786948040958,0.15348802214403637,6.015435867883549e-07,0.00013286258146193736,1.982359835831232e-09,6.876242939587187e-10,7.131332258047643e-13,1.1272126606487303e-07,1.2573728774091136e-05,3.928690355945278e-09,9.579269942138787e-05,2.7134385895254863e-10,6.536592047269872e-12,1.6834225910307554e-15,1.0331348344591235e-11
0.04,1.3003619363030825,113.19323520940466,0.00040284003387485134,1.4240972458803485e-08,1.7363344888422206e-11,2.799996459657743,3.540342257073966e-06,91.0,164.9999997020492,2.979508158381873e-07,6.431594105097981e-12,0.3399961682812275,0.0,1.6521654753773253e-13,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.01007275804160171,0.13438720466917836,0.15348776307924852,1.4256653300697745e-06,0.0001771525481674173,6.262596433607695e-09,2.172317938865884e-09,3.002608504865075e-12,2.0036016834723362e-07,2.2349592931735214e-05,9.31056731625992e-09,9.579242953003794e-05,6.430553277909261e-10,2.0655518310217817e-11,7.090862917152927e-15,2.4484167881666212e-11
0.05,1.300452162885155,113.19304425174698,0.0005035505617125142,3.475309593024607e-08,5.295469755147634e-11,2.7999944691319816,5.530868018119587e-06,91.0,164.99999941818257,5.818174343595109e-07,1.5699592834792495e-11,0.3399952103582817,0.0,5.040925935545975e-13,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010073456947425362,0.13439652922552922,0.15348750414448387,2.7840440058256015e-06,0.00022144075618346312,1.5282977376368735e-08,5.301237253199736e-09,9.1573499381817e-12,3.1301088051657785e-07,3.491545155118026e-05,1.8181022170181882e-08,9.579215963944846e-05,1.2557132958807578e-09,5.042035022144328e-11,2.1634948385732347e-14,4.781096403197968e-11
0.06,1.300542286701001,113.19285338987045,0.0006042512641725136,7.203244211676088e-08,1.316831180918856e-10,2.7999920368706817,7.963129317804191e-06,91.0,164.99999899482296,1.0051770399431517e-06,3.254940589405676e-11,0.3399942524380347,0.0,1.254082273639377e-12,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010074155057209613,0.13440584316140164,0.1534872453395965,4.809955428329236e-06,0.00026572453851596436,3.167686784382053e-08,1.0987828720490705e-08,2.2771698245393595e-11,4.506609290381683e-07,5.026991319758769e-05,3.141044762311444e-08,9.579188974961936e-05,2.1694333982277063e-09,1.0453471385791426e-10,5.382345546941897e-14,8.260062429273648e-11
0.07,1.3006323078660196,113.19266262366762,0.0007049347923595033,1.3338896650455726e-07,2.844326570479042e-10,2.7999891630944833,1.0836905516671961e-05,91.0,164.99999840413923,1.5958607606798564e-06,6.029202936316652e-11,0.3399932945204867,0.0,2.7100036209810994e-12,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010074852371848362,0.13441514648872166,0.1534869866644408,7.636492834182565e-06,0.00031000064250670013,5.865885152485056e-08,2.0347152950605167e-08,4.9186370517979975e-11,6.132978271648767e-07,6.841158493876544e-05,4.986852946815532e-08,9.579161986055068e-05,3.4442824453449067e-09,1.9363210676896635e-10,1.1630956140743942e-13,1.3114017718101934e-10
0.08,1.30072222649548,113.19247195303117,0.000805592467733328,2.2745012439594848e-07,5.541765404605625e-10,2.7999858480243094,1.41519756905433e-05,91.0,164.9999976183229,2.3816770921393944e-06,1.0283888315349607e-10,0.33999233660563755,0.0,5.282493608146987e-12,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010075548892234496,0.13442443921940186,0.1534867281188712,1.1396518152314521e-05,0.00035426523080972033,1.0002287017845303e-07,3.4695241975357984e-08,9.583264078876415e-11,8.009090720360748e-07,8.93390720168787e-05,7.442424626217771e-08,9.579134997224238e-05,5.140278400880769e-09,3.302743300048161e-10,2.2671723017061728e-13,1.9571479138197318e-10
0.09,1.3008120427045229,113.19228137785392,0.0009062142840255286,3.641569391352735e-07,9.979747036804366e-10,2.799982091881414,1.7908118585512346e-05,91.0,164.9999966095881,3.390411888948248e-06,1.6470132271025275e-10,0.3399913786934873,0.0,9.5172635227977e-12,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010076244619259907,0.13443372136534162,0.15348646970274235,1.6222604511448174e-05,0.0003985138822431798,1.601404856652017e-07,5.5548499495694625e-08,1.7257776955805054e-10,1.0134821421307892e-06,0.00011305097755968825,1.0594586906264423e-07,9.579108008469448e-05,7.317390363441446e-09,5.289499199144013e-10,4.084676262295454e-13,2.7860777505670007e-10
