Time,w,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT,NS,r5,n3,bm,IC1,sp,delta1,n1,IC2,sv,delta2,n2,IC2ifa,TJ,TJtot,K3,K9,delta,r0,k15,tao1,C,vmax2,NA,K2,K5,tao3,r3,k8,tao4,k11,k14,tao6,k12,k16,tao8,vmax17,K17,r1,rmax20,K20,tao9,vmax19,K19,r4,k26,tao12,k28,tao13,default,c2,compartment,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,5.0,6.0,1.0,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,0.0,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.001,0.0,0.0,1e-07,0.0,0.0,0.0,0.0,0.0001,0.0,1e-05,-0.0046209812037329686
0.01,0.0,9.986149859593104e-06,1.4879398788080987e-09,5.222006381301973e-16,9.92503492298155e-10,4.697299801261277e-22,3.719702558581938e-22,3.734989940802683e-25,3.2103348119866984e-29,9.982700229595764e-07,1.6042219776919677e-10,9.965422577970867e-08,0.09995398042020853,1.2860082304526586e-14,1.0,5.0,6.0,0.9999999999999101,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,3.4514176874876654e-11,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0009972312513519797,2.9695774171553584e-07,1.5622969553731948e-13,9.850445435538753e-08,1.876666378347014e-19,1.6910279284539075e-19,1.3377984722160542e-22,1.1162181460144164e-26,9.965429334432316e-05,3.206326642890088e-08,9.930924954557048e-06,-0.004582979126320073
0.02,0.0,1.9944650580253956e-05,5.926667658350291e-09,4.143442205871939e-15,1.970163641896534e-09,7.461263004756023e-21,1.0835264393303302e-20,1.4436817243448145e-23,1.451062077024018e-27,1.9930916284173778e-06,6.408430880706821e-10,1.986200895466138e-07,0.09990833953310933,4.115226337446867e-13,1.0,5.0,6.0,0.9999999999971194,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,1.3712686829472838e-10,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.000994470168670337,5.90169281233996e-07,6.181233662771501e-13,9.703127528936248e-08,1.486467444170354e-18,2.686054681704431e-18,3.895691762004911e-21,4.314506232476616e-25,9.931031514896706e-05,6.39998605783054e-08,9.862327046391387e-06,-0.004545242358549917
0.03,0.0,2.9875578715416654e-05,1.3279069499198833e-08,1.3870360924837495e-14,2.933202437780342e-09,3.74779189558746e-20,8.125244624628383e-20,1.502718201496301e-22,2.064541207089408e-26,2.9844820605177672e-06,1.4399996027684805e-09,2.969023461795627e-07,0.09986307469478664,3.124999999990234e-12,1.0,5.0,6.0,0.999999999978125,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,3.064773200234295e-10,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0009917167307164501,8.797039573562574e-07,1.3757368871437426e-12,9.558012830913927e-08,4.967352245117263e-18,1.3492050823819719e-17,2.9198800404435013e-20,4.490939337030287e-24,9.896805732855066e-05,9.581051260065452e-08,9.794202980619764e-06,-0.004507769066491262
0.04,0.0,3.9779010606328695e-05,2.3508716288882103e-08,3.2611794174699695e-14,3.881838549390686e-09,1.175160088148576e-19,3.401749604750573e-19,8.23987161786137e-22,1.4569223006590351e-25,3.972458482736179e-06,2.5566359523983526e-09,3.9450571772278193e-07,0.09981818327959968,1.3168724279661978e-11,1.0,5.0,6.0,0.9999999999078188,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,5.41248639780084e-10,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0009889709162889224,1.1656294086154868e-06,2.419448105414226e-12,9.415068392144725e-08,1.1658790121703273e-17,4.230576316944895e-17,1.2217741358201582e-19,2.4625218183879242e-23,9.8627511833946e-05,1.2749594814084622e-07,9.726549484866883e-06,-0.004470557428877826
0.05,0.0,4.965502238236002e-05,3.657984709218702e-08,6.318190273744875e-14,4.816287375703227e-09,2.846519831641446e-19,1.0314294600318569e-18,3.1094526181408298e-21,6.752276276431035e-25,4.957037978231278e-06,3.989503581730363e-09,4.914348936072482e-07,0.09977366268005804,4.018775720003105e-11,1.0,5.0,6.0,0.9999999997186857,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,8.401660309539025e-10,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0009862327042126963,1.448011625069819e-06,3.739944884937066e-12,9.274261755750787e-08,2.2548179596380525e-17,1.0247471391026446e-16,3.7023695145379394e-19,9.292735700902364e-23,9.82886706510238e-05,1.5905688836788725e-07,9.659363309005073e-06,-0.004433605637022808
0.06,0.0,5.950368996121708e-05,5.245735283680565e-08,1.0830322871127826e-13,5.736761094330296e-09,5.856365776255087e-19,2.549862689288183e-18,9.214212759729837e-21,2.3853052066910905e-24,5.938237550190238e-06,5.737361124962121e-09,5.876945308728718e-07,0.09972951030669543,9.999999998999998e-11,1.0,5.0,6.0,0.9999999992999999,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,1.2019951030181931e-09,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0009835020733281877,1.7269149982105261e-06,5.328213581585969e-12,9.135560949797633e-08,3.8583230810422286e-17,2.108291677976027e-16,9.147571653460028e-19,2.7537079474537124e-22,9.795152579940071e-05,1.9049405000610412e-07,9.592641224893337e-06,-0.004396911894733095
0.07,0.0,6.932508904896162e-05,7.110676090323503e-08,1.706095507622045e-13,6.643468709116577e-09,1.0765135664655659e-18,5.474506522248166e-18,2.315937446390824e-20,7.170347979366491e-24,6.9160741221507216e-06,7.798974361641244e-09,6.832892543851716e-07,0.0996857235879461,2.1613940324546493e-10,1.0,5.0,6.0,0.9999999984870243,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,1.625540270024989e-09,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0009807790024804824,2.002402369062345e-06,7.175528172730637e-12,8.99893448001525e-08,6.067325768499538e-17,3.8754488334125773e-16,1.9627959204527444e-18,6.921280762914634e-22,9.761606933119562e-05,2.2180814536539052e-07,9.526380026120195e-06,-0.00436047441822553
0.08,0.0,7.911929513944847e-05,9.249422213555692e-08,2.526482008189062e-13,7.5366160939011e-09,1.822303426339884e-18,1.059483158629806e-17,5.2032106599860336e-20,2.0176090402952e-23,7.89056453825586e-06,1.0173116174176444e-08,7.782236570381383e-07,0.0996422999700252,4.213991767771553e-10,1.0,5.0,6.0,0.9999999970502058,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,2.1096432678666843e-09,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0009780634705086862,2.274535074541143e-06,9.273440595749327e-12,8.864351323096658e-08,8.969023120729806e-17,6.56029231547207e-16,3.7961064170731575e-18,1.5550023556325521e-21,9.728229332981134e-05,2.5299988236909805e-07,9.460576527755851e-06,-0.004324291436048356
0.09,0.0,8.888638351518852e-05,1.1658649195078664e-07,3.5688369264846977e-13,8.41640604562949e-09,2.8965288665247333e-18,1.8953844106022368e-17,1.0584308217817836e-19,4.8211407849228585e-23,8.861725563673029e-06,1.2858566501492486e-08,8.725022999907748e-07,0.0995992369167985,7.593749994233495e-10,1.0,5.0,6.0,0.999999994684375,0.3,0.1,1.0,1.0,0.1,0.4,5.0,1.0,2.6531815966290097e-09,0.0001,0.0043,780.0,0.0003,0.001,3.6e-08,2.5,500000.0,72000.0,6.023e+23,0.002,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,360.0,0.36,2.0,72000.0,0.002,0.0001,0.001,0.0006,2.0,154800.0,0.004,1e-05,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0009753554562348857,2.5433729921968e-06,1.161376912495291e-11,8.731780918588019e-08,1.2647041460901866e-16,1.0427503864060339e-15,6.786701461171263e-18,3.163166991876491e-21,9.695018990865315e-05,2.840699645869612e-07,9.395227566081541e-06,-0.004288361188990048
