E_d_2_task1,E_h_6_task1,I_d_3_task1,I_h_7_task1,R_d_4_task1,R_h_8_task1,S_d_1_task1,S_h_5_task1,_1_task1
200000.0,250.0,100000.0,89.0,200000.0,200000.0,35000000.0,1290000000.0,0.0
155164.36829336514,86.2363187204659,197521.68468016406,144.55841605825222,1315580.596186662,121148.74552866758,33833774.24287878,1295839248.8633134,0.5
219742.50881538706,118.40108987030057,289546.3419009915,162.71272350336193,1933437.5979693623,73391.77754154343,33019293.802967336,1301638598.3625028,1.0
310779.3924360673,171.4097511148524,416280.11254210275,211.0418690016527,2271617.1758842333,44478.55390313155,32371738.669256784,1307410410.03912,1.5
433777.07384488423,244.99604268765913,590144.4737551557,291.66793291707586,2450494.195908727,26981.605376144715,31734770.755788114,1313162101.521098,2.0
595367.4043413058,345.2360545257492,824560.2225729515,409.6431961115798,2535970.543362616,16403.658649227178,30998784.938156445,1318898148.8253253,2.5
799345.2047556327,478.5609011320155,1132315.0986063897,573.1522704549266,2563394.5087842583,10022.415509382721,30082580.282039475,1324621244.9952028,3.0
1042844.5518608271,649.922390822996,1521348.291200313,791.4398811048629,2551016.6680021724,6190.415909787907,28929419.054985017,1330333002.7042642,3.5
1312086.9907866458,860.0698792105336,1988410.173333174,1071.7487421621393,2507766.515852886,3910.56158812551,27513875.361586366,1336034384.7745194,4.0
1580261.6578299762,1102.2444366803302,2512235.354771861,1415.0202169223942,2438015.126494473,2578.337899173278,25853236.439482853,1341725972.285827,4.5
1811028.901147444,1359.7956101146976,3050202.971733246,1811.1101431967215,2344705.6052412745,1825.0873306895105,24013830.399533987,1347408134.3143828,5.0
1968955.7495141795,1607.0036152423788,3543228.0613868632,2235.655551555186,2231396.188380189,1422.9107532262533,22102667.311934818,1353081133.9800205,5.5
2032557.9865809993,1814.439107034494,3930171.8503710497,2651.38641708161,2103271.677963074,1227.7635788055848,20242809.89589136,1358745188.056552,6.0
2001839.910676948,1957.3298121210657,4166146.919110841,3015.1767541010063,1967093.0662891464,1146.5464017039546,18542871.244461183,1364400491.00874,6.5
1895600.6498755105,2022.7765668128172,4235072.447553376,3288.7306613851547,1830313.713952262,1118.8907461799581,17075590.916261747,1370047215.6916275,7.0
1741617.556590723,2012.1297978872703,4150402.3125127316,3448.170725424209,1699879.17583483,1107.1461659523331,15872831.037186908,1375685504.7122006,7.5
1566662.7867688125,1938.1067080895345,3945848.9305263916,3488.3473428155485,1581256.2193910715,1090.1891679630653,14933447.659485098,1381315463.703721,8.0
1390849.599191554,1819.1936398382368,3662756.22736566,3420.9733254579473,1477980.200931977,1058.6958599993932,14235810.283797244,1386937161.2841308,8.5
1226522.5114173018,1674.322452619495,3339896.038343879,3268.730106620567,1391704.2500753314,1011.0748295325296,13748856.990125783,1392550634.8915641,9.0
1079687.9145893492,1519.4760022680089,3007953.042596803,3058.483736398203,1322560.8855414276,950.0820623118698,13439487.29827752,1398155899.3298335,9.5
952142.8767884364,1366.3460273753767,2688082.645843381,2815.879174416713,1269628.0738186906,880.2964897370525,13276550.881986137,1403752955.1643574,10.0
843291.9585546103,1222.4374036420334,2392961.1882113973,2562.1624139649216,1231365.5460029368,806.4804511880204,13232550.35842146,1409341795.5006783,10.5
