Time,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h,A,lambda,gamma,sigma,m,beta,k,mu,B,lambda_h,gamma_h,sigma_h,m_h,beta_dh,k_h,mu_h,compartment,Human_Population,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23
0.0,35000000.0,200000.0,100000.0,200000.0,1290000000.0,250.0,89.0,200000.0,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,200000.0,719999.9999999999,553000.0,2800000.0,480000.00000000006,16000.0,8000.0,3150000.0,18000.0,100000.0,16000.0,15400000.0,200000.0,899.9999999999999,3870000.0,295.41,600.0000000000001,0.75,135.0,0.267,119.26,600.0
0.5,33833774.24287878,155164.36829336514,197521.68468016406,1315580.596186662,1295839248.8633134,86.2363187204659,144.55841605825222,121148.74552866758,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1315580.596186662,558591.7258561144,1055898.8458315982,2706701.9394303025,372394.4839040764,12413.149463469212,15801.734774413126,3045039.68185909,13964.793146402862,197521.68468016406,105246.44769493297,15400000.0,121148.74552866758,310.4507473936772,3887517.7465899405,586.1400449582666,206.96716492911818,0.2587089561613977,46.56761210905159,0.43367524817475667,193.708277518058,363.4462365860028
1.0,33019293.802967336,219742.50881538706,289546.3419009915,1933437.5979693623,1301638598.3625028,118.40108987030057,162.71272350336193,73391.77754154343,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1933437.5979693623,791073.0317353933,1510577.285782917,2641543.504237387,527382.021156929,17579.400705230964,23163.70735207932,2971736.4422670603,19776.825793384836,289546.3419009915,154675.007837549,15400000.0,73391.77754154343,426.243923533082,3904915.7950875084,863.0659507095623,284.1626156887214,0.3552032696109017,63.93658852996231,0.4881381705100858,218.035049494505,220.1753326246303
1.5,32371738.669256784,310779.3924360673,416280.11254210275,2271617.1758842333,1307410410.03912,171.4097511148524,211.0418690016527,44478.55390313155,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2271617.1758842333,1118805.812769842,2129162.340594637,2589739.0935405428,745870.5418465616,24862.351394885383,33302.40900336822,2913456.4802331105,27970.145319246054,416280.11254210275,181729.37407073868,15400000.0,44478.55390313155,617.0751040134686,3922231.23011736,1246.3301015222455,411.38340267564587,0.5142292533445573,92.56126560202031,0.6331256070049581,282.79610446221466,133.43566170939465
2.0,31734770.755788114,433777.07384488423,590144.4737551557,2450494.195908727,1313162101.521098,244.99604268765913,291.66793291707586,26981.605376144715,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2450494.195908727,1561597.465841583,2959039.734811583,2538781.660463049,1041064.9772277223,34702.16590759074,47211.55790041246,2856129.3680209303,39039.936646039576,590144.4737551557,196039.53567269817,15400000.0,26981.605376144715,881.9857536755728,3939486.3045632937,1774.6477683484063,587.990502450382,0.7349881280629774,132.29786305133592,0.8750037987512276,390.83503010888165,80.94481612843414
2.5,30998784.938156445,595367.4043413058,824560.2225729515,2535970.543362616,1318898148.8253253,345.2360545257492,409.6431961115798,16403.658649227178,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2535970.543362616,2143322.6556287007,4038537.671279379,2479902.795052516,1428881.7704191343,47629.39234730447,65964.81780583612,2789890.64443408,53583.066390717526,824560.2225729515,202877.6434690093,15400000.0,16403.658649227178,1242.849796292697,3956694.4464759757,2490.400078125402,828.5665308617981,1.0357081635772476,186.42746944390458,1.2289295883347395,548.921882789517,49.21097594768153
3.0,30082580.282039475,799345.2047556327,1132315.0986063897,2563394.5087842583,1324621244.9952028,478.5609011320155,573.1522704549266,10022.415509382721,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2563394.5087842583,2877642.7371202772,5381947.657625962,2406606.422563158,1918428.4914135188,63947.616380450614,90585.20788851118,2707432.2253835527,71941.06842800694,1132315.0986063897,205071.56070274068,15400000.0,10022.415509382721,1722.8192440752555,3973863.7349856086,3434.7449756221536,1148.5461627168374,1.4356827033960464,258.4228866112884,1.7194568113647797,768.0240424096016,30.067246528148164
3.5,28929419.054985017,1042844.5518608271,1521348.291200313,2551016.6680021724,1330333002.7042642,649.922390822996,791.4398811048629,6190.415909787907,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2551016.6680021724,3754240.3866989776,6953852.11466564,2314353.5243988014,2502826.9244659855,83427.56414886618,121707.86329602504,2603647.7149486514,93856.00966747444,1521348.291200313,204081.3334401738,15400000.0,6190.415909787907,2339.7206069627855,3990999.0081127924,4634.730634496566,1559.8137379751906,1.949767172468988,350.95809104441787,2.374319643314589,1060.5294406805165,18.571247729363723
4.0,27513875.361586366,1312086.9907866458,1988410.173333174,2507766.515852886,1336034384.7745194,860.0698792105336,1071.7487421621393,3910.56158812551,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2507766.515852886,4723513.166831925,8644001.40893429,2201110.0289269094,3149008.77788795,104966.95926293166,159072.81386665392,2476248.782542773,118087.82917079811,1988410.173333174,200621.32126823088,15400000.0,3910.56158812551,3096.2515651579206,4008103.1543235583,6083.578190373655,2064.167710105281,2.580209637631601,464.4377347736882,3.2152462264864177,1436.1433144972666,11.73168476437653
4.5,25853236.439482853,1580261.6578299762,2512235.354771861,2438015.126494473,1341725972.285827,1102.2444366803302,1415.0202169223942,2578.337899173278,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2438015.126494473,5688941.968187913,10262007.50973011,2068258.9151586283,3792627.9787919433,126420.93262639809,200978.82838174887,2326791.2795534567,142223.54920469786,2512235.354771861,195041.21011955783,15400000.0,2578.337899173278,3968.079972049188,4025177.916857481,7718.97496094192,2645.386648032793,3.3067333100409906,595.2119958073783,4.245060650767183,1896.1270906760083,7.735013697519834
