Time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,parameter_17,parameter_18,parameter_19,parameter_20,parameter_21,parameter_22,parameter_23,compartment_1,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30,reaction_31,reaction_32
0.0,0.003,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,1.0500000000000001e-07,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0035,0.0035,0.035,5.25e-05,0.0,0.0,0.0,0.0,1.7500000000000002e-05,0.0,5.250000000000001e-05,8.750000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.003349443292161946,1.129687678892939e-09,0.0010344659518939435,1.974468668334244e-15,0.0010347710880983017,5.081182664400378e-08,8.84347669980296e-11,2.653264322675562e-10,4.2441237140162955e-21,0.005034122013558098,6.785726947813058e-13,6.126879567377039e-29,6.340227971835526e-17,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,1.212709765239382e-07,4.090182040310952e-13,9.258719171430488e-18,4.09138852044752e-14,2.2419886317706363e-12,5.1738554404915085e-06,1.7784139325401322e-08,5.335241797620397e-08,1.7482101855792404e-18,1.4854432999057033e-21,1.3932402249933205e-10,1.833554101797706e-26,1.9212759314300688e-14,0.0035,0.0035,0.0035,0.035,5.430946247443203e-05,1.036596050875478e-16,5.93086031418793e-11,1.547608422465518e-12,4.643212564682234e-12,1.810849404172028e-05,8.892069662700662e-10,5.861525761283406e-05,8.809713523726672e-05,1.1875022158672851e-14,1.0722039242909818e-30,1.1095398950712171e-18,7.427216499528518e-23,1.0398103099339924e-19,1.0670483595240792e-08
0.02,0.0036988252702100832,2.4241383750366873e-09,0.0010689138139072362,8.473872431081327e-15,0.0010695343535350845,1.0324461736629339e-07,3.5747129182974814e-10,1.0725967042338141e-09,6.702628183100845e-20,0.005068238054782707,2.8606059320213138e-12,1.3712613774174475e-27,5.236902144374175e-16,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,1.3838038992948534e-07,9.069182485647744e-13,4.3880722878468225e-17,9.074447444385587e-14,9.367031761854789e-12,5.347671767675423e-06,3.6135616078202684e-08,1.0840684823460805e-07,1.5163155694817686e-17,2.3459198640852958e-20,3.0097966751700507e-10,3.1811186804382545e-25,8.025410745773235e-14,0.0035,0.0035,0.0035,0.035,5.61179752301299e-05,4.448783026317697e-16,1.2726726468942608e-10,6.255747607020593e-12,1.877044232409175e-11,1.871685118686398e-05,1.8067808039101343e-09,6.472944222867646e-05,8.869416595869739e-05,5.006060381037299e-14,2.3997074104805335e-29,9.164578752654807e-18,1.1729599320426481e-21,1.642143904859707e-18,2.168136964692161e-08
0.03,0.004048145936494236,3.891413003890108e-09,0.0011033435955331893,2.0429416876422657e-14,0.001104289798018279,1.5729434994841583e-07,8.12691911096018e-10,2.4387129920298314e-09,3.4557723506358855e-19,0.005102348124488515,6.776216986266126e-12,1.0383457806200092e-26,1.825066382059937e-15,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,1.563273562485117e-07,1.5027479653958522e-12,1.15781765278532e-16,1.5040366880250291e-13,2.1987460965705112e-11,5.521448990091394e-06,5.505302248194554e-08,1.6515906744583662e-07,5.533563110015953e-17,1.20952032272256e-19,4.863847738508625e-10,1.7437156103620683e-24,1.8834529754464154e-13,0.0035,0.0035,0.0035,0.035,5.7925538765492437e-05,1.0725443860121895e-15,2.0429918270423067e-10,1.4222108444180315e-11,4.2677477360522055e-11,1.9325071465319884e-05,2.7526511240972775e-09,7.084255388864914e-05,8.929109217854901e-05,1.1858379725965722e-13,1.8171051160850162e-28,3.19386616860489e-17,6.0476016136128005e-21,8.466642259057919e-18,3.303181348916732e-08
0.04,0.004397405293372658,5.539545118812724e-09,0.001137755306259984,3.886414815368503e-14,0.0011390374232492057,2.129570176175451e-07,1.4596577158335583e-09,4.380532301021664e-09,1.1146980143908873e-18,0.005136452223475768,1.2669779359436396e-11,4.586880337795605e-26,4.464649926967168e-15,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,1.7511099222086692e-07,2.2059263986185195e-12,2.392619751388073e-16,2.2084122193368064e-13,4.07338167049875e-11,5.695187116246029e-06,7.453495616614077e-08,2.2360486849842237e-07,1.41474885959102e-16,3.901443050368105e-19,6.969803839596899e-10,5.958437431049984e-24,3.488625446064016e-13,0.0035,0.0035,0.0035,0.035,5.973215357864916e-05,2.0403677780684643e-15,2.90826118737668e-10,2.5544010027087274e-11,7.665931526787913e-11,1.9933154906861102e-05,3.72674780830704e-09,7.695459263402152e-05,8.988791391082595e-05,2.2172113879013694e-13,8.027040591142309e-28,7.813137372192545e-17,1.9507215251840528e-20,2.7310101352576737e-17,4.472097369968447e-08
0.05,0.004746603343211994,7.376540768731496e-09,0.0011721489555706842,6.489641503151564e-14,0.0011737772309224118,2.7022862915512287e-07,2.3039084806941952e-09,6.914866752451804e-09,2.7792359166608944e-18,0.005170550352530079,2.080011791776568e-11,1.4841422003278823e-25,8.993896420639162e-15,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,1.94730415293899e-07,3.0262415952276186e-12,4.312525567714913e-16,3.0304454590577776e-13,6.625474526081339e-11,5.8688861546120594e-06,9.4580020204293e-08,2.8374006061287903e-07,2.973422183372138e-16,9.72732570831313e-19,9.342305978311835e-10,1.5705732743145822e-23,5.67336290288306e-13,0.0035,0.0035,0.0035,0.035,6.153782016746091e-05,3.407061789154571e-15,3.8726839035840357e-10,4.031839841214842e-11,1.2101016816790657e-10,2.054110154114221e-05,4.729001010214651e-09,8.30655585062099e-05,9.04846311692764e-05,3.640020635608994e-13,2.597248850573794e-27,1.5739318736118535e-16,4.8636628541565655e-20,6.809127995819192e-17,5.67480121225758e-08
0.06,0.005095740088387296,9.41037797764139e-09,0.0012065245529432128,9.974773337877665e-14,0.0012085092227252735,3.2910520924565295e-07,3.350962347050576e-09,1.0058483815945144e-08,5.892033231433884e-18,0.0052046425124219085,3.144102826540762e-11,4.397638967805393e-25,1.6021981899730333e-14,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,2.1518474362197015e-07,3.973848228875151e-12,7.1160393318559975e-16,3.98038500135865e-13,9.921688808468587e-11,6.042546113626367e-06,1.1518682323597853e-07,3.455604697079356e-07,5.516975349911592e-16,2.062211631001859e-18,1.1996223745727996e-09,3.511434449172854e-23,8.494504613157339e-13,0.0035,0.0035,0.0035,0.035,6.334253902951867e-05,5.236756002385774e-15,4.94044843826173e-10,5.864184107338509e-11,1.7602346677904005e-10,2.114891139769229e-05,5.7593411617989275e-09,8.91754515467777e-05,9.108124396738341e-05,5.502179946446334e-13,7.695868193659439e-27,2.8038468324528085e-16,1.0311058155009298e-19,1.4435481417013015e-16,6.911209394158711e-08
0.07,0.00544481553128197,1.1649005820074693e-08,0.0012408821078503463,1.4475940548105864e-13,0.0012432334003371715,3.8958279911633263e-07,4.606315305197211e-09,1.3828107223469418e-08,1.1174881632142996e-17,0.005238728703905533,4.488230711910985e-11,1.3076086405539755e-24,2.6222883649675514e-14,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,2.3647309606597164e-07,5.059265013731333e-12,1.1034635629673773e-15,5.068851590683637e-13,1.4030476347768436e-10,6.216167001685858e-06,1.363539796907164e-07,4.090619390721493e-07,9.387586068884878e-16,3.911208571250048e-18,1.494665274234153e-09,7.005662369067987e-23,1.2010417786399795e-12,0.0035,0.0035,0.0035,0.035,6.514631066214318e-05,7.599868787755579e-15,6.115728055539214e-10,8.061051784095119e-11,2.4199187641071485e-10,2.17565845059005e-05,6.8176989845358215e-09,9.528427179743448e-05,9.167775231834683e-05,7.854403745844225e-13,2.2883151209694573e-26,4.589004638693216e-16,1.9556042856250244e-19,2.737845999875034e-16,8.181238781442985e-08
0.08,0.005793829674287851,1.4100346123619194e-08,0.0012752216297597333,2.0136255632006925e-13,0.0012779497654309816,4.516574553661478e-07,6.075442154633106e-09,1.8240415391439567e-08,1.948756522201361e-17,0.005272808927720917,6.14278807185915e-11,3.053337880398763e-24,4.032257659998552e-14,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,2.5859459219284804e-07,6.293373227378302e-12,1.633324495736746e-15,6.306836907411181e-13,1.9022069197187043e-10,6.389748827154908e-06,1.5808010937815174e-07,4.742403281344552e-07,1.498674706253248e-15,6.820647827704763e-18,1.8208915649045255e-09,1.285420968220259e-22,1.6280989279895263e-12,0.0035,0.0035,0.0035,0.035,6.6949135562386e-05,1.0571534206803636e-14,7.402681714900077e-10,1.0632023770607936e-10,3.1920726935019247e-10,2.236412089504218e-05,7.904005468907587e-09,0.00010139201930003739,9.227415623511605e-05,1.0749879125753514e-12,5.343341290697836e-26,7.056450904997467e-16,3.410323913852382e-19,4.774453479393334e-16,9.484806562689104e-08
0.09,0.006142782519805171,1.677229266918434e-08,0.0013095431281338868,2.710921695209357e-13,0.001312658319672378,5.153252505178983e-07,7.763796047810668e-09,2.331204213716006e-08,3.1853612123067437e-17,0.005306883184592836,8.139668214311986e-11,6.022541768290474e-24,5.910500683029693e-14,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,2.8154835227511385e-07,7.687414212793251e-12,2.3313643362649697e-15,7.705701329264702e-13,2.496846811227559e-10,6.5632915983618895e-06,1.8036383768126437e-07,5.410915130437932e-07,2.2780111284133865e-15,1.1148764243073602e-17,2.1798559842000173e-09,2.211688438662277e-22,2.1367618533200838e-12,0.0035,0.0035,0.0035,0.035,6.875101422702905e-05,1.4232338899849124e-14,8.805453651321778e-10,1.358664308366867e-10,4.079607374003011e-10,2.2971520594266616e-05,9.01819188406322e-09,0.00010749869409659051,9.287045573037463e-05,1.4244419375045976e-12,1.053944809450833e-25,1.0343376195301964e-15,5.574382121536802e-19,7.804134970151522e-16,1.0821830260875863e-07
